"";"Ano";"CAR";"Area_Fazenda_CAR";"Area_Fazenda_Florestada";"Area_Fazenda_Florestada_Perc";"Area_APP_CAR";"Area_APP_Florestada";"Area_APP_Deficit";"Area_APP_Deficit_Per";"Area_RL_CAR";"Area_RL_Florestada";"Area_RL_Deficit";"Area_RL_Deficit_Per";"Area_VN_CAR";"Area_VN_Florestada";"Area_VN_Deficit";"Area_VN_Deficit_Per";"Area_SA_CAR";"Area_SA_Florestada";"Area_SA_Deficit";"Area_SA_Deficit_Per";"Area_UR_CAR";"Area_UR_Florestada";"Area_UR_Deficit";"Area_UR_Deficit_Per";"Area_AC_CAR";"Area_AC_Florestada";"Area_AC_Deficit";"Area_AC_Deficit_Per"
"14";2014;"SP-3518602-06C22ADABA4C42D9A7D0E3130F943869";646,268092285714;77,7559417520705;12,0315303633612;39,747596931765;20,5024803318414;-19,2451165999235;-48,4183147800402;48,0555130418493;25,7806920875131;-22,2748209543362;-46,3522695823434;48,056804963325;25,781385212685;-22,27541975064;-46,3522695019772;0;0;0;NA;0;0;0;NA;1,5459678037199;0,0668754303480033;-1,4790923733719;-95,6742029046732
"15";2015;"SP-3518602-324EF535554A4215ABB213764BFAC2F4";36,7624734557852;2,1636844679296;5,88557913692042;0,932562412642682;0,927274875353131;-0,00528753728955045;-0,56699017865911;2,46350948534999;2,18451731115927;-0,27899217419072;-11,3249888360419;2,46350948534999;2,18451731115927;-0,27899217419072;-11,3249888360419;0;0;0;NA;0;0;0;NA;0,0219703669131035;0,021004761206999;-0,000965605706104541;-4,39503677805507
"16";2015;"SP-3518602-06C22ADABA4C42D9A7D0E3130F943869";646,268092285714;71,1241217055175;11,0053586978071;39,747596931765;20,5337539372553;-19,2138429945097;-48,3396342865563;48,0555130418493;25,9819042506336;-22,0736087912157;-45,9335618204571;48,056804963325;25,9826434536658;-22,0741615096592;-45,9334771142303;0;0;0;NA;0;0;0;NA;1,5459678037199;0,0668754303480033;-1,4790923733719;-95,6742029046732
"17";2016;"SP-3518602-324EF535554A4215ABB213764BFAC2F4";36,7624734557852;2,1636844679296;5,88557913692042;0,932562412642682;0,927274875353131;-0,00528753728955045;-0,56699017865911;2,46350948534999;2,18451731115927;-0,27899217419072;-11,3249888360419;2,46350948534999;2,18451731115927;-0,27899217419072;-11,3249888360419;0;0;0;NA;0;0;0;NA;0,0219703669131035;0,021004761206999;-0,000965605706104541;-4,39503677805507
"18";2016;"SP-3518602-06C22ADABA4C42D9A7D0E3130F943869";646,268092285714;69,7899145428847;10,7989107579259;39,747596931765;21,8380402690891;-17,9095566626759;-45,0582124333739;48,0555130418493;27,2156242386916;-20,8398888031577;-43,3662809613733;48,056804963325;27,216281510216;-20,840523453109;-43,3664357607912;0;0;0;NA;0;0;0;NA;1,5459678037199;0,0869174624653067;-1,45905034125459;-94,37779607983
"19";2017;"SP-3518602-324EF535554A4215ABB213764BFAC2F4";36,7624734557852;2,1636844679296;5,88557913692042;0,932562412642682;0,927274875353131;-0,00528753728955045;-0,56699017865911;2,46350948534999;2,18451731115927;-0,27899217419072;-11,3249888360419;2,46350948534999;2,18451731115927;-0,27899217419072;-11,3249888360419;0;0;0;NA;0;0;0;NA;0,0219703669131035;0,021004761206999;-0,000965605706104541;-4,39503677805507
"20";2017;"SP-3518602-06C22ADABA4C42D9A7D0E3130F943869";646,268092285714;69,2060517524968;10,7085670139972;39,747596931765;21,8829932556886;-17,8646036760763;-44,9451163217354;48,0555130418493;27,2847561973098;-20,7707568445395;-43,2224224231073;48,056804963325;27,2855221824556;-20,7712827808694;-43,2223548709099;0;0;0;NA;0;0;0;NA;1,5459678037199;0,119999682583148;-1,42596812113675;-92,2378925166226
"21";2018;"SP-3518602-324EF535554A4215ABB213764BFAC2F4";36,7624734557852;2,04975858320147;5,57568191287984;0,932562412642682;0,911731668214168;-0,0208307444285135;-2,23371048909034;2,46350948534999;2,09106624080421;-0,372443244545785;-15,1184010762139;2,46350948534999;2,09106624080421;-0,372443244545785;-15,1184010762139;0;0;0;NA;0;0;0;NA;0,0219703669131035;0,021004761206999;-0,000965605706104541;-4,39503677805507
"22";2018;"SP-3518602-06C22ADABA4C42D9A7D0E3130F943869";646,268092285714;69,0083562356289;10,6779766879038;39,747596931765;23,0396004509942;-16,7079964807708;-42,0352367702972;48,0555130418493;28,000872360217;-20,0546406816323;-41,7322371819601;48,056804963325;28,0016383476673;-20,0551666156577;-41,7322096859393;0;0;0;NA;0;0;0;NA;1,5459678037199;0,119999682583148;-1,42596812113675;-92,2378925166226
"23";2019;"SP-3518602-324EF535554A4215ABB213764BFAC2F4";36,7624734557852;2,21647918995917;6,02918950114976;0,932562412642682;0,911731668214168;-0,0208307444285135;-2,23371048909034;2,46350948534999;2,22475543030643;-0,238754055043561;-9,69162312803682;2,46350948534999;2,22475543030643;-0,238754055043561;-9,69162312803682;0;0;0;NA;0;0;0;NA;0,0219703669131035;0,021004761206999;-0,000965605706104541;-4,39503677805507
"24";2019;"SP-3518602-06C22ADABA4C42D9A7D0E3130F943869";646,268092285714;70,5431838484205;10,9154675421038;39,747596931765;24,7701493908782;-14,9774475408868;-37,6813913218418;48,0555130418493;29,6655615582748;-18,3899514835745;-38,2681409884429;48,056804963325;29,6663328325914;-18,3904721307336;-38,2681956171835;0;0;0;NA;0;0;0;NA;1,5459678037199;0,185209465040662;-1,36075833867924;-88,0198368559156
"25";2020;"SP-3518602-324EF535554A4215ABB213764BFAC2F4";36,7624734557852;2,21647918995917;6,02918950114976;0,932562412642682;0,911731668214168;-0,0208307444285135;-2,23371048909034;2,46350948534999;2,22475543030643;-0,238754055043561;-9,69162312803682;2,46350948534999;2,22475543030643;-0,238754055043561;-9,69162312803682;0;0;0;NA;0;0;0;NA;0,0219703669131035;0,021004761206999;-0,000965605706104541;-4,39503677805507
"26";2020;"SP-3518602-06C22ADABA4C42D9A7D0E3130F943869";646,268092285714;60,6271645858764;9,38111680114842;39,747596931765;24,6676443425044;-15,0799525892606;-37,9392812479921;48,0555130418493;29,5144173437764;-18,5410956980729;-38,5826610194055;48,056804963325;29,5151886180819;-18,5416163452431;-38,5827071928592;0;0;0;NA;0;0;0;NA;1,5459678037199;0,185209465040662;-1,36075833867924;-88,0198368559156
