"","fcar","situacao","uf","munic","code","NUMREGCAR"
"1","PI-2204808-6CDC5EEC200C4EDB9C43AC5DB578E1EE","AT","PI","2204808","6CDC5EEC200C4EDB9C43AC5DB578E1EE","PI22048086CDC5EEC200C4EDB9C43AC5DB578E1EE"
"2","PI-2204808-ED1F0A35CEFB4867B7B825A606A6EE17","AT","PI","2204808","ED1F0A35CEFB4867B7B825A606A6EE17","PI2204808ED1F0A35CEFB4867B7B825A606A6EE17"
"3","PI-2204808-8B55167627A941F9A66956ABE457DA96","AT","PI","2204808","8B55167627A941F9A66956ABE457DA96","PI22048088B55167627A941F9A66956ABE457DA96"
"4","PI-2204808-E2D06F98FAE44310BB46B94C02A2900A","AT","PI","2204808","E2D06F98FAE44310BB46B94C02A2900A","PI2204808E2D06F98FAE44310BB46B94C02A2900A"
"5","PI-2204808-D9E1D140650F4D1D94C72C58C3C4E3AA","AT","PI","2204808","D9E1D140650F4D1D94C72C58C3C4E3AA","PI2204808D9E1D140650F4D1D94C72C58C3C4E3AA"
"6","PI-2204808-CCFE210988B24B5583F912C84587AE18","AT","PI","2204808","CCFE210988B24B5583F912C84587AE18","PI2204808CCFE210988B24B5583F912C84587AE18"
"7","PI-2204808-EA1BD4DD44404801833B625DB53C20F1","AT","PI","2204808","EA1BD4DD44404801833B625DB53C20F1","PI2204808EA1BD4DD44404801833B625DB53C20F1"
"8","PI-2204808-333E1706C7084A18AEBCC111FF0AB91A","AT","PI","2204808","333E1706C7084A18AEBCC111FF0AB91A","PI2204808333E1706C7084A18AEBCC111FF0AB91A"
"9","PI-2204808-5F0E9157D9594644A6735327580F3F91","AT","PI","2204808","5F0E9157D9594644A6735327580F3F91","PI22048085F0E9157D9594644A6735327580F3F91"
"10","PI-2204808-0EE6399ECD0546F492CFF513EF85CBF2","AT","PI","2204808","0EE6399ECD0546F492CFF513EF85CBF2","PI22048080EE6399ECD0546F492CFF513EF85CBF2"
"11","PI-2204808-00F5F19F06534727B93C9567434EC088","AT","PI","2204808","00F5F19F06534727B93C9567434EC088","PI220480800F5F19F06534727B93C9567434EC088"
"12","PI-2204808-05891E8448434725827D78A7BBC0D204","AT","PI","2204808","05891E8448434725827D78A7BBC0D204","PI220480805891E8448434725827D78A7BBC0D204"
"13","PI-2204808-0D712A7720EB4B74B7D3C26EC6372166","AT","PI","2204808","0D712A7720EB4B74B7D3C26EC6372166","PI22048080D712A7720EB4B74B7D3C26EC6372166"
"14","PI-2204808-7F4F6AC065CE47809ADF1D7709859997","AT","PI","2204808","7F4F6AC065CE47809ADF1D7709859997","PI22048087F4F6AC065CE47809ADF1D7709859997"
"15","PI-2204808-7E497642DC054D02B23E2E8614D5907F","AT","PI","2204808","7E497642DC054D02B23E2E8614D5907F","PI22048087E497642DC054D02B23E2E8614D5907F"
"16","PI-2204808-6BBF2D8B39F34F5DA8FCF63BC654F9ED","AT","PI","2204808","6BBF2D8B39F34F5DA8FCF63BC654F9ED","PI22048086BBF2D8B39F34F5DA8FCF63BC654F9ED"
"17","PI-2204808-70E77EE2DC0E42FE93AD6C4A92DB5CC0","AT","PI","2204808","70E77EE2DC0E42FE93AD6C4A92DB5CC0","PI220480870E77EE2DC0E42FE93AD6C4A92DB5CC0"
"18","PI-2204808-ADFC32C5642749A799D9F57FD6BFCA0F","AT","PI","2204808","ADFC32C5642749A799D9F57FD6BFCA0F","PI2204808ADFC32C5642749A799D9F57FD6BFCA0F"
"19","PI-2204808-3BF789BBCA50479590800EF6366CBA67","AT","PI","2204808","3BF789BBCA50479590800EF6366CBA67","PI22048083BF789BBCA50479590800EF6366CBA67"
"20","PI-2204808-1AD898F1E84549CFAB4BC00E2178DD57","AT","PI","2204808","1AD898F1E84549CFAB4BC00E2178DD57","PI22048081AD898F1E84549CFAB4BC00E2178DD57"
"21","PI-2204808-0C4FECA3DF0D42D9A2FEDBFD87A42B43","AT","PI","2204808","0C4FECA3DF0D42D9A2FEDBFD87A42B43","PI22048080C4FECA3DF0D42D9A2FEDBFD87A42B43"
"22","PI-2204808-1FB36877883F4006BA88D70AA4919879","AT","PI","2204808","1FB36877883F4006BA88D70AA4919879","PI22048081FB36877883F4006BA88D70AA4919879"
"23","PI-2204808-F9063BC359B740499F8E424E874F74CB","AT","PI","2204808","F9063BC359B740499F8E424E874F74CB","PI2204808F9063BC359B740499F8E424E874F74CB"
"24","PI-2204808-25B8545B1F634156B1823D85CDAA6714","AT","PI","2204808","25B8545B1F634156B1823D85CDAA6714","PI220480825B8545B1F634156B1823D85CDAA6714"
"25","PI-2204808-DBE3810AE7B24C7DAE7956A050DBAA94","AT","PI","2204808","DBE3810AE7B24C7DAE7956A050DBAA94","PI2204808DBE3810AE7B24C7DAE7956A050DBAA94"
"26","PI-2204808-B810BCF46EBB463EADE53A454E16F149","AT","PI","2204808","B810BCF46EBB463EADE53A454E16F149","PI2204808B810BCF46EBB463EADE53A454E16F149"
"27","PI-2204808-AE7DD518A35046E48E44BBB8CC33645A","AT","PI","2204808","AE7DD518A35046E48E44BBB8CC33645A","PI2204808AE7DD518A35046E48E44BBB8CC33645A"
"28","PI-2204808-EC95F9C8B52E4B2484230EAB555BEFBC","AT","PI","2204808","EC95F9C8B52E4B2484230EAB555BEFBC","PI2204808EC95F9C8B52E4B2484230EAB555BEFBC"
"29","PI-2204808-FEF94F9B94B14FB591C12A07A700E396","AT","PI","2204808","FEF94F9B94B14FB591C12A07A700E396","PI2204808FEF94F9B94B14FB591C12A07A700E396"
"30","PI-2204808-4A17C1F9A2454E2A9323C67A1E279600","AT","PI","2204808","4A17C1F9A2454E2A9323C67A1E279600","PI22048084A17C1F9A2454E2A9323C67A1E279600"
"31","PI-2204808-42C0D4FD3C99436F84F014B092285C1B","AT","PI","2204808","42C0D4FD3C99436F84F014B092285C1B","PI220480842C0D4FD3C99436F84F014B092285C1B"
"32","PI-2204808-A10625914C5E45A596B8FBC0CCD36E00","AT","PI","2204808","A10625914C5E45A596B8FBC0CCD36E00","PI2204808A10625914C5E45A596B8FBC0CCD36E00"
"33","PI-2204808-9A1BF17FDEEC421E954B7A3F33F5D034","AT","PI","2204808","9A1BF17FDEEC421E954B7A3F33F5D034","PI22048089A1BF17FDEEC421E954B7A3F33F5D034"
"34","PI-2204808-79100600329C4D71823C3DEA420268F3","AT","PI","2204808","79100600329C4D71823C3DEA420268F3","PI220480879100600329C4D71823C3DEA420268F3"
"35","PI-2204808-7A0335D1B1874AEF942A13C9278CC1C3","AT","PI","2204808","7A0335D1B1874AEF942A13C9278CC1C3","PI22048087A0335D1B1874AEF942A13C9278CC1C3"
"36","PI-2204808-241EFD8F14E044AAA80C02AB9C1965D0","AT","PI","2204808","241EFD8F14E044AAA80C02AB9C1965D0","PI2204808241EFD8F14E044AAA80C02AB9C1965D0"
"37","PI-2204808-71156A14906F4270BD784A770CA4B29F","AT","PI","2204808","71156A14906F4270BD784A770CA4B29F","PI220480871156A14906F4270BD784A770CA4B29F"
"38","PI-2204808-35DD070416D6466A94359F2164B9BA31","AT","PI","2204808","35DD070416D6466A94359F2164B9BA31","PI220480835DD070416D6466A94359F2164B9BA31"
"39","PI-2204808-5A8D6CE32D904CC4A83C1CD1075313CA","AT","PI","2204808","5A8D6CE32D904CC4A83C1CD1075313CA","PI22048085A8D6CE32D904CC4A83C1CD1075313CA"
"40","PI-2204808-2928A30574634710B9ABD0FD5F6289E3","AT","PI","2204808","2928A30574634710B9ABD0FD5F6289E3","PI22048082928A30574634710B9ABD0FD5F6289E3"
"41","PI-2204808-78BEE0A65CE44FD8AF5FF6DC2F800BB2","AT","PI","2204808","78BEE0A65CE44FD8AF5FF6DC2F800BB2","PI220480878BEE0A65CE44FD8AF5FF6DC2F800BB2"
"42","PI-2204808-687E8F9987E4453D9DFB81348824E2B0","AT","PI","2204808","687E8F9987E4453D9DFB81348824E2B0","PI2204808687E8F9987E4453D9DFB81348824E2B0"
"43","PI-2204808-717CCC8E76494C8787FF0F8ED200321D","AT","PI","2204808","717CCC8E76494C8787FF0F8ED200321D","PI2204808717CCC8E76494C8787FF0F8ED200321D"
"44","PI-2204808-047022FB0E604C4499F63A2F58F94366","AT","PI","2204808","047022FB0E604C4499F63A2F58F94366","PI2204808047022FB0E604C4499F63A2F58F94366"
"45","PI-2204808-BD3EDAC0E19C4144B0E3C88F418BF181","AT","PI","2204808","BD3EDAC0E19C4144B0E3C88F418BF181","PI2204808BD3EDAC0E19C4144B0E3C88F418BF181"
"46","PI-2204808-0883B3A79B764E89B23CD5F83BC74606","AT","PI","2204808","0883B3A79B764E89B23CD5F83BC74606","PI22048080883B3A79B764E89B23CD5F83BC74606"
"47","PI-2204808-2678BE1A515C4AD7AFDEE1CE4E913FF3","AT","PI","2204808","2678BE1A515C4AD7AFDEE1CE4E913FF3","PI22048082678BE1A515C4AD7AFDEE1CE4E913FF3"
