"","fcar","situacao","uf","munic","code","NUMREGCAR"
"1","MG-3131208-19A22FC711954B498DFF5D813BBBA298","AT","MG","3131208","19A22FC711954B498DFF5D813BBBA298","MG313120819A22FC711954B498DFF5D813BBBA298"
"2","MG-3131208-F461D6AEBA9F46108F18F55264612A3B","AT","MG","3131208","F461D6AEBA9F46108F18F55264612A3B","MG3131208F461D6AEBA9F46108F18F55264612A3B"
"3","MG-3131208-FDE251C2B08C45369336456EB01CB786","AT","MG","3131208","FDE251C2B08C45369336456EB01CB786","MG3131208FDE251C2B08C45369336456EB01CB786"
"4","MG-3131208-493FDAE4B35B4DAD8FE54BC178AAD0D1","AT","MG","3131208","493FDAE4B35B4DAD8FE54BC178AAD0D1","MG3131208493FDAE4B35B4DAD8FE54BC178AAD0D1"
"5","MG-3131208-AABC366B67074A24A127D093B84CE475","AT","MG","3131208","AABC366B67074A24A127D093B84CE475","MG3131208AABC366B67074A24A127D093B84CE475"
"6","MG-3131208-E571D57937244E2488A15CE32C1F16A3","AT","MG","3131208","E571D57937244E2488A15CE32C1F16A3","MG3131208E571D57937244E2488A15CE32C1F16A3"
"7","MG-3131208-78812308FDCC4C75920BEB60BDF7BAA2","AT","MG","3131208","78812308FDCC4C75920BEB60BDF7BAA2","MG313120878812308FDCC4C75920BEB60BDF7BAA2"
"8","MG-3131208-27D0DA86488E4183A2D2AC4C48FBE853","AT","MG","3131208","27D0DA86488E4183A2D2AC4C48FBE853","MG313120827D0DA86488E4183A2D2AC4C48FBE853"
"9","MG-3131208-57AF89FFD3FC48D5932E48921C3D732E","AT","MG","3131208","57AF89FFD3FC48D5932E48921C3D732E","MG313120857AF89FFD3FC48D5932E48921C3D732E"
"10","MG-3131208-DDCF0D8831634298BC89058D8038D4C5","AT","MG","3131208","DDCF0D8831634298BC89058D8038D4C5","MG3131208DDCF0D8831634298BC89058D8038D4C5"
"11","MG-3131208-66351A5F3E6441B9A97370B3BFDD67D9","AT","MG","3131208","66351A5F3E6441B9A97370B3BFDD67D9","MG313120866351A5F3E6441B9A97370B3BFDD67D9"
"12","MG-3131208-668D3C1E6F0B4ABAA8794B2A01ECDF8B","AT","MG","3131208","668D3C1E6F0B4ABAA8794B2A01ECDF8B","MG3131208668D3C1E6F0B4ABAA8794B2A01ECDF8B"
"13","MG-3131208-638F1EFDFC9E48B48813434B482AF6E1","AT","MG","3131208","638F1EFDFC9E48B48813434B482AF6E1","MG3131208638F1EFDFC9E48B48813434B482AF6E1"
