"","fcar","situacao","uf","munic","code","NUMREGCAR"
"1","MG-3166303-63D49FE10122456D8B366EDDF29E2181","AT","MG","3166303","63D49FE10122456D8B366EDDF29E2181","MG316630363D49FE10122456D8B366EDDF29E2181"
"2","MG-3166303-E5809A9D411F4BA6813EE563BE7EFB0B","AT","MG","3166303","E5809A9D411F4BA6813EE563BE7EFB0B","MG3166303E5809A9D411F4BA6813EE563BE7EFB0B"
"3","MG-3166303-E5981FB6377B40D99BB22D0E7B5BB0FA","AT","MG","3166303","E5981FB6377B40D99BB22D0E7B5BB0FA","MG3166303E5981FB6377B40D99BB22D0E7B5BB0FA"
"4","MG-3166303-DE7519E77172475BB8F3C0487135CF3C","AT","MG","3166303","DE7519E77172475BB8F3C0487135CF3C","MG3166303DE7519E77172475BB8F3C0487135CF3C"
"5","MG-3166303-848332DA28E04FBF81C9007B16A2F00E","AT","MG","3166303","848332DA28E04FBF81C9007B16A2F00E","MG3166303848332DA28E04FBF81C9007B16A2F00E"
"6","MG-3166303-BB398AAC026F41EABF3784055B337BEF","AT","MG","3166303","BB398AAC026F41EABF3784055B337BEF","MG3166303BB398AAC026F41EABF3784055B337BEF"
"7","MG-3166303-69CD8E41BBA041A3947CA9F6A3D80F1D","AT","MG","3166303","69CD8E41BBA041A3947CA9F6A3D80F1D","MG316630369CD8E41BBA041A3947CA9F6A3D80F1D"
"8","MG-3166303-9EF548D4C3A240229D0CDF352C96890B","AT","MG","3166303","9EF548D4C3A240229D0CDF352C96890B","MG31663039EF548D4C3A240229D0CDF352C96890B"
"9","MG-3166303-C84031737BC74C248457A498E8DD3FEA","AT","MG","3166303","C84031737BC74C248457A498E8DD3FEA","MG3166303C84031737BC74C248457A498E8DD3FEA"
"10","MG-3166303-C9C6175E916C49D1A0C7E3CE85FBE2FF","AT","MG","3166303","C9C6175E916C49D1A0C7E3CE85FBE2FF","MG3166303C9C6175E916C49D1A0C7E3CE85FBE2FF"
"11","MG-3166303-DC68CD087AB64FDCAB21880C95F0111B","AT","MG","3166303","DC68CD087AB64FDCAB21880C95F0111B","MG3166303DC68CD087AB64FDCAB21880C95F0111B"
"12","MG-3166303-2A82B35A487048AAAF66CC38BE6E6751","AT","MG","3166303","2A82B35A487048AAAF66CC38BE6E6751","MG31663032A82B35A487048AAAF66CC38BE6E6751"
"13","MG-3166303-0F2ED585202641EE8D67EF0BD3565EED","AT","MG","3166303","0F2ED585202641EE8D67EF0BD3565EED","MG31663030F2ED585202641EE8D67EF0BD3565EED"
"14","MG-3166303-217BA4C4BDEB4DEB8BD4A25E0AC424C7","AT","MG","3166303","217BA4C4BDEB4DEB8BD4A25E0AC424C7","MG3166303217BA4C4BDEB4DEB8BD4A25E0AC424C7"
"15","MG-3166303-390CC5EBB24846528B0DF0274368065D","AT","MG","3166303","390CC5EBB24846528B0DF0274368065D","MG3166303390CC5EBB24846528B0DF0274368065D"
"16","MG-3166303-F2BFEAA8E16B429181599CE4FB6370EF","AT","MG","3166303","F2BFEAA8E16B429181599CE4FB6370EF","MG3166303F2BFEAA8E16B429181599CE4FB6370EF"
"17","MG-3166303-3236D3865DB04BD19AF832A2DE12564E","AT","MG","3166303","3236D3865DB04BD19AF832A2DE12564E","MG31663033236D3865DB04BD19AF832A2DE12564E"
"18","MG-3166303-50772FCAA5DC46F58CAAD6C67FE07EFB","AT","MG","3166303","50772FCAA5DC46F58CAAD6C67FE07EFB","MG316630350772FCAA5DC46F58CAAD6C67FE07EFB"
"19","MG-3166303-00934203DD984E03B94A1EA0DD2BF1B8","AT","MG","3166303","00934203DD984E03B94A1EA0DD2BF1B8","MG316630300934203DD984E03B94A1EA0DD2BF1B8"
"20","MG-3166303-F36892A30FBF4421AA1296B4FC0AE660","AT","MG","3166303","F36892A30FBF4421AA1296B4FC0AE660","MG3166303F36892A30FBF4421AA1296B4FC0AE660"
