"","munic","Processado","Status"
"1453","4114708","Sim","CAR encontrado"
"1454","4114609","Sim","CAR encontrado"
"1455","4114500","Sim","CAR encontrado"
"1456","4114401","Sim","CAR encontrado"
"1457","4114351","Sim","CAR encontrado"
"1458","4114302","Sim","CAR encontrado"
"1459","4114203","Sim","CAR encontrado"
"1460","4114104","Sim","CAR encontrado"
"1461","4114005","Sim","CAR encontrado"
"1462","4113908","Sim","CAR encontrado"
"1463","4113809","Sim","CAR encontrado"
"1464","4113759","Sim","CAR encontrado"
"1465","4113734","Sim","CAR encontrado"
"1466","4113700","Sim","CAR encontrado"
"1467","4113601","Sim","CAR encontrado"
"1468","4113502","Sim","CAR encontrado"
"1469","4113452","Sim","CAR encontrado"
"1470","4113429","Sim","CAR encontrado"
"1471","4113403","Sim","CAR encontrado"
"1472","4113304","Sim","CAR encontrado"
"1473","4113254","Sim","CAR encontrado"
"1474","4113205","Sim","CAR encontrado"
"1475","4113106","Sim","CAR encontrado"
"1476","4113007","Sim","CAR encontrado"
"1477","4112959","Sim","CAR encontrado"
"1478","4112900","Sim","CAR encontrado"
"1479","4112801","Sim","CAR encontrado"
"1480","4112751","Sim","CAR encontrado"
"1481","4112702","Sim","CAR encontrado"
"1482","4112603","Sim","CAR encontrado"
"1483","4112504","Sim","CAR encontrado"
"1484","4112405","Sim","CAR encontrado"
"1485","4112306","Sim","CAR encontrado"
"1486","4112207","Sim","CAR encontrado"
"1487","4112108","Sim","CAR encontrado"
"1488","4112009","Sim","CAR encontrado"
"1489","4111902","Sim","CAR encontrado"
"1490","4111803","Sim","CAR encontrado"
"1491","4111704","Sim","CAR encontrado"
"1492","4111605","Sim","CAR encontrado"
"1493","4111555","Sim","CAR encontrado"
"1494","4111506","Sim","CAR encontrado"
"1495","4111407","Sim","CAR encontrado"
"1496","4111308","Sim","CAR encontrado"
"1497","4111258","Sim","CAR encontrado"
"1498","4111209","Sim","CAR encontrado"
"1499","4111100","Sim","CAR encontrado"
"1500","4111001","Sim","CAR encontrado"
"1501","4110953","Sim","CAR encontrado"
"1502","4110904","Sim","CAR encontrado"
"1503","4110805","Sim","CAR encontrado"
"1504","4110706","Sim","CAR encontrado"
"1505","4110656","Sim","CAR encontrado"
"1506","4110607","Sim","CAR encontrado"
"1507","4110508","Sim","CAR encontrado"
"1508","4110409","Sim","CAR encontrado"
"1509","4110300","Sim","CAR encontrado"
"1510","4110201","Sim","CAR encontrado"
"1511","4110102","Sim","CAR encontrado"
"1512","4110078","Sim","CAR encontrado"
"1513","4110052","Sim","CAR encontrado"
"1514","4110003","Sim","CAR encontrado"
"1515","4109906","Sim","CAR encontrado"
"1516","4109807","Sim","CAR encontrado"
"1517","4109757","Sim","CAR encontrado"
"1518","4109708","Sim","CAR encontrado"
"1519","4109658","Sim","CAR encontrado"
"1520","4109609","Sim","CAR encontrado"
"1521","4109500","Sim","CAR encontrado"
"1522","4109401","Sim","CAR encontrado"
"1523","4109302","Sim","CAR encontrado"
"1524","4109203","Sim","CAR encontrado"
"1525","4109104","Sim","CAR encontrado"
"1526","4109005","Sim","CAR encontrado"
"1527","4108957","Sim","CAR encontrado"
"1528","4108908","Sim","CAR encontrado"
"1529","4108809","Sim","CAR encontrado"
"1530","4108700","Sim","CAR encontrado"
"1531","4108650","Sim","CAR encontrado"
"1532","4108601","Sim","CAR encontrado"
"1533","4108551","Sim","CAR encontrado"
"1534","4108502","Sim","CAR encontrado"
"1535","4108403","Sim","CAR encontrado"
"1536","4108320","Sim","CAR encontrado"
"1537","4108452","Sim","CAR encontrado"
"1538","4108304","Sim","CAR encontrado"
"1539","4108205","Sim","CAR encontrado"
"1540","4108106","Sim","CAR encontrado"
"1541","4108007","Sim","CAR encontrado"
"1542","4107900","Sim","CAR encontrado"
"1543","4107801","Sim","CAR encontrado"
"1544","4107850","Sim","CAR encontrado"
"1545","4107751","Sim","CAR encontrado"
"1546","4107736","Sim","CAR encontrado"
"1547","4107702","Sim","CAR encontrado"
"1548","4107652","Sim","CAR encontrado"
"1549","4107603","Sim","CAR encontrado"
"1550","4107553","Sim","CAR encontrado"
"1551","4107546","Sim","CAR encontrado"
"1552","4107520","Sim","CAR encontrado"
"1553","4107538","Sim","CAR encontrado"
"1554","4107504","Sim","CAR encontrado"
"1555","4107405","Sim","CAR encontrado"
"1556","4128633","Sim","CAR encontrado"
"1557","4107306","Sim","CAR encontrado"
"1558","4107256","Sim","CAR encontrado"
"1559","4107207","Sim","CAR encontrado"
"1560","4107157","Sim","CAR encontrado"
"1561","4107124","Sim","CAR encontrado"
"1562","4107108","Sim","CAR encontrado"
"1563","4107009","Sim","CAR encontrado"
"1564","4106902","Sim","CAR encontrado"
"1565","4106852","Sim","CAR encontrado"
"1566","4106704","Sim","CAR encontrado"
"1567","4106605","Sim","CAR encontrado"
"1568","4106571","Sim","CAR encontrado"
"1569","4106803","Sim","CAR encontrado"
"1570","4106555","Sim","CAR encontrado"
"1571","4106506","Sim","CAR encontrado"
"1572","4106456","Sim","CAR encontrado"
"1573","4106407","Sim","CAR encontrado"
"1574","4106308","Sim","CAR encontrado"
"1575","4106209","Sim","CAR encontrado"
"1576","4106100","Sim","CAR encontrado"
"1577","4106001","Sim","CAR encontrado"
"1578","4105904","Sim","CAR encontrado"
"1579","4105805","Sim","CAR encontrado"
"1580","4105706","Sim","CAR encontrado"
"1581","4105607","Sim","CAR encontrado"
"1582","4105508","Sim","CAR encontrado"
"1583","4105409","Sim","CAR encontrado"
"1584","4105300","Sim","CAR encontrado"
"1585","4105201","Sim","CAR encontrado"
"1586","4105102","Sim","CAR encontrado"
"1587","4105003","Sim","CAR encontrado"
"1588","4104907","Sim","CAR encontrado"
"1589","4104808","Sim","CAR encontrado"
"1590","4104709","Sim","CAR encontrado"
"1591","4104659","Sim","CAR encontrado"
"1592","4104600","Sim","CAR encontrado"
"1593","4104501","Sim","CAR encontrado"
"1594","4104451","Sim","CAR encontrado"
"1595","4104428","Sim","CAR encontrado"
"1596","4104402","Sim","CAR encontrado"
"1597","4104303","Sim","CAR encontrado"
"1598","4104253","Sim","CAR encontrado"
"1599","4104204","Sim","CAR encontrado"
"1600","4104105","Sim","CAR encontrado"
"1601","4104055","Sim","CAR encontrado"
"1602","4104006","Sim","CAR encontrado"
"1603","4103958","Sim","CAR encontrado"
"1604","4103909","Sim","CAR encontrado"
"1605","4103800","Sim","CAR encontrado"
"1606","4103701","Sim","CAR encontrado"
"1607","4103602","Sim","CAR encontrado"
"1608","4103503","Sim","CAR encontrado"
"1609","4103479","Sim","CAR encontrado"
"1610","4103453","Sim","CAR encontrado"
"1611","4103404","Sim","CAR encontrado"
"1612","4103370","Sim","CAR encontrado"
"1613","4103354","Sim","CAR encontrado"
"1614","4103305","Sim","CAR encontrado"
"1615","4103222","Sim","CAR encontrado"
"1616","4103206","Sim","CAR encontrado"
"1617","4103156","Sim","CAR encontrado"
"1618","4103107","Sim","CAR encontrado"
"1619","4103057","Sim","CAR encontrado"
"1620","4103040","Sim","CAR encontrado"
"1621","4103024","Sim","CAR encontrado"
"1622","4103008","Sim","CAR encontrado"
"1623","4102901","Sim","CAR encontrado"
"1624","4102802","Sim","CAR encontrado"
"1625","4102752","Sim","CAR encontrado"
"1626","4102604","Sim","CAR encontrado"
"1627","4102703","Sim","CAR encontrado"
"1628","4102505","Sim","CAR encontrado"
"1629","4102406","Sim","CAR encontrado"
"1630","4102307","Sim","CAR encontrado"
"1631","4102208","Sim","CAR encontrado"
"1632","4102109","Sim","CAR encontrado"
"1633","4102000","Sim","CAR encontrado"
"1634","4101903","Sim","CAR encontrado"
"1635","4101853","Sim","CAR encontrado"
"1636","4101804","Sim","CAR encontrado"
"1637","4101705","Sim","CAR encontrado"
"1638","4101655","Sim","CAR encontrado"
"1639","4101606","Sim","CAR encontrado"
"1640","4101507","Sim","CAR encontrado"
"1641","4101408","Sim","CAR encontrado"
"1642","4101309","Sim","CAR encontrado"
"1643","4101200","Sim","CAR encontrado"
"1644","4101150","Sim","CAR encontrado"
"1645","4101101","Sim","CAR encontrado"
"1646","4101051","Sim","CAR encontrado"
"1647","4101002","Sim","CAR encontrado"
"1648","4100905","Sim","CAR encontrado"
"1649","4100806","Sim","CAR encontrado"
"1650","4100509","Sim","CAR encontrado"
"1651","4100707","Sim","CAR encontrado"
"1652","4100608","Sim","CAR encontrado"
"1653","4128625","Sim","CAR encontrado"
"1654","4100459","Sim","CAR encontrado"
"1655","4100400","Sim","CAR encontrado"
"1656","4100301","Sim","CAR encontrado"
"1657","4100202","Sim","CAR encontrado"
"1658","4100103","Sim","CAR encontrado"
"1659","3557154","Sim","CAR encontrado"
"1660","3557105","Sim","CAR encontrado"
"1661","3557006","Sim","CAR encontrado"
"1662","3556958","Sim","CAR encontrado"
"1663","3556909","Sim","CAR encontrado"
"1664","3556800","Sim","CAR encontrado"
"1665","3556701","Sim","CAR encontrado"
"1666","3556602","Sim","CAR encontrado"
"1667","3556503","Sim","CAR encontrado"
"1668","3556453","Sim","CAR encontrado"
"1669","3556404","Sim","CAR encontrado"
"1670","3556354","Sim","CAR encontrado"
"1671","3556305","Sim","CAR encontrado"
"1672","3556206","Sim","CAR encontrado"
"1673","3556107","Sim","CAR encontrado"
"1674","3556008","Sim","CAR encontrado"
"1675","3555901","Sim","CAR encontrado"
"1676","3555802","Sim","CAR encontrado"
"1677","3555703","Sim","CAR encontrado"
"1678","3555604","Sim","CAR encontrado"
"1679","3555505","Sim","CAR encontrado"
"1680","3555406","Sim","CAR encontrado"
"1681","3555356","Sim","CAR encontrado"
"1682","3555307","Sim","CAR encontrado"
"1683","3555208","Sim","CAR encontrado"
"1684","3555109","Sim","CAR encontrado"
"1685","3555000","Sim","CAR encontrado"
"1686","3554953","Sim","CAR encontrado"
"1687","3554904","Sim","CAR encontrado"
"1688","3554805","Sim","CAR encontrado"
"1689","3554755","Sim","CAR encontrado"
"1690","3554706","Sim","CAR encontrado"
"1691","3554656","Sim","CAR encontrado"
"1692","3554607","Sim","CAR encontrado"
"1693","3554508","Sim","CAR encontrado"
"1694","3554409","Sim","CAR encontrado"
"1695","3554300","Sim","CAR encontrado"
"1696","3554201","Sim","CAR encontrado"
"1697","3554102","Sim","CAR encontrado"
"1698","3554003","Sim","CAR encontrado"
"1699","3553955","Sim","CAR encontrado"
"1700","3553906","Sim","CAR encontrado"
"1701","3553856","Sim","CAR encontrado"
"1702","3553807","Sim","CAR encontrado"
"1703","3553708","Sim","CAR encontrado"
"1704","3553658","Sim","CAR encontrado"
"1705","3553609","Sim","CAR encontrado"
"1706","3553500","Sim","CAR encontrado"
"1707","3553401","Sim","CAR encontrado"
"1708","3553302","Sim","CAR encontrado"
"1709","3553203","Sim","CAR encontrado"
"1710","3553104","Sim","CAR encontrado"
"1711","3553005","Sim","CAR encontrado"
"1712","3552908","Sim","CAR encontrado"
"1713","3552809","Sim","CAR encontrado"
"1714","3552700","Sim","CAR encontrado"
"1715","3552601","Sim","CAR encontrado"
"1716","3552502","Sim","CAR encontrado"
"1717","3552551","Sim","CAR encontrado"
"1718","3552403","Sim","CAR encontrado"
"1719","3552304","Sim","CAR encontrado"
"1720","3552205","Sim","CAR encontrado"
"1721","3552106","Sim","CAR encontrado"
"1722","3552007","Sim","CAR encontrado"
"1723","3551900","Sim","CAR encontrado"
"1724","3551801","Sim","CAR encontrado"
"1725","3551702","Sim","CAR encontrado"
"1726","3551504","Sim","CAR encontrado"
"1727","3551603","Sim","CAR encontrado"
"1728","3551405","Sim","CAR encontrado"
"1729","3551306","Sim","CAR encontrado"
"1730","3551207","Sim","CAR encontrado"
"1731","3551108","Sim","CAR encontrado"
"1732","3551009","Sim","CAR encontrado"
"1733","3550902","Sim","CAR encontrado"
"1734","3550803","Sim","CAR encontrado"
"1735","3550704","Sim","CAR encontrado"
"1736","3550605","Sim","CAR encontrado"
"1737","3550506","Sim","CAR encontrado"
"1738","3550407","Sim","CAR encontrado"
"1739","3550308","Sim","CAR encontrado"
"1740","3550209","Sim","CAR encontrado"
"1741","3550100","Sim","CAR encontrado"
"1742","3550001","Sim","CAR encontrado"
"1743","3549953","Sim","CAR encontrado"
"1744","3549904","Sim","CAR encontrado"
"1745","3549805","Sim","CAR encontrado"
"1746","3549706","Sim","CAR encontrado"
"1747","3549607","Sim","CAR encontrado"
"1748","3549508","Sim","CAR encontrado"
"1749","3549409","Sim","CAR encontrado"
"1750","3549300","Sim","CAR encontrado"
"1751","3549250","Sim","CAR encontrado"
"1752","3549201","Sim","CAR encontrado"
"1753","3549102","Sim","CAR encontrado"
"1754","3549003","Sim","CAR encontrado"
"1755","3548906","Sim","CAR encontrado"
"1756","3548807","Sim","CAR NÃo encontrado"
"1757","3548708","Sim","CAR encontrado"
"1758","3548609","Sim","CAR encontrado"
"1759","3548500","Sim","CAR encontrado"
"1760","3548401","Sim","CAR encontrado"
"1761","3548302","Sim","CAR encontrado"
"1762","3548203","Sim","CAR encontrado"
"1763","3548104","Sim","CAR encontrado"
"1764","3548054","Sim","CAR encontrado"
"1765","3548005","Sim","CAR encontrado"
"1766","3547908","Sim","CAR encontrado"
"1767","3547809","Sim","CAR encontrado"
"1768","3547700","Sim","CAR encontrado"
"1769","3547304","Sim","CAR encontrado"
"1770","3547205","Sim","CAR encontrado"
"1771","3547650","Sim","CAR encontrado"
"1772","3547601","Sim","CAR encontrado"
"1773","3547403","Sim","CAR encontrado"
"1774","3547502","Sim","CAR encontrado"
"1775","3547106","Sim","CAR encontrado"
"1776","3547007","Sim","CAR encontrado"
"1777","3546900","Sim","CAR encontrado"
"1778","3546801","Sim","CAR encontrado"
"1779","3546702","Sim","CAR encontrado"
"1780","3546603","Sim","CAR encontrado"
"1781","3546504","Sim","CAR encontrado"
"1782","3546405","Sim","CAR encontrado"
"1783","3546306","Sim","CAR encontrado"
"1784","3546256","Sim","CAR encontrado"
"1785","3546207","Sim","CAR encontrado"
"1786","3546108","Sim","CAR encontrado"
"1787","3546009","Sim","CAR encontrado"
"1788","3545803","Sim","CAR encontrado"
"1789","3545704","Sim","CAR encontrado"
"1790","3545605","Sim","CAR encontrado"
"1791","3545506","Sim","CAR encontrado"
"1792","3545407","Sim","CAR encontrado"
"1793","3545308","Sim","CAR encontrado"
"1794","3545209","Sim","CAR encontrado"
"1795","3545159","Sim","CAR encontrado"
"1796","3545100","Sim","CAR encontrado"
"1797","3545001","Sim","CAR encontrado"
"1798","3544905","Sim","CAR encontrado"
"1799","3544806","Sim","CAR encontrado"
"1800","3544707","Sim","CAR encontrado"
"1801","3544608","Sim","CAR encontrado"
"1802","3544509","Sim","CAR encontrado"
"1803","3544400","Sim","CAR encontrado"
"1804","3544301","Sim","CAR encontrado"
"1805","3544251","Sim","CAR encontrado"
"1806","3543501","Sim","CAR encontrado"
"1807","3544202","Sim","CAR encontrado"
"1808","3544103","Sim","CAR encontrado"
"1809","3544004","Sim","CAR encontrado"
"1810","3543907","Sim","CAR encontrado"
"1811","3543808","Sim","CAR encontrado"
"1812","3543709","Sim","CAR encontrado"
"1813","3543600","Sim","CAR encontrado"
"1814","3543402","Sim","CAR encontrado"
"1815","3543303","Sim","CAR encontrado"
"1816","3543253","Sim","CAR encontrado"
"1817","3543238","Sim","CAR encontrado"
"1818","3543204","Sim","CAR encontrado"
"1819","3543105","Sim","CAR encontrado"
"1820","3543006","Sim","CAR encontrado"
"1821","3542909","Sim","CAR encontrado"
"1822","3542800","Sim","CAR encontrado"
"1823","3542701","Sim","CAR encontrado"
"1824","3542602","Sim","CAR encontrado"
"1825","3542503","Sim","CAR encontrado"
"1826","3542404","Sim","CAR encontrado"
"1827","3542305","Sim","CAR encontrado"
"1828","3542206","Sim","CAR encontrado"
"1829","3542107","Sim","CAR encontrado"
"1830","3542008","Sim","CAR encontrado"
"1831","3541901","Sim","CAR encontrado"
"1832","3541802","Sim","CAR encontrado"
"1833","3541703","Sim","CAR encontrado"
"1834","3541653","Sim","CAR encontrado"
"1835","3541604","Sim","CAR encontrado"
"1836","3541505","Sim","CAR encontrado"
"1837","3541406","Sim","CAR encontrado"
"1838","3541307","Sim","CAR encontrado"
"1839","3541208","Sim","CAR encontrado"
"1840","3541109","Sim","CAR encontrado"
"1841","3541059","Sim","CAR encontrado"
"1842","3541000","Sim","CAR encontrado"
"1843","3540903","Sim","CAR encontrado"
"1844","3540853","Sim","CAR encontrado"
"1845","3540804","Sim","CAR encontrado"
"1846","3540754","Sim","CAR encontrado"
"1847","3540705","Sim","CAR encontrado"
"1848","3540606","Sim","CAR encontrado"
"1849","3540507","Sim","CAR encontrado"
"1850","3540408","Sim","CAR encontrado"
"1851","3540309","Sim","CAR encontrado"
"1852","3540259","Sim","CAR encontrado"
"1853","3540200","Sim","CAR encontrado"
"1854","3540101","Sim","CAR encontrado"
"1855","3540002","Sim","CAR encontrado"
"1856","3539905","Sim","CAR encontrado"
"1857","3539806","Sim","CAR encontrado"
"1858","3539707","Sim","CAR encontrado"
"1859","3539608","Sim","CAR encontrado"
"1860","3539509","Sim","CAR encontrado"
"1861","3539400","Sim","CAR encontrado"
"1862","3539301","Sim","CAR encontrado"
"1863","3539202","Sim","CAR encontrado"
"1864","3539103","Sim","CAR encontrado"
"1865","3539004","Sim","CAR encontrado"
"1866","3538907","Sim","CAR encontrado"
"1867","3538808","Sim","CAR encontrado"
"1868","3538709","Sim","CAR encontrado"
"1869","3538600","Sim","CAR encontrado"
"1870","3538501","Sim","CAR encontrado"
"1871","3538303","Sim","CAR encontrado"
"1872","3538204","Sim","CAR encontrado"
"1873","3538105","Sim","CAR encontrado"
"1874","3538006","Sim","CAR encontrado"
"1875","3537909","Sim","CAR encontrado"
"1876","3537800","Sim","CAR encontrado"
"1877","3537701","Sim","CAR encontrado"
"1878","3537602","Sim","CAR encontrado"
"1879","3537503","Sim","CAR encontrado"
"1880","3537404","Sim","CAR encontrado"
"1881","3537305","Sim","CAR encontrado"
"1882","3537206","Sim","CAR encontrado"
"1883","3537156","Sim","CAR encontrado"
"1884","3537107","Sim","CAR encontrado"
"1885","3537008","Sim","CAR encontrado"
"1886","3536901","Sim","CAR encontrado"
"1887","3536802","Sim","CAR encontrado"
"1888","3536703","Sim","CAR encontrado"
"1889","3536604","Sim","CAR encontrado"
"1890","3536570","Sim","CAR encontrado"
"1891","3536505","Sim","CAR encontrado"
"1892","3536406","Sim","CAR encontrado"
"1893","3536307","Sim","CAR encontrado"
"1894","3536257","Sim","CAR encontrado"
"1895","3536208","Sim","CAR encontrado"
"1896","3536109","Sim","CAR encontrado"
"1897","3536000","Sim","CAR encontrado"
"1898","3535903","Sim","CAR encontrado"
"1899","3535804","Sim","CAR encontrado"
"1900","3535705","Sim","CAR encontrado"
"1901","3535606","Sim","CAR encontrado"
"1902","3535507","Sim","CAR encontrado"
"1903","3535408","Sim","CAR encontrado"
"1904","3535309","Sim","CAR encontrado"
"1905","3535200","Sim","CAR encontrado"
"1906","3535101","Sim","CAR encontrado"
"1907","3535002","Sim","CAR encontrado"
"1908","3534906","Sim","CAR encontrado"
"1909","3534757","Sim","CAR encontrado"
"1910","3534807","Sim","CAR encontrado"
"1911","3534708","Sim","CAR encontrado"
"1912","3534609","Sim","CAR encontrado"
"1913","3534500","Sim","CAR encontrado"
"1914","3534401","Sim","CAR encontrado"
"1915","3534302","Sim","CAR encontrado"
"1916","3534203","Sim","CAR encontrado"
"1917","3534104","Sim","CAR encontrado"
"1918","3534005","Sim","CAR encontrado"
"1919","3533908","Sim","CAR encontrado"
"1920","3533809","Sim","CAR encontrado"
"1921","3533700","Sim","CAR encontrado"
"1922","3533601","Sim","CAR encontrado"
"1923","3533502","Sim","CAR encontrado"
"1924","3533254","Sim","CAR encontrado"
"1925","3533403","Sim","CAR encontrado"
"1926","3533304","Sim","CAR encontrado"
"1927","3533205","Sim","CAR encontrado"
"1928","3533106","Sim","CAR encontrado"
"1929","3533007","Sim","CAR encontrado"
"1930","3532900","Sim","CAR encontrado"
"1931","3532868","Sim","CAR encontrado"
"1932","3532843","Sim","CAR encontrado"
"1933","3532827","Sim","CAR encontrado"
"1934","3532801","Sim","CAR encontrado"
"1935","3532702","Sim","CAR encontrado"
"1936","3532603","Sim","CAR encontrado"
"1937","3532504","Sim","CAR encontrado"
"1938","3532405","Sim","CAR encontrado"
"1939","3532306","Sim","CAR encontrado"
"1940","3532207","Sim","CAR encontrado"
"1941","3532157","Sim","CAR encontrado"
"1942","3532108","Sim","CAR encontrado"
"1943","3532058","Sim","CAR encontrado"
"1944","3532009","Sim","CAR encontrado"
"1945","3531902","Sim","CAR encontrado"
"1946","3531704","Sim","CAR encontrado"
"1947","3531803","Sim","CAR encontrado"
"1948","3531605","Sim","CAR encontrado"
"1949","3531506","Sim","CAR encontrado"
"1950","3531407","Sim","CAR encontrado"
"1951","3531308","Sim","CAR encontrado"
"1952","3531209","Sim","CAR encontrado"
"1953","3531100","Sim","CAR encontrado"
"1954","3531001","Sim","CAR encontrado"
"1955","3530904","Sim","CAR encontrado"
"1956","3530805","Sim","CAR encontrado"
"1957","3530706","Sim","CAR encontrado"
"1958","3530607","Sim","CAR encontrado"
"1959","3530508","Sim","CAR encontrado"
"1960","3530409","Sim","CAR encontrado"
"1961","3530300","Sim","CAR encontrado"
"1962","3530201","Sim","CAR encontrado"
"1963","3530102","Sim","CAR encontrado"
"1964","3529906","Sim","CAR encontrado"
"1965","3530003","Sim","CAR encontrado"
"1966","3529807","Sim","CAR encontrado"
"1967","3529708","Sim","CAR encontrado"
"1968","3529658","Sim","CAR encontrado"
"1969","3529609","Sim","CAR encontrado"
"1970","3529500","Sim","CAR encontrado"
"1971","3529401","Sim","CAR encontrado"
"1972","3529302","Sim","CAR encontrado"
"1973","3529203","Sim","CAR encontrado"
"1974","3529104","Sim","CAR encontrado"
"1975","3529005","Sim","CAR encontrado"
"1976","3528908","Sim","CAR encontrado"
"1977","3528858","Sim","CAR encontrado"
"1978","3528809","Sim","CAR encontrado"
"1979","3528700","Sim","CAR encontrado"
"1980","3528601","Sim","CAR encontrado"
"1981","3528502","Sim","CAR encontrado"
"1982","3528403","Sim","CAR encontrado"
"1983","3528304","Sim","CAR encontrado"
"1984","3528205","Sim","CAR encontrado"
"1985","3528106","Sim","CAR encontrado"
"1986","3528007","Sim","CAR encontrado"
"1987","3527900","Sim","CAR encontrado"
"1988","3527801","Sim","CAR encontrado"
"1989","3527702","Sim","CAR encontrado"
"1990","3527603","Sim","CAR encontrado"
"1991","3527504","Sim","CAR encontrado"
"1992","3527405","Sim","CAR encontrado"
"1993","3527306","Sim","CAR encontrado"
"1994","3527256","Sim","CAR encontrado"
"1995","3527207","Sim","CAR encontrado"
"1996","3527108","Sim","CAR encontrado"
"1997","3527009","Sim","CAR encontrado"
"1998","3526902","Sim","CAR encontrado"
"1999","3526803","Sim","CAR encontrado"
"2000","3526704","Sim","CAR encontrado"
"2001","3526605","Sim","CAR encontrado"
"2002","3526506","Sim","CAR encontrado"
"2003","3526407","Sim","CAR encontrado"
"2004","3526308","Sim","CAR encontrado"
"2005","3526209","Sim","CAR encontrado"
"2006","3526100","Sim","CAR encontrado"
"2007","3526001","Sim","CAR encontrado"
"2008","3525904","Sim","CAR encontrado"
"2009","3525854","Sim","CAR encontrado"
"2010","3525805","Sim","CAR encontrado"
"2011","3525706","Sim","CAR encontrado"
"2012","3525607","Sim","CAR encontrado"
"2013","3525508","Sim","CAR encontrado"
"2014","3525409","Sim","CAR encontrado"
"2015","3525300","Sim","CAR encontrado"
"2016","3525201","Sim","CAR encontrado"
"2017","3525102","Sim","CAR encontrado"
"2018","3525003","Sim","CAR encontrado"
"2019","3524907","Sim","CAR encontrado"
"2020","3524808","Sim","CAR encontrado"
"2021","3524709","Sim","CAR encontrado"
"2022","3524600","Sim","CAR encontrado"
"2023","3524501","Sim","CAR encontrado"
"2024","3524402","Sim","CAR encontrado"
"2025","3524303","Sim","CAR encontrado"
"2026","3524204","Sim","CAR encontrado"
"2027","3524105","Sim","CAR encontrado"
"2028","3524006","Sim","CAR encontrado"
"2029","3523909","Sim","CAR encontrado"
"2030","3523800","Sim","CAR encontrado"
"2031","3523701","Sim","CAR encontrado"
"2032","3523602","Sim","CAR encontrado"
"2033","3523503","Sim","CAR encontrado"
"2034","3523404","Sim","CAR encontrado"
"2035","3523305","Sim","CAR encontrado"
"2036","3523206","Sim","CAR encontrado"
"2037","3523107","Sim","CAR encontrado"
"2038","3523008","Sim","CAR encontrado"
"2039","3522901","Sim","CAR encontrado"
"2040","3522802","Sim","CAR encontrado"
"2041","3522703","Sim","CAR encontrado"
"2042","3522653","Sim","CAR encontrado"
"2043","3522604","Sim","CAR encontrado"
"2044","3522505","Sim","CAR encontrado"
"2045","3522406","Sim","CAR encontrado"
"2046","3522307","Sim","CAR encontrado"
"2047","3522208","Sim","CAR encontrado"
"2048","3522158","Sim","CAR encontrado"
"2049","3522109","Sim","CAR encontrado"
"2050","3522000","Sim","CAR encontrado"
"2051","3521903","Sim","CAR encontrado"
"2052","3521804","Sim","CAR encontrado"
"2053","3521705","Sim","CAR encontrado"
"2054","3521606","Sim","CAR encontrado"
"2055","3521507","Sim","CAR encontrado"
"2056","3521408","Sim","CAR encontrado"
"2057","3521309","Sim","CAR encontrado"
"2058","3521200","Sim","CAR encontrado"
"2059","3521150","Sim","CAR encontrado"
"2060","3521101","Sim","CAR encontrado"
"2061","3521002","Sim","CAR encontrado"
"2062","3520905","Sim","CAR encontrado"
"2063","3520806","Sim","CAR encontrado"
"2064","3520707","Sim","CAR encontrado"
"2065","3520608","Sim","CAR encontrado"
"2066","3520509","Sim","CAR encontrado"
"2067","3520400","Sim","CAR encontrado"
"2068","3520442","Sim","CAR encontrado"
"2069","3520426","Sim","CAR encontrado"
"2070","3520301","Sim","CAR encontrado"
"2071","3520202","Sim","CAR encontrado"
"2072","3520103","Sim","CAR encontrado"
"2073","3520004","Sim","CAR encontrado"
"2074","3519907","Sim","CAR encontrado"
"2075","3519808","Sim","CAR encontrado"
"2076","3519709","Sim","CAR encontrado"
"2077","3519600","Sim","CAR encontrado"
"2078","3519501","Sim","CAR encontrado"
"2079","3519402","Sim","CAR encontrado"
"2080","3519303","Sim","CAR encontrado"
"2081","3519253","Sim","CAR encontrado"
"2082","3519204","Sim","CAR encontrado"
"2083","3519105","Sim","CAR encontrado"
"2084","3519071","Sim","CAR encontrado"
"2085","3519055","Sim","CAR encontrado"
"2086","3519006","Sim","CAR encontrado"
"2087","3518909","Sim","CAR encontrado"
"2088","3518859","Sim","CAR encontrado"
"2089","3518800","Sim","CAR encontrado"
"2090","3518701","Sim","CAR encontrado"
"2091","3518602","Sim","CAR encontrado"
"2092","3518503","Sim","CAR encontrado"
"2093","3518404","Sim","CAR encontrado"
"2094","3518305","Sim","CAR encontrado"
"2095","3518206","Sim","CAR encontrado"
"2096","3518107","Sim","CAR encontrado"
"2097","3518008","Sim","CAR encontrado"
"2098","3517901","Sim","CAR encontrado"
"2099","3517802","Sim","CAR encontrado"
"2100","3517703","Sim","CAR encontrado"
"2101","3517604","Sim","CAR encontrado"
"2102","3517505","Sim","CAR encontrado"
"2103","3517406","Sim","CAR encontrado"
"2104","3517307","Sim","CAR encontrado"
"2105","3517208","Sim","CAR encontrado"
"2106","3517109","Sim","CAR encontrado"
"2107","3517000","Sim","CAR encontrado"
"2108","3516903","Sim","CAR encontrado"
"2109","3516853","Sim","CAR encontrado"
"2110","3516804","Sim","CAR encontrado"
"2111","3516705","Sim","CAR encontrado"
"2112","3516606","Sim","CAR encontrado"
"2113","3516507","Sim","CAR encontrado"
"2114","3516408","Sim","CAR encontrado"
"2115","3516309","Sim","CAR encontrado"
"2116","3516200","Sim","CAR encontrado"
"2117","3516101","Sim","CAR encontrado"
