"","munic","Processado","Status"
"160","5207907","Sim","CAR encontrado"
"161","5207808","Sim","CAR encontrado"
"162","5207600","Sim","CAR encontrado"
"163","5207535","Sim","CAR encontrado"
"164","5207501","Sim","CAR encontrado"
"165","5207402","Sim","CAR encontrado"
"166","5207352","Sim","CAR encontrado"
"167","5207253","Sim","CAR encontrado"
"168","5208301","Sim","CAR encontrado"
"169","5207105","Sim","CAR encontrado"
"170","5206909","Sim","CAR encontrado"
"171","5206800","Sim","CAR encontrado"
"172","5206701","Sim","CAR encontrado"
"173","5206602","Sim","CAR encontrado"
"174","5206503","Sim","CAR encontrado"
"175","5206404","Sim","CAR encontrado"
"176","5206305","Sim","CAR encontrado"
"177","5206206","Sim","CAR encontrado"
"178","5205901","Sim","CAR encontrado"
"179","5205802","Sim","CAR encontrado"
"180","5205703","Sim","CAR encontrado"
"181","5205521","Sim","CAR encontrado"
"182","5205513","Sim","CAR encontrado"
"183","5205497","Sim","CAR encontrado"
"184","5205471","Sim","CAR encontrado"
"185","5205455","Sim","CAR encontrado"
"186","5205406","Sim","CAR encontrado"
"187","5205307","Sim","CAR encontrado"
"188","5205208","Sim","CAR encontrado"
"189","5205109","Sim","CAR encontrado"
"190","5205059","Sim","CAR encontrado"
"191","5205000","Sim","CAR encontrado"
"192","5204953","Sim","CAR encontrado"
"193","5204904","Sim","CAR encontrado"
"194","5204854","Sim","CAR encontrado"
"195","5204805","Sim","CAR encontrado"
"196","5204706","Sim","CAR encontrado"
"197","5204656","Sim","CAR encontrado"
"198","5204607","Sim","CAR encontrado"
"199","5204557","Sim","CAR encontrado"
"200","5204508","Sim","CAR encontrado"
"201","5204409","Sim","CAR encontrado"
"202","5204300","Sim","CAR encontrado"
"203","5204250","Sim","CAR encontrado"
"204","5204201","Sim","CAR encontrado"
"205","5204102","Sim","CAR encontrado"
"206","5204003","Sim","CAR encontrado"
"207","5203962","Sim","CAR encontrado"
"208","5203939","Sim","CAR encontrado"
"209","5203906","Sim","CAR encontrado"
"210","5203807","Sim","CAR encontrado"
"211","5203609","Sim","CAR encontrado"
"212","5203575","Sim","CAR encontrado"
"213","5203559","Sim","CAR encontrado"
"214","5203500","Sim","CAR encontrado"
"215","5203401","Sim","CAR encontrado"
"216","5203302","Sim","CAR encontrado"
"217","5203203","Sim","CAR encontrado"
"218","5203104","Sim","CAR encontrado"
"219","5202809","Sim","CAR encontrado"
"220","5202601","Sim","CAR encontrado"
"221","5202502","Sim","CAR encontrado"
"222","5202353","Sim","CAR encontrado"
"223","5202155","Sim","CAR encontrado"
"224","5201801","Sim","CAR encontrado"
"225","5201702","Sim","CAR encontrado"
"226","5201603","Sim","CAR encontrado"
"227","5201504","Sim","CAR encontrado"
"228","5201454","Sim","CAR encontrado"
"229","5201405","Sim","CAR encontrado"
"230","5201306","Sim","CAR encontrado"
"231","5201207","Sim","CAR encontrado"
"232","5201108","Sim","CAR encontrado"
"233","5200902","Sim","CAR encontrado"
"234","5200852","Sim","CAR encontrado"
"235","5200829","Sim","CAR encontrado"
"236","5200803","Sim","CAR encontrado"
"237","5200605","Sim","CAR encontrado"
"238","5200555","Sim","CAR encontrado"
"239","5200506","Sim","CAR encontrado"
"240","5200308","Sim","CAR encontrado"
"241","5200258","Sim","CAR encontrado"
"242","5200209","Sim","CAR encontrado"
"243","5200175","Sim","CAR encontrado"
"244","5200159","Sim","CAR encontrado"
"245","5200134","Sim","CAR encontrado"
"246","5200100","Sim","CAR encontrado"
"247","5200050","Sim","CAR encontrado"
"248","5108600","Sim","CAR NÃo encontrado"
"249","5105507","Sim","CAR encontrado"
"250","5108501","Sim","CAR encontrado"
"251","5108402","Sim","CAR encontrado"
"252","5108352","Sim","CAR encontrado"
"253","5108303","Sim","CAR encontrado"
"254","5108204","Sim","CAR encontrado"
"255","5108105","Sim","CAR encontrado"
"256","5108055","Sim","CAR encontrado"
"257","5108006","Sim","CAR encontrado"
"258","5107958","Sim","CAR encontrado"
"259","5107941","Sim","CAR encontrado"
"260","5107925","Sim","CAR encontrado"
"261","5107909","Sim","CAR encontrado"
"262","5107883","Sim","CAR encontrado"
"263","5107875","Sim","CAR encontrado"
"264","5107404","Sim","CAR encontrado"
"265","5107107","Sim","CAR encontrado"
"266","5107354","Sim","CAR encontrado"
"267","5107305","Sim","CAR encontrado"
"268","5107297","Sim","CAR encontrado"
"269","5107859","Sim","CAR encontrado"
"270","5107800","Sim","CAR encontrado"
"271","5107792","Sim","CAR encontrado"
"272","5107263","Sim","CAR encontrado"
"273","5107776","Sim","CAR encontrado"
"274","5107768","Sim","CAR encontrado"
"275","5107743","Sim","CAR encontrado"
"276","5107248","Sim","CAR encontrado"
"277","5107750","Sim","CAR encontrado"
"278","5107701","Sim","CAR encontrado"
"279","5107602","Sim","CAR encontrado"
"280","5107578","Sim","CAR encontrado"
"281","5107206","Sim","CAR encontrado"
"282","5107198","Sim","CAR encontrado"
"283","5107180","Sim","CAR encontrado"
"284","5107156","Sim","CAR encontrado"
"285","5107065","Sim","CAR encontrado"
"286","5107040","Sim","CAR encontrado"
"287","5107008","Sim","CAR encontrado"
"288","5106851","Sim","CAR encontrado"
"289","5106828","Sim","CAR encontrado"
"290","5106802","Sim","CAR encontrado"
"291","5106778","Sim","CAR encontrado"
"292","5106752","Sim","CAR encontrado"
"293","5106703","Sim","CAR encontrado"
"294","5106653","Sim","CAR encontrado"
"295","5106505","Sim","CAR encontrado"
"296","5106455","Sim","CAR encontrado"
"297","5106422","Sim","CAR encontrado"
"298","5106372","Sim","CAR encontrado"
"299","5106307","Sim","CAR encontrado"
"300","5106299","Sim","CAR encontrado"
"301","5106281","Sim","CAR encontrado"
"302","5106315","Sim","CAR encontrado"
"303","5106265","Sim","CAR encontrado"
"304","5106273","Sim","CAR encontrado"
"305","5106257","Sim","CAR encontrado"
"306","5106240","Sim","CAR encontrado"
"307","5106190","Sim","CAR encontrado"
"308","5106232","Sim","CAR encontrado"
"309","5106174","Sim","CAR encontrado"
"310","5106224","Sim","CAR encontrado"
"311","5108956","Sim","CAR encontrado"
"312","5108907","Sim","CAR encontrado"
"313","5108857","Sim","CAR encontrado"
"314","5106182","Sim","CAR encontrado"
"315","5108808","Sim","CAR encontrado"
"316","5106216","Sim","CAR encontrado"
"317","5106208","Sim","CAR encontrado"
"318","5106158","Sim","CAR encontrado"
"319","5106109","Sim","CAR encontrado"
"320","5106000","Sim","CAR encontrado"
"321","5105903","Sim","CAR encontrado"
"322","5105622","Sim","CAR encontrado"
"323","5105606","Sim","CAR encontrado"
"324","5105580","Sim","CAR encontrado"
"325","5105309","Sim","CAR encontrado"
"326","5105259","Sim","CAR encontrado"
"327","5105234","Sim","CAR encontrado"
"328","5105200","Sim","CAR encontrado"
"329","5105176","Sim","CAR encontrado"
"330","5105150","Sim","CAR encontrado"
"331","5105101","Sim","CAR encontrado"
"332","5105002","Sim","CAR encontrado"
"333","5104906","Sim","CAR encontrado"
"334","5104807","Sim","CAR encontrado"
"335","5104609","Sim","CAR encontrado"
"336","5104559","Sim","CAR encontrado"
"337","5104542","Sim","CAR encontrado"
"338","5104526","Sim","CAR encontrado"
"339","5104500","Sim","CAR encontrado"
"340","5104203","Sim","CAR encontrado"
"341","5104104","Sim","CAR encontrado"
"342","5103957","Sim","CAR encontrado"
"343","5103908","Sim","CAR encontrado"
"344","5103858","Sim","CAR encontrado"
"345","5103809","Sim","CAR encontrado"
"346","5103700","Sim","CAR encontrado"
"347","5103601","Sim","CAR encontrado"
"348","5103502","Sim","CAR encontrado"
"349","5103452","Sim","CAR encontrado"
"350","5103437","Sim","CAR encontrado"
"351","5103403","Sim","CAR encontrado"
"352","5103379","Sim","CAR encontrado"
"353","5103361","Sim","CAR encontrado"
"354","5103353","Sim","CAR encontrado"
"355","5103304","Sim","CAR encontrado"
"356","5103254","Sim","CAR encontrado"
"357","5103205","Sim","CAR encontrado"
"358","5103106","Sim","CAR encontrado"
"359","5103056","Sim","CAR encontrado"
"360","5103007","Sim","CAR encontrado"
"361","5102850","Sim","CAR encontrado"
"362","5102793","Sim","CAR encontrado"
"363","5102702","Sim","CAR encontrado"
"364","5102694","Sim","CAR encontrado"
"365","5102686","Sim","CAR encontrado"
"366","5102678","Sim","CAR encontrado"
"367","5102637","Sim","CAR encontrado"
"368","5102603","Sim","CAR encontrado"
"369","5102504","Sim","CAR encontrado"
"370","5101902","Sim","CAR encontrado"
"371","5101852","Sim","CAR encontrado"
"372","5101803","Sim","CAR encontrado"
"373","5101704","Sim","CAR encontrado"
"374","5101605","Sim","CAR encontrado"
"375","5101407","Sim","CAR encontrado"
"376","5101308","Sim","CAR encontrado"
"377","5101258","Sim","CAR encontrado"
"378","5101209","Sim","CAR encontrado"
"379","5101001","Sim","CAR encontrado"
"380","5100805","Sim","CAR encontrado"
"381","5100607","Sim","CAR encontrado"
"382","5100508","Sim","CAR encontrado"
"383","5100409","Sim","CAR encontrado"
"384","5100359","Sim","CAR encontrado"
"385","5100300","Sim","CAR encontrado"
"386","5100250","Sim","CAR encontrado"
"387","5100201","Sim","CAR encontrado"
"388","5100102","Sim","CAR encontrado"
"389","5008404","Sim","CAR encontrado"
"390","5008305","Sim","CAR encontrado"
"391","5008008","Sim","CAR encontrado"
"392","5007976","Sim","CAR encontrado"
"393","5007950","Sim","CAR encontrado"
"394","5007935","Sim","CAR encontrado"
"395","5007901","Sim","CAR encontrado"
"396","5007703","Sim","CAR encontrado"
"397","5007802","Sim","CAR encontrado"
"398","5007695","Sim","CAR encontrado"
"399","5007554","Sim","CAR encontrado"
"400","5007505","Sim","CAR encontrado"
"401","5007406","Sim","CAR encontrado"
"402","5007307","Sim","CAR encontrado"
"403","5007208","Sim","CAR encontrado"
"404","5007109","Sim","CAR encontrado"
"405","5006903","Sim","CAR encontrado"
"406","5006606","Sim","CAR encontrado"
"407","5006408","Sim","CAR encontrado"
"408","5006358","Sim","CAR encontrado"
"409","5006309","Sim","CAR encontrado"
"410","5006275","Sim","CAR encontrado"
"411","5006259","Sim","CAR encontrado"
"412","5006200","Sim","CAR encontrado"
"413","5006002","Sim","CAR encontrado"
"414","5005806","Sim","CAR encontrado"
"415","5005707","Sim","CAR encontrado"
"416","5005681","Sim","CAR encontrado"
"417","5005608","Sim","CAR encontrado"
"418","5005400","Sim","CAR encontrado"
"419","5005251","Sim","CAR encontrado"
"420","5005202","Sim","CAR encontrado"
"421","5005152","Sim","CAR encontrado"
"422","5005103","Sim","CAR encontrado"
"423","5005004","Sim","CAR encontrado"
"424","5004908","Sim","CAR encontrado"
"425","5004809","Sim","CAR encontrado"
"426","5004700","Sim","CAR encontrado"
"427","5004601","Sim","CAR encontrado"
"428","5004502","Sim","CAR encontrado"
"429","5004403","Sim","CAR encontrado"
"430","5004304","Sim","CAR encontrado"
"431","5004106","Sim","CAR encontrado"
"432","5004007","Sim","CAR encontrado"
"433","5003900","Sim","CAR encontrado"
"434","5003801","Sim","CAR encontrado"
"435","5003751","Sim","CAR encontrado"
"436","5003702","Sim","CAR encontrado"
"437","5003504","Sim","CAR encontrado"
"438","5003488","Sim","CAR encontrado"
"439","5003454","Sim","CAR encontrado"
"440","5003306","Sim","CAR encontrado"
"441","5003256","Sim","CAR encontrado"
"442","5003207","Sim","CAR encontrado"
"443","5003157","Sim","CAR encontrado"
"444","5003108","Sim","CAR encontrado"
"445","5002951","Sim","CAR encontrado"
"446","5002902","Sim","CAR encontrado"
"447","5002803","Sim","CAR encontrado"
"448","5002704","Sim","CAR encontrado"
"449","5002605","Sim","CAR encontrado"
"450","5002407","Sim","CAR encontrado"
"451","5002308","Sim","CAR encontrado"
"452","5002209","Sim","CAR encontrado"
"453","5002159","Sim","CAR encontrado"
"454","5002100","Sim","CAR encontrado"
"455","5002001","Sim","CAR encontrado"
"456","5001904","Sim","CAR encontrado"
"457","5001508","Sim","CAR encontrado"
"458","5001243","Sim","CAR encontrado"
"459","5001102","Sim","CAR encontrado"
"460","5001003","Sim","CAR encontrado"
"461","5000906","Sim","CAR encontrado"
"462","5000856","Sim","CAR encontrado"
"463","5000807","Sim","CAR encontrado"
"464","5000708","Sim","CAR encontrado"
"465","5000609","Sim","CAR encontrado"
"466","5000252","Sim","CAR encontrado"
"467","5000203","Sim","CAR encontrado"
"468","4323804","Sim","CAR encontrado"
"469","4323770","Sim","CAR encontrado"
"470","4323754","Sim","CAR encontrado"
"471","4323705","Sim","CAR encontrado"
"472","4323606","Sim","CAR encontrado"
"473","4323507","Sim","CAR encontrado"
"474","4323457","Sim","CAR encontrado"
"475","4323408","Sim","CAR encontrado"
"476","4323358","Sim","CAR encontrado"
"477","4323309","Sim","CAR encontrado"
"478","4323200","Sim","CAR encontrado"
"479","4323101","Sim","CAR encontrado"
"480","4323002","Sim","CAR encontrado"
"481","4322905","Sim","CAR encontrado"
"482","4322855","Sim","CAR encontrado"
"483","4322806","Sim","CAR encontrado"
"484","4322707","Sim","CAR encontrado"
"485","4322608","Sim","CAR encontrado"
"486","4322558","Sim","CAR encontrado"
"487","4322525","Sim","CAR encontrado"
"488","4322541","Sim","CAR encontrado"
"489","4322533","Sim","CAR encontrado"
"490","4322509","Sim","CAR encontrado"
"491","4322400","Sim","CAR encontrado"
"492","4322376","Sim","CAR encontrado"
"493","4322350","Sim","CAR encontrado"
"494","4322343","Sim","CAR encontrado"
"495","4322327","Sim","CAR encontrado"
"496","4322301","Sim","CAR encontrado"
"497","4322251","Sim","CAR encontrado"
"498","4322202","Sim","CAR encontrado"
"499","4322186","Sim","CAR encontrado"
"500","4322152","Sim","CAR encontrado"
"501","4322103","Sim","CAR encontrado"
"502","4322004","Sim","CAR encontrado"
"503","4321956","Sim","CAR encontrado"
"504","4321907","Sim","CAR encontrado"
"505","4321857","Sim","CAR encontrado"
"506","4321832","Sim","CAR encontrado"
"507","4321808","Sim","CAR encontrado"
"508","4321709","Sim","CAR encontrado"
"509","4321667","Sim","CAR encontrado"
"510","4321634","Sim","CAR encontrado"
"511","4321626","Sim","CAR encontrado"
"512","4321600","Sim","CAR encontrado"
"513","4321501","Sim","CAR encontrado"
"514","4321493","Sim","CAR encontrado"
"515","4321477","Sim","CAR encontrado"
"516","4321469","Sim","CAR encontrado"
"517","4321451","Sim","CAR encontrado"
"518","4321436","Sim","CAR encontrado"
"519","4321402","Sim","CAR encontrado"
"520","4321352","Sim","CAR encontrado"
"521","4321329","Sim","CAR encontrado"
"522","4321303","Sim","CAR encontrado"
"523","4321204","Sim","CAR encontrado"
"524","4321105","Sim","CAR encontrado"
"525","4321006","Sim","CAR encontrado"
"526","4320909","Sim","CAR encontrado"
"527","4320859","Sim","CAR encontrado"
"528","4320800","Sim","CAR encontrado"
"529","4320701","Sim","CAR encontrado"
"530","4320677","Sim","CAR encontrado"
"531","4320651","Sim","CAR encontrado"
"532","4320602","Sim","CAR encontrado"
"533","4320578","Sim","CAR encontrado"
"534","4320552","Sim","CAR encontrado"
"535","4320503","Sim","CAR encontrado"
"536","4320453","Sim","CAR encontrado"
"537","4320404","Sim","CAR encontrado"
"538","4320354","Sim","CAR encontrado"
"539","4320321","Sim","CAR encontrado"
"540","4320305","Sim","CAR encontrado"
"541","4320263","Sim","CAR encontrado"
"542","4320230","Sim","CAR encontrado"
"543","4320206","Sim","CAR encontrado"
"544","4320107","Sim","CAR encontrado"
"545","4320008","Sim","CAR encontrado"
"546","4319901","Sim","CAR encontrado"
"547","4319802","Sim","CAR encontrado"
"548","4319752","Sim","CAR encontrado"
"549","4319737","Sim","CAR encontrado"
"550","4319711","Sim","CAR encontrado"
"551","4319703","Sim","CAR encontrado"
"552","4319604","Sim","CAR encontrado"
"553","4319505","Sim","CAR encontrado"
"554","4319406","Sim","CAR encontrado"
"555","4319372","Sim","CAR encontrado"
"556","4319364","Sim","CAR encontrado"
"557","4319356","Sim","CAR encontrado"
"558","4319307","Sim","CAR encontrado"
"559","4319208","Sim","CAR encontrado"
"560","4319158","Sim","CAR encontrado"
"561","4319125","Sim","CAR encontrado"
"562","4319109","Sim","CAR encontrado"
"563","4319000","Sim","CAR encontrado"
"564","4318903","Sim","CAR encontrado"
"565","4318804","Sim","CAR encontrado"
"566","4318705","Sim","CAR encontrado"
"567","4318622","Sim","CAR encontrado"
"568","4318614","Sim","CAR encontrado"
"569","4318606","Sim","CAR encontrado"
"570","4318507","Sim","CAR encontrado"
"571","4318499","Sim","CAR encontrado"
"572","4318481","Sim","CAR encontrado"
"573","4318465","Sim","CAR encontrado"
"574","4318457","Sim","CAR encontrado"
"575","4318440","Sim","CAR encontrado"
"576","4318432","Sim","CAR encontrado"
"577","4318424","Sim","CAR encontrado"
"578","4318408","Sim","CAR encontrado"
"579","4318309","Sim","CAR encontrado"
"580","4318200","Sim","CAR encontrado"
"581","4318101","Sim","CAR encontrado"
"582","4318051","Sim","CAR encontrado"
"583","4318002","Sim","CAR encontrado"
"584","4317954","Sim","CAR encontrado"
"585","4317905","Sim","CAR encontrado"
"586","4317806","Sim","CAR encontrado"
"587","4317756","Sim","CAR encontrado"
"588","4317558","Sim","CAR encontrado"
"589","4317707","Sim","CAR encontrado"
"590","4317608","Sim","CAR encontrado"
"591","4317509","Sim","CAR encontrado"
"592","4317400","Sim","CAR encontrado"
"593","4317103","Sim","CAR encontrado"
"594","4317004","Sim","CAR encontrado"
"595","4317301","Sim","CAR encontrado"
"596","4317251","Sim","CAR encontrado"
"597","4317202","Sim","CAR encontrado"
"598","4316956","Sim","CAR encontrado"
"599","4316907","Sim","CAR encontrado"
"600","4316972","Sim","CAR encontrado"
"601","4316808","Sim","CAR encontrado"
"602","4316758","Sim","CAR encontrado"
"603","4316733","Sim","CAR encontrado"
"604","4316709","Sim","CAR encontrado"
"605","4316600","Sim","CAR encontrado"
"606","4316501","Sim","CAR encontrado"
"607","4316477","Sim","CAR encontrado"
"608","4316451","Sim","CAR encontrado"
"609","4316436","Sim","CAR encontrado"
"610","4316428","Sim","CAR encontrado"
"611","4316402","Sim","CAR encontrado"
"612","4316303","Sim","CAR encontrado"
"613","4316204","Sim","CAR encontrado"
"614","4316105","Sim","CAR encontrado"
"615","4316006","Sim","CAR encontrado"
"616","4315958","Sim","CAR encontrado"
"617","4315909","Sim","CAR encontrado"
"618","4315800","Sim","CAR encontrado"
"619","4315750","Sim","CAR encontrado"
"620","4315701","Sim","CAR encontrado"
"621","4315602","Sim","CAR encontrado"
"622","4315552","Sim","CAR encontrado"
"623","4315503","Sim","CAR encontrado"
"624","4315453","Sim","CAR encontrado"
"625","4315404","Sim","CAR encontrado"
"626","4315354","Sim","CAR encontrado"
"627","4315321","Sim","CAR encontrado"
"628","4315313","Sim","CAR encontrado"
"629","4315305","Sim","CAR encontrado"
"630","4315206","Sim","CAR encontrado"
"631","4315172","Sim","CAR encontrado"
"632","4315156","Sim","CAR encontrado"
"633","4315149","Sim","CAR encontrado"
"634","4315131","Sim","CAR encontrado"
"635","4315107","Sim","CAR encontrado"
"636","4315073","Sim","CAR encontrado"
"637","4315057","Sim","CAR encontrado"
"638","4315008","Sim","CAR encontrado"
"639","4314902","Sim","CAR encontrado"
"640","4314803","Sim","CAR encontrado"
