"","fcar","situacao","uf","munic","code","NUMREGCAR"
"1","MA-2106706-375C08EDCA564BAB866EF125634B48DA","PE","MA","2106706","375C08EDCA564BAB866EF125634B48DA","MA2106706375C08EDCA564BAB866EF125634B48DA"
"2","MA-2106706-7C33B9EB86AC47979F8D45D5B1F6DCE1","CA","MA","2106706","7C33B9EB86AC47979F8D45D5B1F6DCE1","MA21067067C33B9EB86AC47979F8D45D5B1F6DCE1"
"3","MA-2106706-13F096FE0F6A43B7ACB40A947806E128","PE","MA","2106706","13F096FE0F6A43B7ACB40A947806E128","MA210670613F096FE0F6A43B7ACB40A947806E128"
"4","MA-2106706-352AD138844E4313BE9B58B0BFFA20B7","PE","MA","2106706","352AD138844E4313BE9B58B0BFFA20B7","MA2106706352AD138844E4313BE9B58B0BFFA20B7"
"5","MA-2106706-F2BA2CBBAA8F43B79B2A8049AFD6ED15","AT","MA","2106706","F2BA2CBBAA8F43B79B2A8049AFD6ED15","MA2106706F2BA2CBBAA8F43B79B2A8049AFD6ED15"
"6","MA-2106706-8664E6B92380482889DD865CB43DD8E6","AT","MA","2106706","8664E6B92380482889DD865CB43DD8E6","MA21067068664E6B92380482889DD865CB43DD8E6"
"7","MA-2106706-A0A20A425C05407C8EEC686D3E4C2AB5","AT","MA","2106706","A0A20A425C05407C8EEC686D3E4C2AB5","MA2106706A0A20A425C05407C8EEC686D3E4C2AB5"
"8","MA-2106706-E42F1C0479214DBAAC99F1FD682BAB14","AT","MA","2106706","E42F1C0479214DBAAC99F1FD682BAB14","MA2106706E42F1C0479214DBAAC99F1FD682BAB14"
"9","MA-2106706-9B62ECBB6AB24CDEBC5776D90D68CE08","PE","MA","2106706","9B62ECBB6AB24CDEBC5776D90D68CE08","MA21067069B62ECBB6AB24CDEBC5776D90D68CE08"
"10","MA-2106706-54435F493C394E1C8142F1C24EB2F8EC","PE","MA","2106706","54435F493C394E1C8142F1C24EB2F8EC","MA210670654435F493C394E1C8142F1C24EB2F8EC"
"11","MA-2106706-7D3F9B489AEE482BBD529EF736380B3E","AT","MA","2106706","7D3F9B489AEE482BBD529EF736380B3E","MA21067067D3F9B489AEE482BBD529EF736380B3E"
"12","MA-2106706-651F3E54E572422A977508461B425C83","PE","MA","2106706","651F3E54E572422A977508461B425C83","MA2106706651F3E54E572422A977508461B425C83"
"13","MA-2106706-16FF98284CF94F6A8E7A97C4A1EB71F0","AT","MA","2106706","16FF98284CF94F6A8E7A97C4A1EB71F0","MA210670616FF98284CF94F6A8E7A97C4A1EB71F0"
"14","MA-2106706-EC0AEE3AD23A4D14B9BFD053CE788372","PE","MA","2106706","EC0AEE3AD23A4D14B9BFD053CE788372","MA2106706EC0AEE3AD23A4D14B9BFD053CE788372"
"15","MA-2106706-653A1950B982441F81E21F61C3217A7D","AT","MA","2106706","653A1950B982441F81E21F61C3217A7D","MA2106706653A1950B982441F81E21F61C3217A7D"
"16","MA-2106706-7B6014CF225349E08D57895853B35DE5","AT","MA","2106706","7B6014CF225349E08D57895853B35DE5","MA21067067B6014CF225349E08D57895853B35DE5"
"17","MA-2106706-F7564222CE924B0EA4B8584253FD2436","AT","MA","2106706","F7564222CE924B0EA4B8584253FD2436","MA2106706F7564222CE924B0EA4B8584253FD2436"
"18","MA-2106706-F0F9197BF9A94B7497A31E58A9C44DAD","AT","MA","2106706","F0F9197BF9A94B7497A31E58A9C44DAD","MA2106706F0F9197BF9A94B7497A31E58A9C44DAD"
"19","MA-2106706-F9EE42A266FA4ADCAE4D51CDAE809326","PE","MA","2106706","F9EE42A266FA4ADCAE4D51CDAE809326","MA2106706F9EE42A266FA4ADCAE4D51CDAE809326"
"20","MA-2106706-7074D61737D74E4BBDA876BC558CC762","AT","MA","2106706","7074D61737D74E4BBDA876BC558CC762","MA21067067074D61737D74E4BBDA876BC558CC762"
"21","MA-2106706-3BA17AEE7CC44CD79B0F5B0D50D79245","AT","MA","2106706","3BA17AEE7CC44CD79B0F5B0D50D79245","MA21067063BA17AEE7CC44CD79B0F5B0D50D79245"
"22","MA-2106706-748FEBAE772A4F179A3A60CBA46D1C90","AT","MA","2106706","748FEBAE772A4F179A3A60CBA46D1C90","MA2106706748FEBAE772A4F179A3A60CBA46D1C90"
"23","MA-2106706-16BFFF54010B4271B4BF544B52537ABB","AT","MA","2106706","16BFFF54010B4271B4BF544B52537ABB","MA210670616BFFF54010B4271B4BF544B52537ABB"
"24","MA-2106706-9EFEB35569F447498BBC1A980968264E","AT","MA","2106706","9EFEB35569F447498BBC1A980968264E","MA21067069EFEB35569F447498BBC1A980968264E"
"25","MA-2106706-790633CBE592417D92566131B53A3CD7","PE","MA","2106706","790633CBE592417D92566131B53A3CD7","MA2106706790633CBE592417D92566131B53A3CD7"
"26","MA-2106706-EF0C4D84346340E681D46856E4E0B171","AT","MA","2106706","EF0C4D84346340E681D46856E4E0B171","MA2106706EF0C4D84346340E681D46856E4E0B171"
"27","MA-2106706-9588DE66B1EF4A4C86A4F3C778774A29","AT","MA","2106706","9588DE66B1EF4A4C86A4F3C778774A29","MA21067069588DE66B1EF4A4C86A4F3C778774A29"
"28","MA-2106706-62567957A1364A11923A665408DE19B6","AT","MA","2106706","62567957A1364A11923A665408DE19B6","MA210670662567957A1364A11923A665408DE19B6"
"29","MA-2106706-2BF8E45E7DC34D75B803BDA6560D234E","AT","MA","2106706","2BF8E45E7DC34D75B803BDA6560D234E","MA21067062BF8E45E7DC34D75B803BDA6560D234E"
"30","MA-2106706-46EC95DBBE53470C92CDF83BF9702E79","AT","MA","2106706","46EC95DBBE53470C92CDF83BF9702E79","MA210670646EC95DBBE53470C92CDF83BF9702E79"
"31","MA-2106706-0AB3A481378345F09A962D32E594F0EB","AT","MA","2106706","0AB3A481378345F09A962D32E594F0EB","MA21067060AB3A481378345F09A962D32E594F0EB"
"32","MA-2106706-5F9AD1025E1E42B89CC946C042461807","AT","MA","2106706","5F9AD1025E1E42B89CC946C042461807","MA21067065F9AD1025E1E42B89CC946C042461807"
"33","MA-2106706-FDF4F7E1366A4EFD876D225D2472398D","AT","MA","2106706","FDF4F7E1366A4EFD876D225D2472398D","MA2106706FDF4F7E1366A4EFD876D225D2472398D"
"34","MA-2106706-ACE380D3585B48DCBA9D62055A1FEDA8","AT","MA","2106706","ACE380D3585B48DCBA9D62055A1FEDA8","MA2106706ACE380D3585B48DCBA9D62055A1FEDA8"
"35","MA-2106706-A65A860E3EAB4843A6E68B557B0BD358","PE","MA","2106706","A65A860E3EAB4843A6E68B557B0BD358","MA2106706A65A860E3EAB4843A6E68B557B0BD358"
"36","MA-2106706-E4252B5EBC724D388526F0CE721CC00E","AT","MA","2106706","E4252B5EBC724D388526F0CE721CC00E","MA2106706E4252B5EBC724D388526F0CE721CC00E"
"37","MA-2106706-7CAF29A7D79C49B4974AE6DB3CB2137D","AT","MA","2106706","7CAF29A7D79C49B4974AE6DB3CB2137D","MA21067067CAF29A7D79C49B4974AE6DB3CB2137D"
"38","MA-2106706-DBB1D3B554E14C57B4E76247CA9AE22E","AT","MA","2106706","DBB1D3B554E14C57B4E76247CA9AE22E","MA2106706DBB1D3B554E14C57B4E76247CA9AE22E"
"39","MA-2106706-01E81AC8D8BF448AA3CBE043AAF73001","AT","MA","2106706","01E81AC8D8BF448AA3CBE043AAF73001","MA210670601E81AC8D8BF448AA3CBE043AAF73001"
"40","MA-2106706-E33A31D5BE244BF3B4477450C786A805","AT","MA","2106706","E33A31D5BE244BF3B4477450C786A805","MA2106706E33A31D5BE244BF3B4477450C786A805"
"41","MA-2106706-599E97E4C88C47FEA19D74A9F4ACF427","AT","MA","2106706","599E97E4C88C47FEA19D74A9F4ACF427","MA2106706599E97E4C88C47FEA19D74A9F4ACF427"
