"","fcar","situacao","uf","munic","code","NUMREGCAR"
"1","MG-3145356-28F7506757464D4B8E5701966BFB27F7","AT","MG","3145356","28F7506757464D4B8E5701966BFB27F7","MG314535628F7506757464D4B8E5701966BFB27F7"
"2","MG-3145356-BB7542F4736840D99979BA4772BACCEA","AT","MG","3145356","BB7542F4736840D99979BA4772BACCEA","MG3145356BB7542F4736840D99979BA4772BACCEA"
"3","MG-3145356-80089EBAA993456EB9B9F7853D4E0930","AT","MG","3145356","80089EBAA993456EB9B9F7853D4E0930","MG314535680089EBAA993456EB9B9F7853D4E0930"
"4","MG-3145356-6534C9886E4E47279F5CB03A374519D0","AT","MG","3145356","6534C9886E4E47279F5CB03A374519D0","MG31453566534C9886E4E47279F5CB03A374519D0"
"5","MG-3145356-E0879E05FE764D56AFACA2F10037F36B","AT","MG","3145356","E0879E05FE764D56AFACA2F10037F36B","MG3145356E0879E05FE764D56AFACA2F10037F36B"
"6","MG-3145356-724B7D589115427BA10C1EB936FA9FB0","AT","MG","3145356","724B7D589115427BA10C1EB936FA9FB0","MG3145356724B7D589115427BA10C1EB936FA9FB0"
"7","MG-3145356-64D86676D86E422CA586291784B14B2F","AT","MG","3145356","64D86676D86E422CA586291784B14B2F","MG314535664D86676D86E422CA586291784B14B2F"
"8","MG-3145356-8DFA09F00F224B4C96926E98DDC9B8CC","AT","MG","3145356","8DFA09F00F224B4C96926E98DDC9B8CC","MG31453568DFA09F00F224B4C96926E98DDC9B8CC"
"9","MG-3145356-772D0AEAC9A5413B8F5986ACC5C3BDA8","AT","MG","3145356","772D0AEAC9A5413B8F5986ACC5C3BDA8","MG3145356772D0AEAC9A5413B8F5986ACC5C3BDA8"
"10","MG-3145356-7AEA5528FF564AEAAE9EC33333D1A743","AT","MG","3145356","7AEA5528FF564AEAAE9EC33333D1A743","MG31453567AEA5528FF564AEAAE9EC33333D1A743"
"11","MG-3145356-E40B7DF7EEA04B28B41657E03A7A12E3","AT","MG","3145356","E40B7DF7EEA04B28B41657E03A7A12E3","MG3145356E40B7DF7EEA04B28B41657E03A7A12E3"
"12","MG-3145356-A9A1385ACF9049F6B88A8323C4E1B7DA","AT","MG","3145356","A9A1385ACF9049F6B88A8323C4E1B7DA","MG3145356A9A1385ACF9049F6B88A8323C4E1B7DA"
"13","MG-3145356-1AA3BEBCF6F940E3B49C850F354BB344","AT","MG","3145356","1AA3BEBCF6F940E3B49C850F354BB344","MG31453561AA3BEBCF6F940E3B49C850F354BB344"
"14","MG-3145356-9B60C7751E384908B51808377DB38E09","AT","MG","3145356","9B60C7751E384908B51808377DB38E09","MG31453569B60C7751E384908B51808377DB38E09"
"15","MG-3145356-BAE896A257634490845BFDCD665B44D0","AT","MG","3145356","BAE896A257634490845BFDCD665B44D0","MG3145356BAE896A257634490845BFDCD665B44D0"
"16","MG-3145356-B48913738DB248739B3485E97E834F00","AT","MG","3145356","B48913738DB248739B3485E97E834F00","MG3145356B48913738DB248739B3485E97E834F00"
"17","MG-3145356-62B7F74FD22240FEB41D60138C96F4B7","AT","MG","3145356","62B7F74FD22240FEB41D60138C96F4B7","MG314535662B7F74FD22240FEB41D60138C96F4B7"
"18","MG-3145356-6D89A8775913472D941EDC7C63D13209","AT","MG","3145356","6D89A8775913472D941EDC7C63D13209","MG31453566D89A8775913472D941EDC7C63D13209"
"19","MG-3145356-19AC71C32C95440C95CEB8307E9365A7","AT","MG","3145356","19AC71C32C95440C95CEB8307E9365A7","MG314535619AC71C32C95440C95CEB8307E9365A7"
"20","MG-3145356-2CFBBCBCBA99454F936775E676790EFC","AT","MG","3145356","2CFBBCBCBA99454F936775E676790EFC","MG31453562CFBBCBCBA99454F936775E676790EFC"
"21","MG-3145356-F524C875C5D54966B41D1BE51E4B87F4","AT","MG","3145356","F524C875C5D54966B41D1BE51E4B87F4","MG3145356F524C875C5D54966B41D1BE51E4B87F4"
"22","MG-3145356-5431451578154DDCB9244E47CD76257B","AT","MG","3145356","5431451578154DDCB9244E47CD76257B","MG31453565431451578154DDCB9244E47CD76257B"
"23","MG-3145356-17FD3F392C4B42D1A50F61D1F127F55A","AT","MG","3145356","17FD3F392C4B42D1A50F61D1F127F55A","MG314535617FD3F392C4B42D1A50F61D1F127F55A"
"24","MG-3145356-E1181EDC7DCF4B67998B0922E321925D","AT","MG","3145356","E1181EDC7DCF4B67998B0922E321925D","MG3145356E1181EDC7DCF4B67998B0922E321925D"
"25","MG-3145356-E4751AA66DC642908EA478FC82638782","AT","MG","3145356","E4751AA66DC642908EA478FC82638782","MG3145356E4751AA66DC642908EA478FC82638782"
"26","MG-3145356-738CE539BA304F9F92D6B9B07EADF3BE","AT","MG","3145356","738CE539BA304F9F92D6B9B07EADF3BE","MG3145356738CE539BA304F9F92D6B9B07EADF3BE"
"27","MG-3145356-D87132F08D8845B5A5897720C0E27F7E","AT","MG","3145356","D87132F08D8845B5A5897720C0E27F7E","MG3145356D87132F08D8845B5A5897720C0E27F7E"
"28","MG-3145356-A25AA23BD2684005B98A5946FC1AC24D","AT","MG","3145356","A25AA23BD2684005B98A5946FC1AC24D","MG3145356A25AA23BD2684005B98A5946FC1AC24D"
"29","MG-3145356-EEDDF5C4623D4EDE8628A550819AF46A","AT","MG","3145356","EEDDF5C4623D4EDE8628A550819AF46A","MG3145356EEDDF5C4623D4EDE8628A550819AF46A"
"30","MG-3145356-C10602C0554641028E5687041E7BB6BC","AT","MG","3145356","C10602C0554641028E5687041E7BB6BC","MG3145356C10602C0554641028E5687041E7BB6BC"
"31","MG-3145356-FC0581AEC7764DEDB0E79F0AFD3344A0","AT","MG","3145356","FC0581AEC7764DEDB0E79F0AFD3344A0","MG3145356FC0581AEC7764DEDB0E79F0AFD3344A0"
"32","MG-3145356-DD40F2A4240E458BA248F0A1AA68B2AF","AT","MG","3145356","DD40F2A4240E458BA248F0A1AA68B2AF","MG3145356DD40F2A4240E458BA248F0A1AA68B2AF"
"33","MG-3145356-638A925ABF2B49B089611B4FE2C3791B","AT","MG","3145356","638A925ABF2B49B089611B4FE2C3791B","MG3145356638A925ABF2B49B089611B4FE2C3791B"
"34","MG-3145356-1ED21E031D6D488BB58732FC7EA3F21C","AT","MG","3145356","1ED21E031D6D488BB58732FC7EA3F21C","MG31453561ED21E031D6D488BB58732FC7EA3F21C"
"35","MG-3145356-D027B6D0C36146F19626698A27785BA9","AT","MG","3145356","D027B6D0C36146F19626698A27785BA9","MG3145356D027B6D0C36146F19626698A27785BA9"
"36","MG-3145356-4D4F935E10D94D5EBE9CCD07C73BFA82","AT","MG","3145356","4D4F935E10D94D5EBE9CCD07C73BFA82","MG31453564D4F935E10D94D5EBE9CCD07C73BFA82"
"37","MG-3145356-42CA85D405204911B1E7485E41ECAE7F","AT","MG","3145356","42CA85D405204911B1E7485E41ECAE7F","MG314535642CA85D405204911B1E7485E41ECAE7F"
"38","MG-3145356-5E33036F07914FDBA25A932DC17D2E81","AT","MG","3145356","5E33036F07914FDBA25A932DC17D2E81","MG31453565E33036F07914FDBA25A932DC17D2E81"
"39","MG-3145356-5DF00BE044874BB5A3947C0D93A3D372","AT","MG","3145356","5DF00BE044874BB5A3947C0D93A3D372","MG31453565DF00BE044874BB5A3947C0D93A3D372"
"40","MG-3145356-D008E6E8AA194A369ECF6A7BA4E15883","AT","MG","3145356","D008E6E8AA194A369ECF6A7BA4E15883","MG3145356D008E6E8AA194A369ECF6A7BA4E15883"
"41","MG-3145356-CB137ECE4A414E6BB479B60E53F649EF","AT","MG","3145356","CB137ECE4A414E6BB479B60E53F649EF","MG3145356CB137ECE4A414E6BB479B60E53F649EF"
