"","fcar","situacao","uf","munic","code","NUMREGCAR"
"1","MT-5105234-6F429E6393B842F4B71DEF294363216A","AT","MT","5105234","6F429E6393B842F4B71DEF294363216A","MT51052346F429E6393B842F4B71DEF294363216A"
"2","MT-5105234-E4DD1D90B2534C19B74EED7A064D7EE1","AT","MT","5105234","E4DD1D90B2534C19B74EED7A064D7EE1","MT5105234E4DD1D90B2534C19B74EED7A064D7EE1"
"3","MT-5105234-4144DFF9CB5A4AF69D4AFEDA580D9AF3","AT","MT","5105234","4144DFF9CB5A4AF69D4AFEDA580D9AF3","MT51052344144DFF9CB5A4AF69D4AFEDA580D9AF3"
"4","MT-5105234-2FF1CFA37BD64B58B56E3CE32235C90D","AT","MT","5105234","2FF1CFA37BD64B58B56E3CE32235C90D","MT51052342FF1CFA37BD64B58B56E3CE32235C90D"
"5","MT-5105234-F635EA29E7374FA2965E59A3C2C7100F","AT","MT","5105234","F635EA29E7374FA2965E59A3C2C7100F","MT5105234F635EA29E7374FA2965E59A3C2C7100F"
"6","MT-5105234-B8FAA3C098D94EEF90C0E1A22E4BE196","AT","MT","5105234","B8FAA3C098D94EEF90C0E1A22E4BE196","MT5105234B8FAA3C098D94EEF90C0E1A22E4BE196"
"7","MT-5105234-A87CE0D027D542C0BA104AC4E69DA4D9","AT","MT","5105234","A87CE0D027D542C0BA104AC4E69DA4D9","MT5105234A87CE0D027D542C0BA104AC4E69DA4D9"
"8","MT-5105234-8A932028CA3A46C5A8F4178F4A8A7823","AT","MT","5105234","8A932028CA3A46C5A8F4178F4A8A7823","MT51052348A932028CA3A46C5A8F4178F4A8A7823"
"9","MT-5105234-4AF687D8925C45D4B0D86CE27867ADC3","AT","MT","5105234","4AF687D8925C45D4B0D86CE27867ADC3","MT51052344AF687D8925C45D4B0D86CE27867ADC3"
"10","MT-5105234-4B7F66E5EB504BDD8CCD1665004EF30B","AT","MT","5105234","4B7F66E5EB504BDD8CCD1665004EF30B","MT51052344B7F66E5EB504BDD8CCD1665004EF30B"
"11","MT-5105234-2B957753416448318093F629F7CC6A76","AT","MT","5105234","2B957753416448318093F629F7CC6A76","MT51052342B957753416448318093F629F7CC6A76"
"12","MT-5105234-46F9EA760F7D49D0AEF0A77100F7B44B","AT","MT","5105234","46F9EA760F7D49D0AEF0A77100F7B44B","MT510523446F9EA760F7D49D0AEF0A77100F7B44B"
"13","MT-5105234-48E1023A68AA4F1A830326CDE314E551","AT","MT","5105234","48E1023A68AA4F1A830326CDE314E551","MT510523448E1023A68AA4F1A830326CDE314E551"
"14","MT-5105234-9BD46F18BDA449BA9BFE09D05E535A46","CA","MT","5105234","9BD46F18BDA449BA9BFE09D05E535A46","MT51052349BD46F18BDA449BA9BFE09D05E535A46"
"15","MT-5105234-8C0A847337CA4E1C8CE92162186B1E8C","CA","MT","5105234","8C0A847337CA4E1C8CE92162186B1E8C","MT51052348C0A847337CA4E1C8CE92162186B1E8C"
"16","MT-5105234-1A3D750251304989BB17AAF5AAB0A2B9","AT","MT","5105234","1A3D750251304989BB17AAF5AAB0A2B9","MT51052341A3D750251304989BB17AAF5AAB0A2B9"
