"","fcar","situacao","uf","munic","code","NUMREGCAR"
"1","SC-4211207-CB5AD04C901F413A9DB9979EA32DA19F","AT","SC","4211207","CB5AD04C901F413A9DB9979EA32DA19F","SC4211207CB5AD04C901F413A9DB9979EA32DA19F"
"2","SC-4211207-3965888D4DE34BEA8233B923B62F710C","AT","SC","4211207","3965888D4DE34BEA8233B923B62F710C","SC42112073965888D4DE34BEA8233B923B62F710C"
"3","SC-4211207-01390683CD6842BA980B48E4923FDDAE","AT","SC","4211207","01390683CD6842BA980B48E4923FDDAE","SC421120701390683CD6842BA980B48E4923FDDAE"
"4","SC-4211207-FA9AB0F864124D2DBB9298236CE86529","AT","SC","4211207","FA9AB0F864124D2DBB9298236CE86529","SC4211207FA9AB0F864124D2DBB9298236CE86529"
"5","SC-4211207-1B2BE39AF8E341CCA075DF4EA49E6DCD","AT","SC","4211207","1B2BE39AF8E341CCA075DF4EA49E6DCD","SC42112071B2BE39AF8E341CCA075DF4EA49E6DCD"
"6","SC-4211207-A4B1CBE0E6164A7197A72650CF86F649","AT","SC","4211207","A4B1CBE0E6164A7197A72650CF86F649","SC4211207A4B1CBE0E6164A7197A72650CF86F649"
"7","SC-4211207-E3D12A372661467B8572832392DC8912","AT","SC","4211207","E3D12A372661467B8572832392DC8912","SC4211207E3D12A372661467B8572832392DC8912"
"8","SC-4211207-577B41F3F45F4480BF5DBA241A99D670","AT","SC","4211207","577B41F3F45F4480BF5DBA241A99D670","SC4211207577B41F3F45F4480BF5DBA241A99D670"
"9","SC-4211207-679837DF6C6C41CCAEA465B612449BEE","AT","SC","4211207","679837DF6C6C41CCAEA465B612449BEE","SC4211207679837DF6C6C41CCAEA465B612449BEE"
"10","SC-4211207-BEB656638BEE4FFF843D0FE81D9864A3","AT","SC","4211207","BEB656638BEE4FFF843D0FE81D9864A3","SC4211207BEB656638BEE4FFF843D0FE81D9864A3"
"11","SC-4211207-134B0D8AE226414FAAF793AAD0D01281","AT","SC","4211207","134B0D8AE226414FAAF793AAD0D01281","SC4211207134B0D8AE226414FAAF793AAD0D01281"
"12","SC-4211207-2734819CDD724D528E0766C46212C604","AT","SC","4211207","2734819CDD724D528E0766C46212C604","SC42112072734819CDD724D528E0766C46212C604"
"13","SC-4211207-C6D00A77AEA04D1AAF4973A30630DD9A","AT","SC","4211207","C6D00A77AEA04D1AAF4973A30630DD9A","SC4211207C6D00A77AEA04D1AAF4973A30630DD9A"
"14","SC-4211207-C51E359314DC4A69BA3BFC023C0BC653","AT","SC","4211207","C51E359314DC4A69BA3BFC023C0BC653","SC4211207C51E359314DC4A69BA3BFC023C0BC653"
"15","SC-4211207-3C2DC05CDF2B485A9B7CE82473DD1BAE","AT","SC","4211207","3C2DC05CDF2B485A9B7CE82473DD1BAE","SC42112073C2DC05CDF2B485A9B7CE82473DD1BAE"
"16","SC-4211207-E961F712E12C46FC8CC3787BDD076820","AT","SC","4211207","E961F712E12C46FC8CC3787BDD076820","SC4211207E961F712E12C46FC8CC3787BDD076820"
"17","SC-4211207-3C934ABEE3294CF78EB5A750A3C91426","AT","SC","4211207","3C934ABEE3294CF78EB5A750A3C91426","SC42112073C934ABEE3294CF78EB5A750A3C91426"
"18","SC-4211207-D355A62B3EA94BE6B50417A64C25D281","AT","SC","4211207","D355A62B3EA94BE6B50417A64C25D281","SC4211207D355A62B3EA94BE6B50417A64C25D281"
"19","SC-4211207-9214E86871504FF5A3087FDE44D95DC5","AT","SC","4211207","9214E86871504FF5A3087FDE44D95DC5","SC42112079214E86871504FF5A3087FDE44D95DC5"
"20","SC-4211207-D1985239C3D042FEB42AB269BEC8CD12","AT","SC","4211207","D1985239C3D042FEB42AB269BEC8CD12","SC4211207D1985239C3D042FEB42AB269BEC8CD12"
