"","fcar","situacao","uf","munic","code","NUMREGCAR"
"1","MG-3160108-FD129F46619C4F2EB4B5353AD6250914","AT","MG","3160108","FD129F46619C4F2EB4B5353AD6250914","MG3160108FD129F46619C4F2EB4B5353AD6250914"
"2","MG-3160108-28A629E6ED524161B14524E1358A6BF0","AT","MG","3160108","28A629E6ED524161B14524E1358A6BF0","MG316010828A629E6ED524161B14524E1358A6BF0"
"3","MG-3160108-12C2EB99242A4FD7A3F66085BCF8E946","AT","MG","3160108","12C2EB99242A4FD7A3F66085BCF8E946","MG316010812C2EB99242A4FD7A3F66085BCF8E946"
"4","MG-3160108-0B998B4A533E41A6A6BFEF84163A42A7","AT","MG","3160108","0B998B4A533E41A6A6BFEF84163A42A7","MG31601080B998B4A533E41A6A6BFEF84163A42A7"
"5","MG-3160108-44D21E3466FA45E99326584BEB4CDC0D","AT","MG","3160108","44D21E3466FA45E99326584BEB4CDC0D","MG316010844D21E3466FA45E99326584BEB4CDC0D"
"6","MG-3160108-562A08EFB8574269A00C7090FBDB2195","AT","MG","3160108","562A08EFB8574269A00C7090FBDB2195","MG3160108562A08EFB8574269A00C7090FBDB2195"
"7","MG-3160108-EDFF52BF76754EF0B8E8DD7E57E0CB12","AT","MG","3160108","EDFF52BF76754EF0B8E8DD7E57E0CB12","MG3160108EDFF52BF76754EF0B8E8DD7E57E0CB12"
"8","MG-3160108-4A8607A479D1498486E3AFD339843519","AT","MG","3160108","4A8607A479D1498486E3AFD339843519","MG31601084A8607A479D1498486E3AFD339843519"
"9","MG-3160108-00E5D7D2719443799C90ED4D56FE56FC","AT","MG","3160108","00E5D7D2719443799C90ED4D56FE56FC","MG316010800E5D7D2719443799C90ED4D56FE56FC"
"10","MG-3160108-4A15A89506094CC495C4764E410AF0D9","AT","MG","3160108","4A15A89506094CC495C4764E410AF0D9","MG31601084A15A89506094CC495C4764E410AF0D9"
"11","MG-3160108-AEC020E7D89F4D5196B3875DC6A7BFA6","AT","MG","3160108","AEC020E7D89F4D5196B3875DC6A7BFA6","MG3160108AEC020E7D89F4D5196B3875DC6A7BFA6"
"12","MG-3160108-061C71B6380D4143BE73F4B2F60DBE45","AT","MG","3160108","061C71B6380D4143BE73F4B2F60DBE45","MG3160108061C71B6380D4143BE73F4B2F60DBE45"
"13","MG-3160108-648F2D98EE204CBAB9B17A915A53E294","AT","MG","3160108","648F2D98EE204CBAB9B17A915A53E294","MG3160108648F2D98EE204CBAB9B17A915A53E294"
"14","MG-3160108-4C5D27E742F7402AB5BA69DDF7B3BDFC","AT","MG","3160108","4C5D27E742F7402AB5BA69DDF7B3BDFC","MG31601084C5D27E742F7402AB5BA69DDF7B3BDFC"
"15","MG-3160108-8EAABE6F8DE549EA80AB9EB041E50A58","AT","MG","3160108","8EAABE6F8DE549EA80AB9EB041E50A58","MG31601088EAABE6F8DE549EA80AB9EB041E50A58"
"16","MG-3160108-A4627B9C43AD467CA543BE4C441B1C41","AT","MG","3160108","A4627B9C43AD467CA543BE4C441B1C41","MG3160108A4627B9C43AD467CA543BE4C441B1C41"
"17","MG-3160108-F53EF10CAA5D47FF92CF11F76143FE7C","AT","MG","3160108","F53EF10CAA5D47FF92CF11F76143FE7C","MG3160108F53EF10CAA5D47FF92CF11F76143FE7C"
"18","MG-3160108-65ABBE73602345FD851CD5D9128573B5","AT","MG","3160108","65ABBE73602345FD851CD5D9128573B5","MG316010865ABBE73602345FD851CD5D9128573B5"
"19","MG-3160108-4CEEB0886BB840EFA5D71858FEC10477","AT","MG","3160108","4CEEB0886BB840EFA5D71858FEC10477","MG31601084CEEB0886BB840EFA5D71858FEC10477"
"20","MG-3160108-1EBC92391F4745F5B3E88F20B4F818B1","AT","MG","3160108","1EBC92391F4745F5B3E88F20B4F818B1","MG31601081EBC92391F4745F5B3E88F20B4F818B1"
"21","MG-3160108-E0926CDFD9BE48F5B66D055A881785CB","AT","MG","3160108","E0926CDFD9BE48F5B66D055A881785CB","MG3160108E0926CDFD9BE48F5B66D055A881785CB"
"22","MG-3160108-7F19781C151040EAA7DFC8F12250A1C5","AT","MG","3160108","7F19781C151040EAA7DFC8F12250A1C5","MG31601087F19781C151040EAA7DFC8F12250A1C5"
"23","MG-3160108-D357BF8A79344A94B93954A5BA303A98","AT","MG","3160108","D357BF8A79344A94B93954A5BA303A98","MG3160108D357BF8A79344A94B93954A5BA303A98"
"24","MG-3160108-76D38F9B05634E0BA6C597D2BBAAA9BE","AT","MG","3160108","76D38F9B05634E0BA6C597D2BBAAA9BE","MG316010876D38F9B05634E0BA6C597D2BBAAA9BE"
"25","MG-3160108-D640962C077F4A9DA1D4ADB4147A90FA","AT","MG","3160108","D640962C077F4A9DA1D4ADB4147A90FA","MG3160108D640962C077F4A9DA1D4ADB4147A90FA"
"26","MG-3160108-B59F05BCE4AC4A28B6662666DFCFFD9F","AT","MG","3160108","B59F05BCE4AC4A28B6662666DFCFFD9F","MG3160108B59F05BCE4AC4A28B6662666DFCFFD9F"
