"","fcar","situacao","uf","munic","code","NUMREGCAR"
"1","PI-2208106-120CC8F9D01346338F737D05B2C57955","AT","PI","2208106","120CC8F9D01346338F737D05B2C57955","PI2208106120CC8F9D01346338F737D05B2C57955"
"2","PI-2208106-7453C1509D8848BAB385479A3453D3D7","AT","PI","2208106","7453C1509D8848BAB385479A3453D3D7","PI22081067453C1509D8848BAB385479A3453D3D7"
"3","PI-2208106-635A5885E70B40878F52C929C5B0F902","AT","PI","2208106","635A5885E70B40878F52C929C5B0F902","PI2208106635A5885E70B40878F52C929C5B0F902"
"4","PI-2208106-B3AEAB5010114EA587D4133370DD61CE","AT","PI","2208106","B3AEAB5010114EA587D4133370DD61CE","PI2208106B3AEAB5010114EA587D4133370DD61CE"
"5","PI-2208106-8C4D07B3A6AB4D3C82B805E8AD9E15D5","AT","PI","2208106","8C4D07B3A6AB4D3C82B805E8AD9E15D5","PI22081068C4D07B3A6AB4D3C82B805E8AD9E15D5"
"6","PI-2208106-3ABDC0A5A6D843F7A01A90725CD33D24","AT","PI","2208106","3ABDC0A5A6D843F7A01A90725CD33D24","PI22081063ABDC0A5A6D843F7A01A90725CD33D24"
"7","PI-2208106-F918E0FC64274ACEB35321F04A36EC76","AT","PI","2208106","F918E0FC64274ACEB35321F04A36EC76","PI2208106F918E0FC64274ACEB35321F04A36EC76"
"8","PI-2208106-82AAE1F68E0441DDA29E7166D6E2C1E1","AT","PI","2208106","82AAE1F68E0441DDA29E7166D6E2C1E1","PI220810682AAE1F68E0441DDA29E7166D6E2C1E1"
"9","PI-2208106-86CB8D65E4AD45CD8B01D164D694C4F3","AT","PI","2208106","86CB8D65E4AD45CD8B01D164D694C4F3","PI220810686CB8D65E4AD45CD8B01D164D694C4F3"
"10","PI-2208106-A7105FFC36BD420B8245508C2117A0DD","AT","PI","2208106","A7105FFC36BD420B8245508C2117A0DD","PI2208106A7105FFC36BD420B8245508C2117A0DD"
"11","PI-2208106-8F84B3739C084D7985575745B8FAD065","AT","PI","2208106","8F84B3739C084D7985575745B8FAD065","PI22081068F84B3739C084D7985575745B8FAD065"
"12","PI-2208106-CF28636B590C4BBC9801D466986DBBC3","AT","PI","2208106","CF28636B590C4BBC9801D466986DBBC3","PI2208106CF28636B590C4BBC9801D466986DBBC3"
"13","PI-2208106-959B917C142B41C19182BA3FE55645CB","AT","PI","2208106","959B917C142B41C19182BA3FE55645CB","PI2208106959B917C142B41C19182BA3FE55645CB"
"14","PI-2208106-7122E637845646E7A46D63B906993AEB","AT","PI","2208106","7122E637845646E7A46D63B906993AEB","PI22081067122E637845646E7A46D63B906993AEB"
"15","PI-2208106-9CD37CBD506F4CB5940CBBCDFC4B84C8","AT","PI","2208106","9CD37CBD506F4CB5940CBBCDFC4B84C8","PI22081069CD37CBD506F4CB5940CBBCDFC4B84C8"
"16","PI-2208106-6CC00F32D57143A78C68F1245544E50A","AT","PI","2208106","6CC00F32D57143A78C68F1245544E50A","PI22081066CC00F32D57143A78C68F1245544E50A"
"17","PI-2208106-944D718C1BC04DC29980C2B05B11B06C","AT","PI","2208106","944D718C1BC04DC29980C2B05B11B06C","PI2208106944D718C1BC04DC29980C2B05B11B06C"
"18","PI-2208106-9F69FF0A576D48D8A34EEF8558A8E1C7","AT","PI","2208106","9F69FF0A576D48D8A34EEF8558A8E1C7","PI22081069F69FF0A576D48D8A34EEF8558A8E1C7"
"19","PI-2208106-97173C11CF1244F994B7E1A06203D2DD","AT","PI","2208106","97173C11CF1244F994B7E1A06203D2DD","PI220810697173C11CF1244F994B7E1A06203D2DD"
"20","PI-2208106-5A10EA7C65914D0E903824AB460A6EBE","AT","PI","2208106","5A10EA7C65914D0E903824AB460A6EBE","PI22081065A10EA7C65914D0E903824AB460A6EBE"
"21","PI-2208106-1946FE2586134C8CA58681D8BA011134","AT","PI","2208106","1946FE2586134C8CA58681D8BA011134","PI22081061946FE2586134C8CA58681D8BA011134"
"22","PI-2208106-A50CC1812D7F4FDBB3293394E1FA80DC","AT","PI","2208106","A50CC1812D7F4FDBB3293394E1FA80DC","PI2208106A50CC1812D7F4FDBB3293394E1FA80DC"
"23","PI-2208106-41C6F3EBD0B2470880337BF21C5FEE94","AT","PI","2208106","41C6F3EBD0B2470880337BF21C5FEE94","PI220810641C6F3EBD0B2470880337BF21C5FEE94"
"24","PI-2208106-5D0F0C9491ED4182BBC798FA988050AD","AT","PI","2208106","5D0F0C9491ED4182BBC798FA988050AD","PI22081065D0F0C9491ED4182BBC798FA988050AD"
"25","PI-2208106-1950986F238943BCAA25C04015C9E3FB","AT","PI","2208106","1950986F238943BCAA25C04015C9E3FB","PI22081061950986F238943BCAA25C04015C9E3FB"
