"","fcar","situacao","uf","munic","code","NUMREGCAR"
"1","MG-3171006-8761E2752DA74732BD8465DC0E7294BB","AT","MG","3171006","8761E2752DA74732BD8465DC0E7294BB","MG31710068761E2752DA74732BD8465DC0E7294BB"
"2","MG-3171006-B9572765FA0544C797CB74F08A4F10A9","AT","MG","3171006","B9572765FA0544C797CB74F08A4F10A9","MG3171006B9572765FA0544C797CB74F08A4F10A9"
"3","MG-3171006-51634413D57A48A0B4370CEE595B363C","AT","MG","3171006","51634413D57A48A0B4370CEE595B363C","MG317100651634413D57A48A0B4370CEE595B363C"
"4","MG-3171006-09D502F064394B1AB18024F6C326D448","AT","MG","3171006","09D502F064394B1AB18024F6C326D448","MG317100609D502F064394B1AB18024F6C326D448"
"5","MG-3171006-5BECB7DD36634CAB8F9A11231A1F68C3","AT","MG","3171006","5BECB7DD36634CAB8F9A11231A1F68C3","MG31710065BECB7DD36634CAB8F9A11231A1F68C3"
"6","MG-3171006-9CBAA083E9854CFA916F7A8C77402EC5","AT","MG","3171006","9CBAA083E9854CFA916F7A8C77402EC5","MG31710069CBAA083E9854CFA916F7A8C77402EC5"
"7","MG-3171006-12C36D5F26CB4CA3B8AA225004335E57","AT","MG","3171006","12C36D5F26CB4CA3B8AA225004335E57","MG317100612C36D5F26CB4CA3B8AA225004335E57"
"8","MG-3171006-D606CF7A2B6042B1BAB44DC6433179C3","AT","MG","3171006","D606CF7A2B6042B1BAB44DC6433179C3","MG3171006D606CF7A2B6042B1BAB44DC6433179C3"
"9","MG-3171006-BBD6F689C9684DD7938278420A19AF27","AT","MG","3171006","BBD6F689C9684DD7938278420A19AF27","MG3171006BBD6F689C9684DD7938278420A19AF27"
"10","MG-3171006-EF3CEEACB37C4855864C13EF63A0D44C","AT","MG","3171006","EF3CEEACB37C4855864C13EF63A0D44C","MG3171006EF3CEEACB37C4855864C13EF63A0D44C"
"11","MG-3171006-668A616487E641188A535235AC5AC69A","AT","MG","3171006","668A616487E641188A535235AC5AC69A","MG3171006668A616487E641188A535235AC5AC69A"
"12","MG-3171006-42E375B9D82F4CE68CADF78D9CA348C6","AT","MG","3171006","42E375B9D82F4CE68CADF78D9CA348C6","MG317100642E375B9D82F4CE68CADF78D9CA348C6"
"13","MG-3171006-2D97EFBEF4874F8389A91AE36515B115","AT","MG","3171006","2D97EFBEF4874F8389A91AE36515B115","MG31710062D97EFBEF4874F8389A91AE36515B115"
"14","MG-3171006-6DF5E7485AE547D28E8ACC6E5E3ABF88","AT","MG","3171006","6DF5E7485AE547D28E8ACC6E5E3ABF88","MG31710066DF5E7485AE547D28E8ACC6E5E3ABF88"
"15","MG-3171006-9E74001FA86240A88EEE69CDD709C460","AT","MG","3171006","9E74001FA86240A88EEE69CDD709C460","MG31710069E74001FA86240A88EEE69CDD709C460"
"16","MG-3171006-A04147820BC9405F97658EB93E2AA393","AT","MG","3171006","A04147820BC9405F97658EB93E2AA393","MG3171006A04147820BC9405F97658EB93E2AA393"
"17","MG-3171006-9F0217E665C3435EA6E84D74C3D7A366","AT","MG","3171006","9F0217E665C3435EA6E84D74C3D7A366","MG31710069F0217E665C3435EA6E84D74C3D7A366"
"18","MG-3171006-5B4F9AB6C4A8419B89E77D84C5A19A92","AT","MG","3171006","5B4F9AB6C4A8419B89E77D84C5A19A92","MG31710065B4F9AB6C4A8419B89E77D84C5A19A92"
"19","MG-3171006-EC999029288245279A212F63C93BA4B1","AT","MG","3171006","EC999029288245279A212F63C93BA4B1","MG3171006EC999029288245279A212F63C93BA4B1"
"20","MG-3171006-4C123D065E9A43E3BBDB367C1B164C7D","AT","MG","3171006","4C123D065E9A43E3BBDB367C1B164C7D","MG31710064C123D065E9A43E3BBDB367C1B164C7D"
