"","fcar","situacao","uf","munic","code","NUMREGCAR"
"1","MG-3109808-88C51ED0553E4BCA9C72459741257194","AT","MG","3109808","88C51ED0553E4BCA9C72459741257194","MG310980888C51ED0553E4BCA9C72459741257194"
"2","MG-3109808-8AF77AF6D0524CDAADD1511D86AA8F1C","AT","MG","3109808","8AF77AF6D0524CDAADD1511D86AA8F1C","MG31098088AF77AF6D0524CDAADD1511D86AA8F1C"
"3","MG-3109808-3886D30219694B01BAA8F502194B6D47","AT","MG","3109808","3886D30219694B01BAA8F502194B6D47","MG31098083886D30219694B01BAA8F502194B6D47"
"4","MG-3109808-3B3D26D3229841AC876EA950C251A34A","AT","MG","3109808","3B3D26D3229841AC876EA950C251A34A","MG31098083B3D26D3229841AC876EA950C251A34A"
"5","MG-3109808-6ADA777F38834026A152F018D6354047","AT","MG","3109808","6ADA777F38834026A152F018D6354047","MG31098086ADA777F38834026A152F018D6354047"
"6","MG-3109808-80506DB862F84C20BF1C5667EB49CF3A","AT","MG","3109808","80506DB862F84C20BF1C5667EB49CF3A","MG310980880506DB862F84C20BF1C5667EB49CF3A"
"7","MG-3109808-AA3E77CC5173486095069F5D2AF38E0B","AT","MG","3109808","AA3E77CC5173486095069F5D2AF38E0B","MG3109808AA3E77CC5173486095069F5D2AF38E0B"
"8","MG-3109808-00D8E039BCDF4916B563E295FA028437","AT","MG","3109808","00D8E039BCDF4916B563E295FA028437","MG310980800D8E039BCDF4916B563E295FA028437"
"9","MG-3109808-C7C32F390B894DE296978AF48D8288CB","AT","MG","3109808","C7C32F390B894DE296978AF48D8288CB","MG3109808C7C32F390B894DE296978AF48D8288CB"
"10","MG-3109808-23F76AC592B54E0E8DE09FF40C40192F","AT","MG","3109808","23F76AC592B54E0E8DE09FF40C40192F","MG310980823F76AC592B54E0E8DE09FF40C40192F"
"11","MG-3109808-C881BC01DC1F4D9490D054AEAB087023","AT","MG","3109808","C881BC01DC1F4D9490D054AEAB087023","MG3109808C881BC01DC1F4D9490D054AEAB087023"
"12","MG-3109808-3F4CD02BDBDA492AB7A3890838EFCDF9","AT","MG","3109808","3F4CD02BDBDA492AB7A3890838EFCDF9","MG31098083F4CD02BDBDA492AB7A3890838EFCDF9"
"13","MG-3109808-E021F1939F524D41B64551517113D52C","AT","MG","3109808","E021F1939F524D41B64551517113D52C","MG3109808E021F1939F524D41B64551517113D52C"
"14","MG-3109808-CCE70891FFD24FD2A5BA045F7820D03E","AT","MG","3109808","CCE70891FFD24FD2A5BA045F7820D03E","MG3109808CCE70891FFD24FD2A5BA045F7820D03E"
"15","MG-3109808-775FE79B2B6340C6B7312A24FD0A5A26","AT","MG","3109808","775FE79B2B6340C6B7312A24FD0A5A26","MG3109808775FE79B2B6340C6B7312A24FD0A5A26"
"16","MG-3109808-AFCBC24F8A3946D29090F25EA40BE8AC","AT","MG","3109808","AFCBC24F8A3946D29090F25EA40BE8AC","MG3109808AFCBC24F8A3946D29090F25EA40BE8AC"
"17","MG-3109808-38A0CC18B19B43A689333E0B78696E54","AT","MG","3109808","38A0CC18B19B43A689333E0B78696E54","MG310980838A0CC18B19B43A689333E0B78696E54"
"18","MG-3109808-654357B819EF487B8B72E0A7F034F888","AT","MG","3109808","654357B819EF487B8B72E0A7F034F888","MG3109808654357B819EF487B8B72E0A7F034F888"
"19","MG-3109808-57E4645885914E3CB45EE08B608B6057","AT","MG","3109808","57E4645885914E3CB45EE08B608B6057","MG310980857E4645885914E3CB45EE08B608B6057"
"20","MG-3109808-1299E02F74D148B0939A21803F7C71C3","AT","MG","3109808","1299E02F74D148B0939A21803F7C71C3","MG31098081299E02F74D148B0939A21803F7C71C3"
"21","MG-3109808-F29128257B704EA4B7248C5221AAE910","AT","MG","3109808","F29128257B704EA4B7248C5221AAE910","MG3109808F29128257B704EA4B7248C5221AAE910"
"22","MG-3109808-2F84641E92484F3C8A7A331D0588469C","AT","MG","3109808","2F84641E92484F3C8A7A331D0588469C","MG31098082F84641E92484F3C8A7A331D0588469C"
"23","MG-3109808-3ABC72B0FDC149D6B40A3B7421B5178A","AT","MG","3109808","3ABC72B0FDC149D6B40A3B7421B5178A","MG31098083ABC72B0FDC149D6B40A3B7421B5178A"
"24","MG-3109808-2512D8370D6C436D84EBF5F2A6570691","AT","MG","3109808","2512D8370D6C436D84EBF5F2A6570691","MG31098082512D8370D6C436D84EBF5F2A6570691"
"25","MG-3109808-89CE7E4ED29D4993B425950A47A902C6","AT","MG","3109808","89CE7E4ED29D4993B425950A47A902C6","MG310980889CE7E4ED29D4993B425950A47A902C6"
"26","MG-3109808-A10437BB1CBC4A67BB583C45F7C2CD25","AT","MG","3109808","A10437BB1CBC4A67BB583C45F7C2CD25","MG3109808A10437BB1CBC4A67BB583C45F7C2CD25"
"27","MG-3109808-4ED409AB594A44C5950DBF0A9C347A1E","AT","MG","3109808","4ED409AB594A44C5950DBF0A9C347A1E","MG31098084ED409AB594A44C5950DBF0A9C347A1E"
"28","MG-3109808-5101B7A419C947B2B3984639D9EAD7D4","AT","MG","3109808","5101B7A419C947B2B3984639D9EAD7D4","MG31098085101B7A419C947B2B3984639D9EAD7D4"
"29","MG-3109808-3C4F068EB51B453BA4B0FC80BE6129AC","AT","MG","3109808","3C4F068EB51B453BA4B0FC80BE6129AC","MG31098083C4F068EB51B453BA4B0FC80BE6129AC"
"30","MG-3109808-864F7DA8C3A04F34B497837D0D477D1E","AT","MG","3109808","864F7DA8C3A04F34B497837D0D477D1E","MG3109808864F7DA8C3A04F34B497837D0D477D1E"
"31","MG-3109808-18901F81176949D2886AF8E63B95F666","AT","MG","3109808","18901F81176949D2886AF8E63B95F666","MG310980818901F81176949D2886AF8E63B95F666"
"32","MG-3109808-AD2CD8460E76453987AFE84C36974C98","AT","MG","3109808","AD2CD8460E76453987AFE84C36974C98","MG3109808AD2CD8460E76453987AFE84C36974C98"
"33","MG-3109808-5FBE7198AC0C4AE48AF5EC86CE4FBA8F","AT","MG","3109808","5FBE7198AC0C4AE48AF5EC86CE4FBA8F","MG31098085FBE7198AC0C4AE48AF5EC86CE4FBA8F"
"34","MG-3109808-A534F06DE93E46E3ACDC4921418E3534","AT","MG","3109808","A534F06DE93E46E3ACDC4921418E3534","MG3109808A534F06DE93E46E3ACDC4921418E3534"
"35","MG-3109808-3099A08669714B808FF5CCD982F27568","AT","MG","3109808","3099A08669714B808FF5CCD982F27568","MG31098083099A08669714B808FF5CCD982F27568"
"36","MG-3109808-A17FEE75930545BAA8AC8920B2E6F444","AT","MG","3109808","A17FEE75930545BAA8AC8920B2E6F444","MG3109808A17FEE75930545BAA8AC8920B2E6F444"
"37","MG-3109808-D880D60F5EBE4BF795BAF56A685FEDC0","AT","MG","3109808","D880D60F5EBE4BF795BAF56A685FEDC0","MG3109808D880D60F5EBE4BF795BAF56A685FEDC0"
"38","MG-3109808-134A5BD8F3F343469C4BE8DF64A3D183","AT","MG","3109808","134A5BD8F3F343469C4BE8DF64A3D183","MG3109808134A5BD8F3F343469C4BE8DF64A3D183"
"39","MG-3109808-B166B1E178294A12A96834907BC3C459","AT","MG","3109808","B166B1E178294A12A96834907BC3C459","MG3109808B166B1E178294A12A96834907BC3C459"
"40","MG-3109808-8C04602AD08F40CF8679BB1F6E287EF5","AT","MG","3109808","8C04602AD08F40CF8679BB1F6E287EF5","MG31098088C04602AD08F40CF8679BB1F6E287EF5"
"41","MG-3109808-A6D7C879087047BDA404E642609548B4","AT","MG","3109808","A6D7C879087047BDA404E642609548B4","MG3109808A6D7C879087047BDA404E642609548B4"
"42","MG-3109808-86EEEF3497C3477B986DDCB7BE716E7F","AT","MG","3109808","86EEEF3497C3477B986DDCB7BE716E7F","MG310980886EEEF3497C3477B986DDCB7BE716E7F"
"43","MG-3109808-1808B7DFE6464B42BC9A219096EB1DB0","AT","MG","3109808","1808B7DFE6464B42BC9A219096EB1DB0","MG31098081808B7DFE6464B42BC9A219096EB1DB0"
"44","MG-3109808-D2199444C8734EEC892F74E379F5C637","AT","MG","3109808","D2199444C8734EEC892F74E379F5C637","MG3109808D2199444C8734EEC892F74E379F5C637"
"45","MG-3109808-A14AF58718304711BEADFED49D3FBA6E","AT","MG","3109808","A14AF58718304711BEADFED49D3FBA6E","MG3109808A14AF58718304711BEADFED49D3FBA6E"
"46","MG-3109808-79BB84A69D344A06B798238A91F5821A","AT","MG","3109808","79BB84A69D344A06B798238A91F5821A","MG310980879BB84A69D344A06B798238A91F5821A"
