"","fcar","situacao","uf","munic","code","NUMREGCAR"
"1","MG-3139300-E43D75D1FA43438181BBD00228312F5E","AT","MG","3139300","E43D75D1FA43438181BBD00228312F5E","MG3139300E43D75D1FA43438181BBD00228312F5E"
"2","MG-3139300-2D034A53A4E44135963F473CA1B8435A","AT","MG","3139300","2D034A53A4E44135963F473CA1B8435A","MG31393002D034A53A4E44135963F473CA1B8435A"
"3","MG-3139300-B600CA5354504CC8A3BAC059CDB8E9DC","AT","MG","3139300","B600CA5354504CC8A3BAC059CDB8E9DC","MG3139300B600CA5354504CC8A3BAC059CDB8E9DC"
"4","MG-3139300-ACDFD04A05C64E28A2645E42A7D8CF76","AT","MG","3139300","ACDFD04A05C64E28A2645E42A7D8CF76","MG3139300ACDFD04A05C64E28A2645E42A7D8CF76"
"5","MG-3139300-0FF29AEDA05D47FBA3A7E5D5F60CCF8A","AT","MG","3139300","0FF29AEDA05D47FBA3A7E5D5F60CCF8A","MG31393000FF29AEDA05D47FBA3A7E5D5F60CCF8A"
"6","MG-3139300-356F3977CB624423B63F5D239E79AF66","AT","MG","3139300","356F3977CB624423B63F5D239E79AF66","MG3139300356F3977CB624423B63F5D239E79AF66"
"7","MG-3139300-D265C5B1DA6D445D8B6813E4CCAD1818","AT","MG","3139300","D265C5B1DA6D445D8B6813E4CCAD1818","MG3139300D265C5B1DA6D445D8B6813E4CCAD1818"
"8","MG-3139300-AD3D61B4FDBF430F890E129F7DF1158B","AT","MG","3139300","AD3D61B4FDBF430F890E129F7DF1158B","MG3139300AD3D61B4FDBF430F890E129F7DF1158B"
"9","MG-3139300-C70E763A6BA5454A87AE33F72F259DB2","AT","MG","3139300","C70E763A6BA5454A87AE33F72F259DB2","MG3139300C70E763A6BA5454A87AE33F72F259DB2"
"10","MG-3139300-74A8FFC88EE94ECB8ACB353D7EC1C66C","AT","MG","3139300","74A8FFC88EE94ECB8ACB353D7EC1C66C","MG313930074A8FFC88EE94ECB8ACB353D7EC1C66C"
"11","MG-3139300-EEB22687A410448F84BAC3FB63A799CC","AT","MG","3139300","EEB22687A410448F84BAC3FB63A799CC","MG3139300EEB22687A410448F84BAC3FB63A799CC"
"12","MG-3139300-4C27F9592F2E4ECCA22F1E36D9C9F4C4","AT","MG","3139300","4C27F9592F2E4ECCA22F1E36D9C9F4C4","MG31393004C27F9592F2E4ECCA22F1E36D9C9F4C4"
"13","MG-3139300-C4491F5B7D7B48D282BA5D9869A3FEBF","AT","MG","3139300","C4491F5B7D7B48D282BA5D9869A3FEBF","MG3139300C4491F5B7D7B48D282BA5D9869A3FEBF"
