"","fcar","situacao","uf","munic","code","NUMREGCAR"
"1","GO-5215009-C7B18BD679D645168C18F28FCEE657DB","AT","GO","5215009","C7B18BD679D645168C18F28FCEE657DB","GO5215009C7B18BD679D645168C18F28FCEE657DB"
"2","GO-5215009-974E6EA0C7D44D128538DABB68207FA0","AT","GO","5215009","974E6EA0C7D44D128538DABB68207FA0","GO5215009974E6EA0C7D44D128538DABB68207FA0"
"3","GO-5215009-F1CFA64A805E4607B9C3D4811B294421","AT","GO","5215009","F1CFA64A805E4607B9C3D4811B294421","GO5215009F1CFA64A805E4607B9C3D4811B294421"
"4","GO-5215009-9F7D9D016FB541F58E7B8DDD31F558E1","AT","GO","5215009","9F7D9D016FB541F58E7B8DDD31F558E1","GO52150099F7D9D016FB541F58E7B8DDD31F558E1"
"5","GO-5215009-1F6AA203ABCA4E51ACEFBB93E84083A7","PE","GO","5215009","1F6AA203ABCA4E51ACEFBB93E84083A7","GO52150091F6AA203ABCA4E51ACEFBB93E84083A7"
"6","GO-5215009-EA3972D548EF40E2BFC37DBF30A5750B","PE","GO","5215009","EA3972D548EF40E2BFC37DBF30A5750B","GO5215009EA3972D548EF40E2BFC37DBF30A5750B"
"7","GO-5215009-DEE9B3B831F34887B7E88D3CE0EDFEF5","PE","GO","5215009","DEE9B3B831F34887B7E88D3CE0EDFEF5","GO5215009DEE9B3B831F34887B7E88D3CE0EDFEF5"
"8","GO-5215009-3DD9BBC3FB104E708A85F5984FA62026","PE","GO","5215009","3DD9BBC3FB104E708A85F5984FA62026","GO52150093DD9BBC3FB104E708A85F5984FA62026"
"9","GO-5215009-54AB520F477345BE89A372FB411D2569","PE","GO","5215009","54AB520F477345BE89A372FB411D2569","GO521500954AB520F477345BE89A372FB411D2569"
"10","GO-5215009-896F1712BE054332BAA4A9D3B383C9BA","PE","GO","5215009","896F1712BE054332BAA4A9D3B383C9BA","GO5215009896F1712BE054332BAA4A9D3B383C9BA"
"11","GO-5215009-A48D1AE3579346EEB5F74C2D9D7FBD5D","PE","GO","5215009","A48D1AE3579346EEB5F74C2D9D7FBD5D","GO5215009A48D1AE3579346EEB5F74C2D9D7FBD5D"
"12","GO-5215009-A8F84BF7BBF74155906ABD912EF87D4E","PE","GO","5215009","A8F84BF7BBF74155906ABD912EF87D4E","GO5215009A8F84BF7BBF74155906ABD912EF87D4E"
"13","GO-5215009-4CD0E161F37741F2B619218EC15287D9","AT","GO","5215009","4CD0E161F37741F2B619218EC15287D9","GO52150094CD0E161F37741F2B619218EC15287D9"
"14","GO-5215009-8DD2C02521B143F1BCD23D8841A4EA43","AT","GO","5215009","8DD2C02521B143F1BCD23D8841A4EA43","GO52150098DD2C02521B143F1BCD23D8841A4EA43"
"15","GO-5215009-963ADB78F5364A728231CBB0BE9385F3","AT","GO","5215009","963ADB78F5364A728231CBB0BE9385F3","GO5215009963ADB78F5364A728231CBB0BE9385F3"
"16","GO-5215009-8F3043E7D8084908856542AB6FD47E87","PE","GO","5215009","8F3043E7D8084908856542AB6FD47E87","GO52150098F3043E7D8084908856542AB6FD47E87"
"17","GO-5215009-BDEE98A49E6041AC9D9ECE6F66F95522","AT","GO","5215009","BDEE98A49E6041AC9D9ECE6F66F95522","GO5215009BDEE98A49E6041AC9D9ECE6F66F95522"
"18","GO-5215009-6BE5A23AE63E4391BEDFC7B136CD6342","AT","GO","5215009","6BE5A23AE63E4391BEDFC7B136CD6342","GO52150096BE5A23AE63E4391BEDFC7B136CD6342"
"19","GO-5215009-933D0355FB9448A3A8B750F1CC00979A","AT","GO","5215009","933D0355FB9448A3A8B750F1CC00979A","GO5215009933D0355FB9448A3A8B750F1CC00979A"
"20","GO-5215009-A19AEEB874174B2B9C37455FE730C790","AT","GO","5215009","A19AEEB874174B2B9C37455FE730C790","GO5215009A19AEEB874174B2B9C37455FE730C790"
"21","GO-5215009-B7FA92C62D24447A865806FC5A07BE80","PE","GO","5215009","B7FA92C62D24447A865806FC5A07BE80","GO5215009B7FA92C62D24447A865806FC5A07BE80"
