"","fcar","situacao","uf","munic","code","NUMREGCAR"
"1","SP-3505708-32358278BC704B62B4F4DB3A2C0F73CD","AT","SP","3505708","32358278BC704B62B4F4DB3A2C0F73CD","SP350570832358278BC704B62B4F4DB3A2C0F73CD"
"2","SP-3505708-291659D66D3F4FF8A236274B756F711C","AT","SP","3505708","291659D66D3F4FF8A236274B756F711C","SP3505708291659D66D3F4FF8A236274B756F711C"
"3","SP-3505708-8DAEA124BAC04AB69CF4773FC42633E3","AT","SP","3505708","8DAEA124BAC04AB69CF4773FC42633E3","SP35057088DAEA124BAC04AB69CF4773FC42633E3"
