"","fcar","situacao","uf","munic","code","NUMREGCAR"
"1","MG-3152204-2AACF56BC99B40E986F5DE5FBBF119EC","AT","MG","3152204","2AACF56BC99B40E986F5DE5FBBF119EC","MG31522042AACF56BC99B40E986F5DE5FBBF119EC"
"2","MG-3152204-9CC5171779374E998F76FF6D2336A2E8","AT","MG","3152204","9CC5171779374E998F76FF6D2336A2E8","MG31522049CC5171779374E998F76FF6D2336A2E8"
"3","MG-3152204-6A5FE3D302364E498D1D36F43111F770","AT","MG","3152204","6A5FE3D302364E498D1D36F43111F770","MG31522046A5FE3D302364E498D1D36F43111F770"
"4","MG-3152204-58030B594EBD4AEA9F9EB3CC0833FC14","AT","MG","3152204","58030B594EBD4AEA9F9EB3CC0833FC14","MG315220458030B594EBD4AEA9F9EB3CC0833FC14"
"5","MG-3152204-DA35105B17C84FF7BA15B393FC7DB431","AT","MG","3152204","DA35105B17C84FF7BA15B393FC7DB431","MG3152204DA35105B17C84FF7BA15B393FC7DB431"
"6","MG-3152204-E6BA03D2FE474B6BA12825CB36E6DA6D","AT","MG","3152204","E6BA03D2FE474B6BA12825CB36E6DA6D","MG3152204E6BA03D2FE474B6BA12825CB36E6DA6D"
"7","MG-3152204-99D68D2E627949249F9C11D8B66AA8A2","AT","MG","3152204","99D68D2E627949249F9C11D8B66AA8A2","MG315220499D68D2E627949249F9C11D8B66AA8A2"
"8","MG-3152204-3B071CA5D61545048D5C8AB7A8CEE29A","AT","MG","3152204","3B071CA5D61545048D5C8AB7A8CEE29A","MG31522043B071CA5D61545048D5C8AB7A8CEE29A"
"9","MG-3152204-52E43D7D56574E7D943E993AD30A5131","AT","MG","3152204","52E43D7D56574E7D943E993AD30A5131","MG315220452E43D7D56574E7D943E993AD30A5131"
"10","MG-3152204-B6E7407A5A9949CAAD112FEE958C5B49","AT","MG","3152204","B6E7407A5A9949CAAD112FEE958C5B49","MG3152204B6E7407A5A9949CAAD112FEE958C5B49"
"11","MG-3152204-CF8916766F1F4D42A1BBD6203C528D13","AT","MG","3152204","CF8916766F1F4D42A1BBD6203C528D13","MG3152204CF8916766F1F4D42A1BBD6203C528D13"
"12","MG-3152204-5ECB79268A8A430098DC08EEC76C05F7","AT","MG","3152204","5ECB79268A8A430098DC08EEC76C05F7","MG31522045ECB79268A8A430098DC08EEC76C05F7"
