"","fcar","situacao","uf","munic","code","NUMREGCAR"
"1","MG-3166204-1A73CF316FF840ED96D79D5084317949","AT","MG","3166204","1A73CF316FF840ED96D79D5084317949","MG31662041A73CF316FF840ED96D79D5084317949"
"2","MG-3166204-BC484D5A30B948E8AAEEAFA2ED442DC8","AT","MG","3166204","BC484D5A30B948E8AAEEAFA2ED442DC8","MG3166204BC484D5A30B948E8AAEEAFA2ED442DC8"
"3","MG-3166204-1F2FB6F17DA9445AAAE682B0DB7DC2AE","AT","MG","3166204","1F2FB6F17DA9445AAAE682B0DB7DC2AE","MG31662041F2FB6F17DA9445AAAE682B0DB7DC2AE"
"4","MG-3166204-0C0CA47793584B6FADA10601BFA5D482","AT","MG","3166204","0C0CA47793584B6FADA10601BFA5D482","MG31662040C0CA47793584B6FADA10601BFA5D482"
"5","MG-3166204-9C66AE76FDCC481A853888A366971D23","AT","MG","3166204","9C66AE76FDCC481A853888A366971D23","MG31662049C66AE76FDCC481A853888A366971D23"
"6","MG-3166204-6D809F1C3762448493134ABF9D35A58E","AT","MG","3166204","6D809F1C3762448493134ABF9D35A58E","MG31662046D809F1C3762448493134ABF9D35A58E"
"7","MG-3166204-39A7A5B9C75C4DAB869B4F4D29940CD4","AT","MG","3166204","39A7A5B9C75C4DAB869B4F4D29940CD4","MG316620439A7A5B9C75C4DAB869B4F4D29940CD4"
"8","MG-3166204-813FAE84AE084DF08B61CB6E3C342A3B","AT","MG","3166204","813FAE84AE084DF08B61CB6E3C342A3B","MG3166204813FAE84AE084DF08B61CB6E3C342A3B"
"9","MG-3166204-5AD61BF9D8CD43019D7345FDAB4C6421","AT","MG","3166204","5AD61BF9D8CD43019D7345FDAB4C6421","MG31662045AD61BF9D8CD43019D7345FDAB4C6421"
"10","MG-3166204-FE274EA319D84D368F57BD31D4D80147","AT","MG","3166204","FE274EA319D84D368F57BD31D4D80147","MG3166204FE274EA319D84D368F57BD31D4D80147"
"11","MG-3166204-B2414C650CB24EED906E6C59AD08076D","AT","MG","3166204","B2414C650CB24EED906E6C59AD08076D","MG3166204B2414C650CB24EED906E6C59AD08076D"
