"","fcar","uf","munic","year","camada_area_hec","Formacao Florestal","Cana-de-Acucar","Mosaico de Agricultura e Pastagem","Formacao Savanica","Campo Alagado e Area Pantanosa","Soja","Café","Citrus","Pastagem","Area Urbanizada","Silvicultura","Outras Lavouras Temporarias","Rio, Lago e Oceano","Outras Lavouras Perenes","Outras Areas nao Vegetadas","Fomacao Campestre","Afloramento"
"14","SP-3538105-0DAFF7B4ACCA455FAA177E7A94B8F269","SP",3538105,"2021",116.74,66.25,3.45,16.77,0,29.96,0,0,0,0,0,0.05,0.26,0,0,0,0,0
"15","SP-3538105-D4B13E2251B3446AA7B445237DF0CBCD","SP",3538105,"2021",33.1,18.43,1.93,5.08,0,7.16,0,0,0,0,0,0,0.5,0,0,0,0,0
"16","SP-3538907-4A6B17B442114916B860107C4F77527C","SP",3538907,"2021",7.37,5.17,0.24,1.67,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0
"17","SP-3538907-8008D3921DFB41CFB9B89479B9A774D8","SP",3538907,"2021",0.13,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","SP-3539608-1AE0BF2C83E34158B5C09EA38C1DFF3D","SP",3539608,"2021",36.89,12.54,0.71,14.92,0,5.95,0,0,0,0.84,0,0,0,1.38,0,0,0,0
"19","SP-3540309-455A2263AE1B4CEDBF18C9A8EF56FD37","SP",3540309,"2021",49.58,1.69,2.87,29.82,0,12.04,0,0,0,0.85,0,0,1.57,0.74,0,0,0,0
"20","SP-3540309-663984AC1E8A4B0F817BC2599BBF2DA4","SP",3540309,"2021",1.83,0,0.09,1.45,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0
"21","SP-3540903-262EC6A45FFB45A8B306D5BB26DCAB02","SP",3540903,"2021",3.59,1.56,0.22,0.39,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0
"22","SP-3540903-73F249DF772D472EA6E4054C889E3C37","SP",3540903,"2021",0.98,0,0.12,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","SP-3540903-79CFF2423DFE491AADDFEBEBD58C253F","SP",3540903,"2021",0.59,0.37,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","SP-3540903-8E5E9C97601D4B569130EEC00F292D1E","SP",3540903,"2021",0,0.07,25.62,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","SP-3540903-B11929B3E6EA4E9696D1E205DB6984F0","SP",3540903,"2021",5.2,4.05,0.29,0,0,0.72,0,0,0,0,0,0,0.14,0,0,0,0,0
"26","SP-3540903-E33502A05729445AB39A789964C1ABA2","SP",3540903,"2021",0,0,18.44,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","SP-3543402-1DA8730846C74686A4AB4FFFEDF102CA","SP",3543402,"2021",0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","SP-3543402-1F1F7808BB7942A7AC24E42F391C7A50","SP",3543402,"2021",60.48,41.99,2.02,7.04,0,9.34,0,0,0,0,0,0,0.1,0,0,0,0,0
"29","SP-3543402-42E69DAFD66A48F2A2C94EF340E96EAD","SP",3543402,"2021",15.09,3.92,0.26,1.67,0,8.74,0,0,0,0,0,0,0.51,0,0,0,0,0
"30","SP-3543402-4B9B41D5E4C44F83BCC3BF1C40A0AD09","SP",3543402,"2021",2.97,1.04,0.03,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","SP-3543402-684F1290C16E47FD88B387C429B2804F","SP",3543402,"2021",174.98,144.3,3.12,26.05,0,0,0,0,0,0.12,0.16,0,1.23,0,0,0,0,0
"32","SP-3543402-EF060FEE30C44FDB89DE102EA19D6E60","SP",3543402,"2021",77.78,72.18,1.19,2.61,0,0.63,0,0,0,0,0,0,1.17,0,0,0,0,0
"33","SP-3543402-FB219CA4F6AA4588AF2B80E948058DBC","SP",3543402,"2021",34.59,27.72,0.97,5.23,0,0.12,0,0,0,0,0,0,0.55,0,0,0,0,0
"34","SP-3543709-3441624B211E459D97BC7E1C7FF2C66D","SP",3543709,"2021",27.13,8.38,0.21,5.86,0,12.64,0,0,0,0,0,0,0.03,0,0,0,0,0
"35","SP-3543709-67FEDFB442A74EFDAFED739AA5492A54","SP",3543709,"2021",24.84,10.69,1.29,5.57,0,7.25,0,0,0,0,0,0,0,0.03,0,0,0,0
"36","SP-3543709-895E9A4CA7AA45F787AB51BFD227F7E4","SP",3543709,"2021",1130.92,218.19,12.25,166.18,0.99,722.76,0,0,0,6.75,0,0,0.13,3.47,0,0,0,0
"37","SP-3543709-F0021CE51CC64BE295FD0164556406B2","SP",3543709,"2021",0,0,78.43,4.48,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0
"38","SP-3544202-1CC80758D5D14B37BA4FDB5607741084","SP",3544202,"2021",59.92,55.76,0,3.5,0,0.55,0,0,0.05,0.04,0,0,0.01,0,0,0,0,0
"39","SP-3544806-6B687EF4F1B84898BCDF0F4308F089C9","SP",3544806,"2021",371.2,361.06,0.25,6.03,0,0.22,0,0,0,1.63,0,0,0,0,2,0,0,0
"40","SP-3545605-31C240CD9EEA4DB795EAF79257D3A555","SP",3545605,"2021",1.84,1.45,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0
"41","SP-3545605-4B1327CD9F0048C8AF0EF7D758D0BF69","SP",3545605,"2021",12.17,5.58,3.95,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","SP-3545605-744C3D0EC2614782AF597E510CD204D4","SP",3545605,"2021",0,0,37.37,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","SP-3545605-FC224EA067B740748563093314CEEB53","SP",3545605,"2021",0,1.63,114.3,31.95,0,1.42,0,0,0,0.45,0,0,2.95,0,0,0,0,0
"44","SP-3546504-17316620B58E4D9A804E41102F4433F8","SP",3546504,"2021",2.17,0.52,0.03,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","SP-3546504-6EB6A453EEE24B7985BC522A0F0E5263","SP",3546504,"2021",0,0,29.85,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","SP-3546504-B94FB8D88D6B49C994D16BAB866E6567","SP",3546504,"2021",1.23,0,0.1,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","SP-3546504-FFEDB04F349B452AAED6CDB1F18A0AD3","SP",3546504,"2021",0,0,19.44,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","SP-3547502-55E0E2928C6042439DD9F30820431BAA","SP",3547502,"2021",0.63,0.36,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","SP-3552601-C14D91A2A6E546A89928041173C30A01","SP",3552601,"2021",5.57,0.11,0,2.4,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0
"50","SP-3552700-E4D0C8F26C234432A308F245268B367B","SP",3552700,"2021",2.39,1.09,0.11,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","SP-3553203-7758C310E68943F68BFF6E34A3CC369B","SP",3553203,"2021",0.31,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","SP-3553203-D7550D3273A445459C0CA1CC9F01DC82","SP",3553203,"2021",21.64,4.42,0.74,14.55,0,1.35,0,0,0,0.41,0,0,0,0.17,0,0,0,0
"53","SP-3553203-E702888E159D45FDB83877FF261E2B77","SP",3553203,"2021",10.32,9.53,0.5,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","SP-3553401-37712E2C1B0E40B898C3E8FD406A0C5B","SP",3553401,"2021",27.33,20.56,0,4.89,0,1.29,0,0,0,0.58,0,0,0,0,0,0,0,0
"55","SP-3553401-B6EFB97DDA6649898BC55B296A3CB982","SP",3553401,"2021",146.56,58.87,7.6,73.05,0,4.98,0,0,0,2.06,0,0,0,0,0,0,0,0
"56","SP-3553401-C2F5B34A04294D2D8E414980BC2B2888","SP",3553401,"2021",87.79,49.51,0.5,12.18,0,23.74,0,0,0,1.86,0,0,0,0,0,0,0,0
"57","SP-3553708-0363D6D4AE3A4CF5834FC4B14EB2FD19","SP",3553708,"2021",0.43,0.14,0,0.07,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0
"58","SP-3553708-03B5C2A8CCD847408C3652DFC08FBE62","SP",3553708,"2021",2.43,1.74,0.29,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","SP-3553708-062438BB75E243F88F13F8CD61F84035","SP",3553708,"2021",2.81,0.64,0.07,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","SP-3553708-072CF0C8240D4A7994DF49E41713C12B","SP",3553708,"2021",3.03,3.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","SP-3553708-07B0F70D204C4F5CAF94D3D3A65B80DC","SP",3553708,"2021",0,0,7.85,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","SP-3553708-0858FA9FDFB0409EA92DDE3863FA14D1","SP",3553708,"2021",9.73,7.57,0.39,1.31,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0
"63","SP-3553708-08989150066A43F0A2B153E45E9CB678","SP",3553708,"2021",0,2.33,12.82,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","SP-3553708-08F4112E61274728B7E28D4DD2C492B7","SP",3553708,"2021",21.44,16.49,0.65,2.12,0,1.9,0,0,0,0,0,0,0.27,0,0,0,0,0
"65","SP-3553708-091EAB10770A48328E6C7B9AA8156DF2","SP",3553708,"2021",4.53,0,0.07,1.34,0,2.7,0,0,0,0,0,0,0.42,0,0,0,0,0
"66","SP-3553708-0A9DF8059DA24D809F05F551C8381534","SP",3553708,"2021",0,2.62,10.74,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","SP-3553708-0B8611F8492B4FBE9F4919FD2B4CCCFB","SP",3553708,"2021",10.07,4.72,0.74,4.5,0,0.11,0,0,0,0,0,0,0,0.01,0,0,0,0
"68","SP-3553708-0CD642AFEAB8483FA6531F2D4F185ED8","SP",3553708,"2021",36.68,29.88,0.74,4.33,0,1.41,0,0,0,0,0,0,0.32,0,0,0,0,0
"69","SP-3553708-0D4F4186682E4B17BB2F3FFFDF818E8D","SP",3553708,"2021",0,0.72,17.6,17.14,0,0,9.34,0,0,0,0.25,0,0,0,0,0,0,0
"70","SP-3553708-144DADAAEE994AFA80B69844A8BA9D76","SP",3553708,"2021",0,0,6.58,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","SP-3553708-1FF6E8317DC84083AB0B4FADBF078A89","SP",3553708,"2021",2.9,0.71,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","SP-3553708-2363162A99F549EB95F8BDA41D6C4C41","SP",3553708,"2021",5.87,2.51,0.41,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","SP-3553708-26DB381602EF46B78D04BDCED4CCF582","SP",3553708,"2021",0,0,43.2,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","SP-3553708-27B4910CA6074CA387637A8086A4B195","SP",3553708,"2021",0,0,36.24,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","SP-3553708-2847AE9800F147A58CC6658A2275C5A5","SP",3553708,"2021",0.03,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","SP-3553708-303FC9048EC44024BAF59200A6A2AA07","SP",3553708,"2021",7.63,3.3,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","SP-3553708-3231B91193B3460C979D63AF8CABCC5A","SP",3553708,"2021",5.57,4.98,0.02,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","SP-3553708-3A1DE70ECFE64191B6D4A8D8C9026536","SP",3553708,"2021",0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","SP-3553708-3CB6F6CB2CC74B658B8220A88406C647","SP",3553708,"2021",3.67,0.61,0,1.55,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0
"80","SP-3553708-3F8DFC2C49614B768D2A3D8021299A0C","SP",3553708,"2021",0.32,0.14,0,0.05,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0
"81","SP-3553708-4389915C37424AF6A21D3FBF1B6D2D40","SP",3553708,"2021",0,0,43.99,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","SP-3553708-46CEAA409E334438AF72207E838E8D6E","SP",3553708,"2021",0.04,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
