"","fcar","uf","munic","year","camada_area_hec","Formacao Florestal","Cana-de-Acucar","Mosaico de Agricultura e Pastagem","Formacao Savanica","Campo Alagado e Area Pantanosa","Soja","Café","Citrus","Pastagem","Area Urbanizada","Silvicultura","Outras Lavouras Temporarias","Rio, Lago e Oceano","Outras Lavouras Perenes","Outras Areas nao Vegetadas","Fomacao Campestre","Afloramento"
"151","TO-1712504-BA4B20453B724A6CB140709E4C6EC872","TO",1712504,"2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","GO-5203500-5FD270C3D0964A1687EE9229900C5B32","GO",5203500,"2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153","MG-3111101-37DDE24C831A4ECAB7F1B42EFB304E64","MG",3111101,"2021",88.64,21.98,0,20.39,24.9,5.07,0,0,0,16.2,0,0,0,0,0,0.1,0,0
"154","MG-3127008-19E5ECA12A5F4A63A79E9F3BB0A174AC","MG",3127008,"2021",65.42,32.65,0.92,24.27,0,6.64,0.05,0,0,0.9,0,0,0,0,0,0,0,0
"155","MG-3127008-27159D2D7D6B4CC4908FD9474BD226CC","MG",3127008,"2021",2.72,0.92,0,1.32,0,0.15,0,0,0,0.33,0,0,0,0,0,0,0,0
"156","MG-3127008-5792C74FEADF4235ABCFC4F5FFAC56CC","MG",3127008,"2021",21.49,0,0.14,7.14,0,13.44,0,0,0,0.78,0,0,0,0,0,0,0,0
"157","MG-3127008-869F6ED85DC44EBBB187EA2F57A29293","MG",3127008,"2021",1.8,0,0.99,0.8,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
"158","MG-3127008-FB0EDE3FF1E043CE8AC4A52A330C901D","MG",3127008,"2021",7.17,2.91,0,0.1,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0
"159","MG-3127107-023C43B1C60F4527A0FC38D94AA999C6","MG",3127107,"2021",1.29,0.61,0,0.15,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0
"160","MG-3127107-039D91EAE0BD4C4BAEB19F0EC7940BB3","MG",3127107,"2021",9.31,4.37,0.03,2.79,2.03,0,0,0,0,0.09,0,0,0,0,0,0,0,0
"161","MG-3127107-1DDFCE8C3B584A109AC6CDB0B9B19168","MG",3127107,"2021",18.75,8.2,0.2,5.77,0,3.91,0,0,0,0.66,0,0,0,0,0,0,0,0
"162","MG-3127107-2C161535668C438EA44802670930F54C","MG",3127107,"2021",0,1.89,59.65,5.8,0,1.43,2.4,0,0,1.15,0,0,0,0,0,0,0,0
"163","MG-3127107-35CA20ACBAEE40C0918655CA7A462B92","MG",3127107,"2021",26.4,3.45,11.35,1.34,0,1.24,0,0,0,9.03,0,0,0,0,0,0,0,0
"164","MG-3127107-37B970FC7DA544639AB9B6BBD6EC91AC","MG",3127107,"2021",1.26,0,0.06,0.68,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0
"165","MG-3127107-394138E76EE14B01BD7D04F557F2448A","MG",3127107,"2021",14.87,6.98,0.11,3.23,0,4.12,0,0,0,0.43,0,0,0,0,0,0,0,0
"166","MG-3127107-3AEB7E1F8142413A9E106835194667E3","MG",3127107,"2021",90.62,45.88,0.49,17.62,0,0,0.01,0,0,26.6,0,0,0,0,0,0.02,0,0
"167","MG-3127107-637632409F504878BFC7006FA10BA77C","MG",3127107,"2021",1.67,0.67,0.11,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","MG-3127107-80D89C140EA64915B686ED6E6B145CC4","MG",3127107,"2021",0.51,0.1,0,0.33,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
"169","MG-3127107-9440F00DE058412093DBC1B6DB89036E","MG",3127107,"2021",34.82,8.31,1.81,13.58,0,10.98,0.14,0,0,0,0,0,0,0,0,0,0,0
"170","MG-3127107-990FD886189249C39FA4DA0ECF3BB684","MG",3127107,"2021",4.76,3.33,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","MG-3127107-B6DB231AFFF4456E97DF8A6D3432909A","MG",3127107,"2021",0.13,0,0.03,0.04,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0
"172","MG-3127107-DAE29DFF6AF4457B9077CABF09235C3E","MG",3127107,"2021",2.81,1.55,0.06,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173","MG-3127107-E2E767958AB34C46B53CDBF3DBEA02D3","MG",3127107,"2021",44.66,12.73,3.68,12.09,0,11.27,0,0,0,4.21,0,0,0,0.67,0,0,0,0
"174","MG-3127107-ECB798451542454B9945B283FD4AA76D","MG",3127107,"2021",78.55,4.04,31.91,15.34,0,11.06,14.96,0,0,1.23,0,0,0,0,0,0,0,0
"175","MG-3127107-FD4C40906A624CB7935880585B101775","MG",3127107,"2021",3.75,2.51,0.1,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176","MG-3129103-8C639A2EDE0D4B96B4022FB0CCD7AB69","MG",3129103,"2021",37.26,2.8,0,12.27,4.92,11.34,0,0,0,5.83,0,0,0,0.1,0,0,0,0
"177","MG-3132909-A80E8FBCD20F4606B99AF4CE0C4C5377","MG",3132909,"2021",1.74,1.21,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","MG-3133402-218B4C0ED8374D86BC99F675F98739B6","MG",3133402,"2021",124.45,94.59,0.72,11.16,7.1,10.83,0,0,0,0.04,0,0,0,0,0,0,0,0
"179","MG-3133402-4AE73362BD4A4D7EBCCBC18696D7A50A","MG",3133402,"2021",54.17,19.34,0,10.15,8.95,10.08,0,0,0,5.66,0,0,0,0,0,0,0,0
"180","MG-3133402-9D27D72BBE794B3B99EA4791A487744C","MG",3133402,"2021",25.35,20.07,0,3.72,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0
"181","MG-3133402-A7BACB394ED7406F8112E31BFFD8F94F","MG",3133402,"2021",113.12,69.91,0,19.6,0,2.93,0,0,0,20.69,0,0,0,0,0,0,0,0
"182","MG-3133402-E4FA1EE74E9647E68D6ED7D7C9679F5C","MG",3133402,"2021",25.16,18.06,0,6.08,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0
"183","MG-3134202-97522C552B144E5E98B604F8C656DCB3","MG",3134202,"2021",13.68,11.09,0,1.1,1.24,0,0,0,0,0.24,0,0,0,0,0,0,0,0
"184","MG-3134202-D739BEDB3C2D4750A08C8D0F72CD35ED","MG",3134202,"2021",21.06,0,0.03,4.78,0,0.76,0,0,0,15.49,0,0,0,0,0,0,0,0
"185","MG-3134202-FAB2505E01994ED684E984E35D7C51A4","MG",3134202,"2021",29.37,9.16,0,12.96,4.82,2.44,0,0,0,0,0,0,0,0,0,0,0,0
"186","MG-3134400-69B42D8CB67B45E9B4823C5ECA828662","MG",3134400,"2021",113.08,15.95,0.15,21.1,11.42,37.62,0,0,0,26.79,0,0,0,0,0,0,0.05,0
"187","MG-3134400-A60B4300EC284D4CB1996F82616ACB95","MG",3134400,"2021",25.51,1.24,0.53,7.6,0,1.31,0,0,0,14.82,0,0,0,0,0,0,0,0
"188","MG-3134400-E8C6AD63D2DE4131841BDA48263B236F","MG",3134400,"2021",67.96,0.48,0.18,3.75,0,0,0,0,0,63.54,0,0,0,0,0,0,0,0
"189","MG-3138625-14CF79F3BE354C9F87D3E5D9F35D377C","MG",3138625,"2021",6.88,0,0.36,5.91,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0
"190","MG-3138625-435A0E7834F44F1FA85C0A100E360916","MG",3138625,"2021",0,1.99,51.87,91.43,0,1,0,0,0,9.97,0,0,20.75,0,0,0,0,0
"191","MG-3138625-C8C4F0706BF545468EB8FFC67E5D6D07","MG",3138625,"2021",57.65,22.94,0.49,9.5,20.64,0,0,0,0,4.07,0,0,0,0,0,0,0,0
"192","MG-3138625-CC66CFD271BD46E5BCFB3210DCE80691","MG",3138625,"2021",0.18,0,0.08,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"193","MG-3138625-D0FBDC75DB9A434C8D3D451A725B08F5","MG",3138625,"2021",36.1,1.65,0,15.98,0.54,9.67,0,0,0,5.86,0,0,0,0.75,0,0,1.65,0
"194","MG-3138625-E29D421543904F418837B39DDC1237C1","MG",3138625,"2021",42.58,19.95,1,3.37,0,0,0,0,0,18.26,0,0,0,0,0,0,0,0
"195","MG-3138625-EB87A49230484B798FF484B1FF6A4200","MG",3138625,"2021",42.49,0.17,3.2,11.16,3.15,2.04,0,0,0,22.77,0,0,0,0,0,0,0,0
"196","MG-3138625-ED438DEC29B9481C8CFD5E198F7B0A2A","MG",3138625,"2021",9.01,0.01,0,3.49,0,2.32,0,0,0,3.2,0,0,0,0,0,0,0,0
"197","MG-3138625-F57C6628922A4F53ABA3EB292E20A6D7","MG",3138625,"2021",24.36,10.79,0.72,2.37,0,3.4,0,0,0,7.08,0,0,0,0,0,0,0,0
"198","MG-3143203-CB84F26CBF38488E9B9EA4C591B09BE6","MG",3143203,"2021",1.73,0.72,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199","MG-3161304-F85468E766154525A8453EF6D9FE3780","MG",3161304,"2021",0.55,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0
"200","MG-3165107-35FB087C3923403981C4533DCC43CCBB","MG",3165107,"2021",32.95,13.18,0,19.09,0,0,0,0.15,0,0.52,0,0,0,0.02,0,0,0,0
"201","MG-3165107-51BFE4A5B7DE4B3F8ECD879B713D209A","MG",3165107,"2021",63.99,35.6,0.56,26.2,0,0,0.01,0,0,1.62,0,0,0,0,0,0,0,0
"202","MG-3165107-76C7008B328042309A89F26F789DD095","MG",3165107,"2021",152.72,76.7,0.17,63.65,0,0,0.12,0.13,1.7,8.73,0,0,0,0,0,0,1.51,0
"203","MS-5002902-F408AABD6F3F4837B1E38BEB0634A1CC","MS",5002902,"2021",244.29,113.84,0,46.19,1.95,53.54,0,0,0,28.77,0,0,0,0,0,0,0,0
"204","MS-5005707-F14A9238D7F640DDA8BA7FDBFF61FFFB","MS",5005707,"2021",734.29,52.54,0,86.42,0,283.02,62.63,0,0,224.92,0,4.21,17.7,2.85,0,0,0,0
"205","MS-5007406-8D3BA34EACF94CCCB7284963B1FE1A26","MS",5007406,"2021",467.32,247.84,0,83.05,80.2,0.13,0,0,0,55.49,0,0,0,0,0,0.15,0,0.46
"206","SP-3501004-45596C4A82BB4DFE94A697AAD843B319","SP",3501004,"2021",1.73,1.54,0.11,0.05,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0
"207","SP-3501004-F18C5AE153D84462A4784E0C0555EC83","SP",3501004,"2021",27.68,26.93,0,0.55,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
"208","SP-3501707-B2ED87DB14844743B722F929E4CEA2E7","SP",3501707,"2021",114.36,36.71,3.76,68.31,0,5.59,0,0,0,0,0,0,0,0,0,0,0,0
"209","SP-3503208-1C0244E0088B4284B9F0FBCB36128AF7","SP",3503208,"2021",10.97,0,9.6,0.93,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0
"210","SP-3503208-287FBE5BAAD44905B7DCBBFBBDFE04C7","SP",3503208,"2021",0.44,0.29,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211","SP-3503208-3DFC0A34B4F8483AAE28367E2FECDA63","SP",3503208,"2021",18.32,0.45,4,5.81,0,7.95,0,0,0,0,0,0,0,0.1,0,0,0,0
"212","SP-3503208-465915E18C4940B4842D2476CA3E6E49","SP",3503208,"2021",5.32,4.3,0.35,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213","SP-3503208-6484191647DD4DD4ADC439A286968CF6","SP",3503208,"2021",1.44,0,0,0.4,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0
"214","SP-3503208-882E576E5E32403BB5925FCCFD66E04A","SP",3503208,"2021",0.03,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215","SP-3503208-A287FFAF8AB2407C89A3BF512820FD30","SP",3503208,"2021",0,0,23.13,5.18,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0
"216","SP-3503208-C75616B7833E4963B2FE16DC4AE895EA","SP",3503208,"2021",17.17,5.64,0.46,7.8,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0
"217","SP-3505500-086D12B4474F4D0C90B881E850AD68A8","SP",3505500,"2021",9.98,2.37,1.01,5.96,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0
"218","SP-3505500-EFAAA115048748AF96F3DA7516D8CBCB","SP",3505500,"2021",6.8,3.19,0,3.21,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0
"219","SP-3505609-7A1BD2D0BCC648AFACDFE6419EEB8BA2","SP",3505609,"2021",0,0,92.97,0,0,0,0,0,0,0,0,0,0.11,0,0,0.77,0,0
"220","SP-3505609-DBB12C3C0B98414C9B581A1C1C19CA3B","SP",3505609,"2021",0.05,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221","SP-3505609-E1A757307CC44C67AB8BAEC0ACFA5A18","SP",3505609,"2021",0,0,73.52,0.31,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0
"222","SP-3505906-128E94E0246E4C759C90B5E8A60D054E","SP",3505906,"2021",0.38,0.29,0.05,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223","SP-3505906-3498352E07994602901825B26F8E8B25","SP",3505906,"2021",1.27,1.17,0.05,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0
"224","SP-3505906-63FB67437A734824B70D2A418CA4D7B1","SP",3505906,"2021",299.79,195.19,10.74,78.67,0,13.05,0.26,0,0,0.59,0,0,0.04,0,1.26,0,0,0
"225","SP-3505906-A3CDA7D9C4D747B693FF043A3280ABEC","SP",3505906,"2021",28.37,24.83,0.04,3.2,0,0.27,0.04,0,0,0,0,0,0,0,0,0,0,0
"226","SP-3507407-90EFE642E1824570B088C1F4A437EE1B","SP",3507407,"2021",0.08,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227","SP-3507803-AB779C70D0AF4B859B99D939D8BD9BB1","SP",3507803,"2021",1.61,0.8,0,0.79,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
"228","SP-3508801-049A424D41F04F768A49B506B02FC12E","SP",3508801,"2021",0,0.87,0,52.77,0,2.88,0,0,0,84.15,0,0,0,0,0,0,0,0
"229","SP-3510104-377F8CE220344ABE88BD975B99D6F38E","SP",3510104,"2021",8.59,1.94,0.5,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"230","SP-3510104-58C10946E75340A198B0001616D4A5C3","SP",3510104,"2021",1.63,0.05,0,0.23,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0
"231","SP-3510104-77729E533B1C404C887B08A33DC16D13","SP",3510104,"2021",6.18,2.9,1.06,2.07,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0
"232","SP-3510104-97658C75E54F4A0EBE94AE67BE3B5AE6","SP",3510104,"2021",0,4.76,0,11.68,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
"233","SP-3510104-C35096844F584BC6BF5A7512A2B5E11E","SP",3510104,"2021",0.62,0.24,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"234","SP-3510708-10E4AD3602954083867326F1AF2D0D35","SP",3510708,"2021",0.34,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"235","SP-3510708-5FA2AF2250644624A5FA6C6C30B6421E","SP",3510708,"2021",1.51,0.69,0.01,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"236","SP-3510708-A66BA107230C493ABBE444F74CC29DC7","SP",3510708,"2021",29.12,8.65,0.07,10.66,0,9.38,0,0,0,0.13,0,0,0,0.23,0,0,0,0
"237","SP-3512001-ABCFB04321324D3694045123B5C36FA4","SP",3512001,"2021",4.07,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238","SP-3512001-B40CA7237D864DDD91ACC81F01EE4046","SP",3512001,"2021",0,0,98.69,2.72,0,0,13.27,0,0,0,0.39,0,0,0,0,0.02,0,0
"239","SP-3512001-F45998EAA14042DDA440DC271FF228BC","SP",3512001,"2021",10.15,0.02,0.59,8.04,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0
"240","SP-3512100-CFDC6404FFAB4537963993A6962C85E7","SP",3512100,"2021",0,0,46.24,1.08,0,0,20.36,0,0,0,0,0,0.17,0,0,0,0,0
"241","SP-3514007-222BE91BF079476580F2250AAE1F3BB0","SP",3514007,"2021",0.88,0.03,0.42,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242","SP-3514007-41B07093F1B94DB7A3380A20C37647B1","SP",3514007,"2021",1.53,0.82,0.01,0.66,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0
"243","SP-3514007-6014F79CEECF4152A70B4A9F3D0D7B04","SP",3514007,"2021",4.23,1.93,0.52,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244","SP-3514007-ADAAE1A8E57B468F9A4427ACB2D3C05B","SP",3514007,"2021",0.88,0,0.12,0.68,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0
"245","SP-3514007-B66C8FCCCC7E4493A5B40502B6BEC627","SP",3514007,"2021",53.81,23.2,3,25.02,0,2.5,0,0,0,0.09,0,0,0,0,0,0,0,0
"246","SP-3514007-D09EB46840C24FC9B12F5C39C495707C","SP",3514007,"2021",23.55,14.69,1.88,6.04,0,0.67,0,0,0,0,0,0,0.28,0,0,0,0,0
"247","SP-3514007-E7EEB585005C488F838C46F48896EA36","SP",3514007,"2021",5.26,1.52,1.04,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"248","SP-3514601-11A7677D96A843A9847710F011126CE0","SP",3514601,"2021",0.48,0.31,0.01,0.01,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0
"249","SP-3514601-28EB3D2FF85940FEAD2B28FEE6F9F9C9","SP",3514601,"2021",0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250","SP-3514601-3C881044EABE4F209A7052691E20E71B","SP",3514601,"2021",0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"251","SP-3514601-50F1E7D07C8A47EEA0224061C7C75633","SP",3514601,"2021",2.86,1.12,0.16,0.28,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0
"252","SP-3514601-65960BB5254E4C489F5BCCC097215BDF","SP",3514601,"2021",25.95,6.51,8.23,10.6,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0
"253","SP-3515509-C7C684841DAF47F99CA5F2581F1B7686","SP",3515509,"2021",0,0,0,1.14,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0
"254","SP-3516705-D172E84823AC41D7935E90B9C2399E71","SP",3516705,"2021",22.16,6.54,0,3.31,0,0.12,0,0,0,12.19,0,0,0,0,0,0,0,0
"255","SP-3516903-46B9F7F777814136AB9E934BE01CA954","SP",3516903,"2021",8.34,5.3,0,2.82,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0
"256","SP-3516903-E553F74759184A408C25C1C44579A069","SP",3516903,"2021",24.34,12.83,0.18,7.95,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0
"257","SP-3516903-FA93C63E78DE451DB306ECF3A96097EE","SP",3516903,"2021",40.05,18.87,0.05,9.84,0,1.61,0,0,0,9.68,0,0,0,0,0,0,0,0
"258","SP-3517307-CC37671B36FE4C1EBC503B710CFB5E24","SP",3517307,"2021",254.16,104.4,0,48.55,0,17.04,0,0,74.42,4.85,0,0,1.47,0.18,3.24,0,0,0
"259","SP-3518602-06C22ADABA4C42D9A7D0E3130F943869","SP",3518602,"2021",48.06,21.34,2.87,21.31,0,1.97,0.01,0,0,0,0,0,0.5,0.06,0,0,0,0
"260","SP-3518602-0CC4119656A942638E45063A331FAB12","SP",3518602,"2021",2.2,1.56,0,0.51,0,0.1,0.02,0,0,0.01,0,0,0,0,0,0,0,0
"261","SP-3518602-13E023457C2F457399F52D079765D755","SP",3518602,"2021",0,0,13.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"262","SP-3518602-185E28DE21774F5D8C4F3C06A85D662F","SP",3518602,"2021",1.1,0.97,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"263","SP-3518602-57FFF6E3A38B47B3979ED422D9637683","SP",3518602,"2021",7.6,0.23,0.57,1.88,0,4.86,0,0,0,0,0,0,0.05,0,0,0,0,0
"264","SP-3518602-748DAA41686A4614B52CDBC091FC1C00","SP",3518602,"2021",14.19,8.83,0.4,4.06,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0
"265","SP-3518602-81734FC125D7481A88B862DF1D04DE15","SP",3518602,"2021",65.71,25.97,0.88,5.23,0.24,33,0,0,0,0,0,0,0,0.38,0,0,0,0
"266","SP-3518602-86BC2C7EFEF146E29C8674243E2C4D9A","SP",3518602,"2021",33.67,17.05,2.74,13.84,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0
"267","SP-3518602-8B3A6161519A44FEA5303BA48F4D1A7B","SP",3518602,"2021",0.3,0,0,0.12,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0
"268","SP-3518602-A6B30ADC4EE04E9EAA0925E2AA6DE956","SP",3518602,"2021",31.38,17.66,0.72,10.78,0,1.44,0.01,0,0,0,0,0,0.77,0,0,0,0,0
"269","SP-3518602-B2BFA7CDA05E48F7A1DF16D619FBAB6E","SP",3518602,"2021",0.56,0.51,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"270","SP-3518602-B5EAD3959D3B4FD18C7171A20CC2F4C8","SP",3518602,"2021",4.79,2.9,0.13,1.61,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
"271","SP-3518602-F476144FD55E4A22B9A170593786DC8F","SP",3518602,"2021",12.28,6.56,0.16,4.98,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0
"272","SP-3518859-05F456F5BD38465882CB19787169FB6E","SP",3518859,"2021",0,0,4.8,0.59,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0
"273","SP-3518859-123CD3E71ECC4BAF8A2E27738F887E9F","SP",3518859,"2021",0.54,0.37,0.06,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"274","SP-3518859-1DDF17CEADEE4E7F8153DCAC390A35B3","SP",3518859,"2021",2.97,2.36,0.1,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"275","SP-3518859-216C7B066099483CB2FAD17A367CEAA7","SP",3518859,"2021",0,0,32.18,0.17,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0
"276","SP-3518859-2CC0655497324CDBAAF3DFC4A8FD3C84","SP",3518859,"2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"277","SP-3518859-39DAF5C2AED9479F966E93B09D49137F","SP",3518859,"2021",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"278","SP-3518859-40FA7CD0173340A1BB2183E96B33BA8C","SP",3518859,"2021",86.75,60.15,2.46,1.3,0,21.78,0,0,0,0,0,0,1.06,0,0,0,0,0
"279","SP-3518859-487DC9F0B62A4E3AA04962A5C6255E58","SP",3518859,"2021",0.32,0,0,0.18,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
"280","SP-3518859-4DC2AB2E064745429BF150545D603929","SP",3518859,"2021",0,0,20.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"281","SP-3518859-515A2A8DA1594C9FA3D1301F604E2180","SP",3518859,"2021",0,0,5.01,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"282","SP-3518859-63240DD62B4340F59C1CA01E56BBD34B","SP",3518859,"2021",0,0.05,20.66,3.21,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0
"283","SP-3518859-79F3C0F51F2949C18F45E39C95F6647F","SP",3518859,"2021",0,0,57.58,36.9,0,0,0,0,0,10.98,0,0,0,0,0,0,0,0
"284","SP-3518859-7D381DCC6F3449F7800FDD96E8234550","SP",3518859,"2021",0,0,32.09,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"285","SP-3518859-7E2BE5944F304374A861244B20698E2D","SP",3518859,"2021",0,0,0,9.77,0,0,4.62,0,0,0,0,0,0,0,0,3.22,0,0
"286","SP-3518859-8A96EC4CE17842399A112E8FCEFBB6E8","SP",3518859,"2021",0,0,0.12,0.68,0,0,0.08,0,0,0,0,0,8.05,0,0,0.07,0,0
"287","SP-3518859-904F22DAB9734AA98635CDEB837323B3","SP",3518859,"2021",0.89,0,0.01,0.43,0,0.03,0,0,0,0,0,0,0.42,0,0,0,0,0
"288","SP-3518859-95CAD07E72B6475DB4D024D9E43A084F","SP",3518859,"2021",0,1.25,10.36,4.19,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0
"289","SP-3518859-A6AC5ABFAD71447FB13B415EEF6CDF9E","SP",3518859,"2021",0,0,5.91,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"290","SP-3518859-AA397B5B63984F61A7DB27D65A3450B3","SP",3518859,"2021",0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"291","SP-3518859-B00060CF482549A38CEBDCE155BFCFC5","SP",3518859,"2021",0,0,16.04,0.62,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0
"292","SP-3518859-BA4B12F49A9F4789BE188A9C4C606E29","SP",3518859,"2021",0,0,32.2,0.93,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
"293","SP-3518859-C30CA2E8307149A7AC958FD8EE95DA3C","SP",3518859,"2021",0,0,8.36,9.63,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
"294","SP-3518859-D24271E6B4814C5F81B49C7DF61ADFFE","SP",3518859,"2021",0,0,6.6,1.33,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0
"295","SP-3518859-D91087634F12449E86217CD11A2E76D1","SP",3518859,"2021",0,0,10.91,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"296","SP-3518859-DF058D4DC816422BB4C136AA5F0D7220","SP",3518859,"2021",0,0,24.48,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"297","SP-3518859-F1BF40C87ABF4C1AAC8668620BF8F989","SP",3518859,"2021",0,0,11.99,0.12,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0
"298","SP-3518859-F2133028186248B882576FF21A649C22","SP",3518859,"2021",0,0,11.89,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"299","SP-3518859-F768F62373EA4D16AFF0139B86CDECDD","SP",3518859,"2021",0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300","SP-3519600-35F8AEF4485A45ED8BA6472ACEB7948C","SP",3519600,"2021",7.34,5.9,0.18,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"301","SP-3519600-CD6CD35D57494FB49DA451124DE88B0C","SP",3519600,"2021",0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"302","SP-3521507-DD88BC93CC7D40E29BFD85C8B3086F3E","SP",3521507,"2021",1.37,0.74,0.14,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"303","SP-3521903-76C1E7D3340547CBA5822B0C071BA51E","SP",3521903,"2021",43.17,4.19,3.24,29.93,0,5.82,0,0,0,0,0,0,0,0,0,0,0,0
"304","SP-3521903-B5C1D5D919494A468180C84FE4B26CC7","SP",3521903,"2021",25.2,5.96,4.09,12.19,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0
"305","SP-3521903-BA9A0D49AD1E4F8E90188416817A5DC2","SP",3521903,"2021",29.09,23.84,0.16,4.44,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0
