"","fcar","uf","munic","year","camada_area_hec","Formacao Florestal","Formacao Savanica","Cana-de-Acucar","Mosaico de Agricultura e Pastagem","Campo Alagado e Area Pantanosa","Soja","Café","Citrus","Pastagem","Area Urbanizada","Silvicultura","Outras Lavouras Temporarias","Rio, Lago e Oceano","Fomacao Campestre","Outras Lavouras Perenes","Outras Areas nao Vegetadas","Afloramento"
"17","SP-3538907-8008D3921DFB41CFB9B89479B9A774D8","SP",3538907,"2020",0.13,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","SP-3539608-1AE0BF2C83E34158B5C09EA38C1DFF3D","SP",3539608,"2020",36.89,12.76,0,0.71,14.61,5.95,0,0,0,0.84,0,0,0,1.63,0,0,0,0
"19","SP-3540309-455A2263AE1B4CEDBF18C9A8EF56FD37","SP",3540309,"2020",49.58,1.78,0,2.88,30.58,12.69,0,0,0,0.5,0,0,0.41,0.75,0,0,0,0
"20","SP-3540309-663984AC1E8A4B0F817BC2599BBF2DA4","SP",3540309,"2020",1.83,0,0,0.09,1.59,0,0,0,0,0.15,0,0,0,0,0,0,0,0
"21","SP-3540903-262EC6A45FFB45A8B306D5BB26DCAB02","SP",3540903,"2020",3.59,1.56,0,0.22,0.39,1.42,0,0,0,0,0,0,0,0,0,0,0,0
"22","SP-3540903-73F249DF772D472EA6E4054C889E3C37","SP",3540903,"2020",0.98,0,0,0.12,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","SP-3540903-79CFF2423DFE491AADDFEBEBD58C253F","SP",3540903,"2020",0.59,0.35,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","SP-3540903-8E5E9C97601D4B569130EEC00F292D1E","SP",3540903,"2020",0,0.07,0,25.62,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","SP-3540903-B11929B3E6EA4E9696D1E205DB6984F0","SP",3540903,"2020",5.2,4.05,0,0.29,0,0.72,0,0,0,0,0,0,0.14,0,0,0,0,0
"26","SP-3540903-E33502A05729445AB39A789964C1ABA2","SP",3540903,"2020",0,0,0,18.44,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","SP-3543402-1DA8730846C74686A4AB4FFFEDF102CA","SP",3543402,"2020",0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","SP-3543402-1F1F7808BB7942A7AC24E42F391C7A50","SP",3543402,"2020",60.48,41.9,0,2.02,7.04,9.42,0,0,0,0,0,0,0.1,0,0,0,0,0
"29","SP-3543402-42E69DAFD66A48F2A2C94EF340E96EAD","SP",3543402,"2020",15.09,3.92,0,0.26,1.67,8.74,0,0,0,0,0,0,0.51,0,0,0,0,0
"30","SP-3543402-4B9B41D5E4C44F83BCC3BF1C40A0AD09","SP",3543402,"2020",2.97,1.04,0,0.03,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","SP-3543402-684F1290C16E47FD88B387C429B2804F","SP",3543402,"2020",174.98,128.82,0,2.96,42.5,0,0,0,0,0.16,0.14,0,0.41,0,0,0,0,0
"32","SP-3543402-EF060FEE30C44FDB89DE102EA19D6E60","SP",3543402,"2020",77.78,72.18,0,1.19,2.61,0.63,0,0,0,0,0,0,1.17,0,0,0,0,0
"33","SP-3543402-FB219CA4F6AA4588AF2B80E948058DBC","SP",3543402,"2020",34.59,27.72,0,0.97,5.23,0.12,0,0,0,0,0,0,0.55,0,0,0,0,0
"34","SP-3543709-3441624B211E459D97BC7E1C7FF2C66D","SP",3543709,"2020",27.13,8.29,0,0.2,5.55,13.09,0,0,0,0,0,0,0,0,0,0,0,0
"35","SP-3543709-67FEDFB442A74EFDAFED739AA5492A54","SP",3543709,"2020",24.84,10.29,0,1.25,5.95,7.3,0,0,0,0,0,0,0,0.03,0,0,0,0
"36","SP-3543709-895E9A4CA7AA45F787AB51BFD227F7E4","SP",3543709,"2020",1130.92,203.1,3.23,11.87,166.96,735.76,0,0,0,4.9,0,0,0.02,4.01,0.67,0,0,0
"37","SP-3543709-F0021CE51CC64BE295FD0164556406B2","SP",3543709,"2020",0,0,0,78.43,4.8,0,0,0,0,0,0,0,0.17,0,0,0,0,0
"38","SP-3544202-1CC80758D5D14B37BA4FDB5607741084","SP",3544202,"2020",59.92,56.55,0,0,3.27,0.01,0,0,0.05,0.03,0,0,0.01,0,0,0,0,0
"39","SP-3544806-6B687EF4F1B84898BCDF0F4308F089C9","SP",3544806,"2020",371.2,361.13,0,0.23,5.95,0.22,0,0,0,1.65,0,0,0,0,0,2,0,0
"40","SP-3545605-31C240CD9EEA4DB795EAF79257D3A555","SP",3545605,"2020",1.84,1.45,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0
"41","SP-3545605-4B1327CD9F0048C8AF0EF7D758D0BF69","SP",3545605,"2020",12.17,5.58,0,3.95,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","SP-3545605-744C3D0EC2614782AF597E510CD204D4","SP",3545605,"2020",0,0,0,37.37,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","SP-3545605-FC224EA067B740748563093314CEEB53","SP",3545605,"2020",0,1.98,0,114.7,29.69,1.25,0,0,0,2.13,0,0,2.95,0,0,0,0,0
