"","fcar","uf","munic","year","farm_area_hec","Formacao Florestal","Formacao Savanica","Campo Alagado e Area Pantanosa","Pastagem","Mosaico de Agricultura e Pastagem","Outras Areas nao Vegetadas","Rio, Lago e Oceano","Cana-de-Acucar","Outras Lavouras Temporarias","Soja","Fomacao Campestre","Café","Citrus","Silvicultura","Area Urbanizada"
"149","SP-3536307-2E39329A9BFE4EDDB7C0DA4BE005B9F4","SP",3536307,"2012",73.27,28.67,0,0,0,0.95,0,0,43.65,0,0,0,0,0,0,0
"150","SP-3536307-38E1F2C15F2F44D3AEBFA47848DB8B76","SP",3536307,"2012",176.5,5.3,22.92,4.32,0,13.56,0,0,125.11,1.4,3.85,0,0,0,0.03,0
"151","SP-3536307-39C8340CEEE54519A353C1E4921B8A11","SP",3536307,"2012",147.84,21.4,0,0,3.68,50.54,0,0,48.96,8.04,15.16,0,0.07,0,0,0
"152","SP-3536307-8FA0CD7AF87243C2AD4A29EF1C780683","SP",3536307,"2012",38.91,0,0,0,0,0,0,0,38.91,0,0,0,0,0,0,0
"153","SP-3536307-A14D5F1196DC4FE89631A52006CE8D3A","SP",3536307,"2012",148.42,6.03,0,0,0,9.33,0,0,133.06,0,0,0,0,0,0,0
"154","SP-3536307-AA36A6369D48486EB1C65F08DFF7BEC0","SP",3536307,"2012",8.4,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0
"155","SP-3536307-AAED526D05264DA281EA7C8692482317","SP",3536307,"2012",118.68,0.16,0,0,0,6.92,0,0,110.93,0.67,0,0,0,0,0,0
"156","SP-3536307-D3EBF3FAC8564D139139231BDCBFA492","SP",3536307,"2012",32.27,6.5,0,0,0,3.73,0,0,22.03,0,0,0,0,0,0,0
"157","SP-3536307-E76342C0AB1F47D29C1AC5568BE76819","SP",3536307,"2012",179.86,8.9,0,0,0,20.32,0,0,129.25,2.43,18.97,0,0,0,0,0
"158","SP-3536307-F5CDFF4EC2FB43FEA76AA177E901AA60","SP",3536307,"2012",169.92,19.49,2.85,1.41,5.78,52.44,0,0.75,87.19,0.01,0,0,0,0,0,0
"159","SP-3538105-D4B13E2251B3446AA7B445237DF0CBCD","SP",3538105,"2012",219.02,7.16,0,5.28,0,17.13,0,0,187.83,1.62,0,0,0,0,0,0
"160","SP-3540309-455A2263AE1B4CEDBF18C9A8EF56FD37","SP",3540309,"2012",534.59,2.45,0,16.81,48.82,49.87,0,27.7,381.08,5.17,2.69,0,0,0,0,0
"161","SP-3540309-663984AC1E8A4B0F817BC2599BBF2DA4","SP",3540309,"2012",48.41,0,0,0.02,7.79,1.59,0,0.07,38.93,0,0,0,0,0,0,0
"162","SP-3540903-262EC6A45FFB45A8B306D5BB26DCAB02","SP",3540903,"2012",139.11,2.07,0,1.67,0,0.83,0,0,134.39,0.14,0,0,0,0,0,0
"163","SP-3540903-73F249DF772D472EA6E4054C889E3C37","SP",3540903,"2012",141.01,0,0,0,0,9.7,0,0.09,131.23,0,0,0,0,0,0,0
"164","SP-3540903-B11929B3E6EA4E9696D1E205DB6984F0","SP",3540903,"2012",180.82,4.11,0,0.96,0,0.86,0,0,174.89,0,0,0,0,0,0,0
"165","SP-3543402-1DA8730846C74686A4AB4FFFEDF102CA","SP",3543402,"2012",80.54,0.03,0,0,0,0.03,0,0,80.49,0,0,0,0,0,0,0
"166","SP-3543402-1F1F7808BB7942A7AC24E42F391C7A50","SP",3543402,"2012",478.33,39.51,0,10.99,0,29.38,0,0,397.27,1.18,0,0,0,0,0,0
"167","SP-3543402-42E69DAFD66A48F2A2C94EF340E96EAD","SP",3543402,"2012",119.24,4.34,0,10.17,0,1.66,0,0,102.01,1.06,0,0,0,0,0,0
"168","SP-3543402-4B9B41D5E4C44F83BCC3BF1C40A0AD09","SP",3543402,"2012",27.13,1,0,0,0,19.08,0,0,5.79,1.26,0,0,0,0,0,0
"169","SP-3543402-684F1290C16E47FD88B387C429B2804F","SP",3543402,"2012",532.15,129.53,0,0.09,3.89,88.42,0,0,309.56,0.17,0.5,0,0,0,0,0
"170","SP-3543402-EF060FEE30C44FDB89DE102EA19D6E60","SP",3543402,"2012",513.74,75.34,0,0.05,0,12.57,0,0,419.95,5.84,0,0,0,0,0,0
"171","SP-3543402-FB219CA4F6AA4588AF2B80E948058DBC","SP",3543402,"2012",175.08,32.48,0,0.45,0.42,24.37,0,0,116.6,0.77,0,0,0,0,0,0
"172","SP-3543709-67FEDFB442A74EFDAFED739AA5492A54","SP",3543709,"2012",828.78,11.54,0,8.45,0.01,35.86,0,1.02,750.65,6.58,14.66,0,0,0.01,0,0
"173","SP-3543709-895E9A4CA7AA45F787AB51BFD227F7E4","SP",3543709,"2012",5498.35,152.26,3.41,723.93,9.93,332.72,1.68,10.06,4258.89,2.62,2.58,0,0,0,0,0
"174","SP-3543709-F0021CE51CC64BE295FD0164556406B2","SP",3543709,"2012",83.4,0.13,0,0,0,3.6,0,0,79.66,0,0,0,0,0,0,0
"175","SP-3545605-31C240CD9EEA4DB795EAF79257D3A555","SP",3545605,"2012",109.41,2.44,0,0.43,0,4.43,0,0,102.1,0,0,0,0,0,0,0
"176","SP-3545605-4B1327CD9F0048C8AF0EF7D758D0BF69","SP",3545605,"2012",119.52,5.69,0,0,0,4.42,0,0,100.15,0,9.26,0,0,0,0,0
"177","SP-3545605-744C3D0EC2614782AF597E510CD204D4","SP",3545605,"2012",37.6,0,0,0,0,0.05,0,0,37.55,0,0,0,0,0,0,0
"178","SP-3553203-D7550D3273A445459C0CA1CC9F01DC82","SP",3553203,"2012",173.1,4.92,0,2.44,4.59,22.86,0,1.26,137.03,0,0,0,0,0,0,0
"179","SP-3553708-0858FA9FDFB0409EA92DDE3863FA14D1","SP",3553708,"2012",52.44,8.19,0,0.47,0,1.34,0,0,42.44,0,0,0,0,0,0,0
"180","SP-3553708-08F4112E61274728B7E28D4DD2C492B7","SP",3553708,"2012",148.88,13.7,0,1.58,0,12.62,0,0.03,119.36,1.58,0.02,0,0,0,0,0
"181","SP-3553708-091EAB10770A48328E6C7B9AA8156DF2","SP",3553708,"2012",30.34,0,0,2.56,0.1,3.99,0,0,23.7,0,0,0,0,0,0,0
"182","SP-3553708-0B8611F8492B4FBE9F4919FD2B4CCCFB","SP",3553708,"2012",113.32,5.04,0,0.16,0,6.43,0,0.11,101.59,0,0,0,0,0,0,0
"183","SP-3553708-0CD642AFEAB8483FA6531F2D4F185ED8","SP",3553708,"2012",230.59,32.2,0,2.35,0,35.96,0,0,160.09,0,0,0,0,0,0,0
"184","SP-3553708-26DB381602EF46B78D04BDCED4CCF582","SP",3553708,"2012",44.56,0,0,12,0,11.08,0,0,4.42,17.06,0,0,0,0,0,0
"185","SP-3553708-2847AE9800F147A58CC6658A2275C5A5","SP",3553708,"2012",133.13,21.7,0,0.64,0,21.05,0,0,89.61,0.13,0,0,0,0,0,0
"186","SP-3553708-3CB6F6CB2CC74B658B8220A88406C647","SP",3553708,"2012",30.69,3.36,0,2.35,0,18.81,0,0,6.17,0,0,0,0,0,0,0
"187","SP-3553708-4389915C37424AF6A21D3FBF1B6D2D40","SP",3553708,"2012",44.45,0,0,0,0,0.94,0,0,43.52,0,0,0,0,0,0,0
"188","SP-3553708-49A3269AAE35408995F4486D1409FA51","SP",3553708,"2012",31.71,0,0,0,0,2.68,0,0,29.03,0,0,0,0,0,0,0
"189","SP-3553708-5F2E87B8ABE847618C1AF8E982479ED6","SP",3553708,"2012",51.87,1.9,0,0,0,2.43,0,0,47.54,0,0,0,0,0,0,0
"190","SP-3553708-63B9D7B6A988411A8A8F3BA1744F0F60","SP",3553708,"2012",55.53,0,0,0.51,0,4.01,0,0,50.93,0.08,0,0,0,0,0,0
"191","SP-3553708-75EB43DF11594E7A96F4561A8FDDABB7","SP",3553708,"2012",281.97,25.48,0,3.07,0,44.41,0,0,209.01,0,0,0,0,0,0,0
"192","SP-3553708-8AD9E86E75D84315AE9FED048812FC8B","SP",3553708,"2012",27.37,8.06,0,5.84,0,10.55,0,0,0.75,2.17,0,0,0,0,0,0
"193","SP-3553708-91969BC01A48412787C2C5625EEB6D11","SP",3553708,"2012",42.26,1.65,0,0,0.05,0.74,0,0,39.82,0,0,0,0,0,0,0
"194","SP-3553708-92A63A0F23334E10B312AEA000572D36","SP",3553708,"2012",65.86,6.66,0,1.5,0.31,12.21,0,0,43.7,0.22,1.25,0,0,0,0,0
"195","SP-3553708-943E0C267F964F54AADC0BC1416CFC51","SP",3553708,"2012",227.16,5.26,0,2.61,0.43,29.36,0,0,189.49,0,0,0,0,0,0,0
"196","SP-3553708-A683C1419B744985B282D80959EA1326","SP",3553708,"2012",73.47,1.1,0,0,0,4.03,0,0,67.9,0.44,0,0,0,0,0,0
"197","SP-3553708-B3B40607D9EC47B39A585035D516A560","SP",3553708,"2012",172.34,6.38,0,1.68,0,38.4,0.02,0,124.01,0,0,0,0,0,0,1.85
"198","SP-3553708-B6CB9C346B1A49769E52BC44C7D921DD","SP",3553708,"2012",113.32,5.53,0,0,0,12.03,0,0,95.76,0,0,0,0,0,0,0
"199","SP-3553708-C19DAF28E878458584873AECBAB95F92","SP",3553708,"2012",47.11,0.11,0,2.11,0,2.59,0,0,42.29,0,0,0,0,0,0,0
"200","SP-3553708-DFEE19EE1DAB4088ABE7B5C886ECF753","SP",3553708,"2012",19.44,0,0,0.83,0,8.26,0,0,10.34,0,0,0,0,0,0,0
"201","SP-3553708-EB64F2865C5B4374A77FE31919A96F49","SP",3553708,"2012",54.38,1.44,0,0,0,2.45,0,0,50.5,0,0,0,0,0,0,0
"202","SP-3553708-EB6C39204B8F4DB4BCCD5DCE766FCB3B","SP",3553708,"2012",50.79,0.73,0,0,0,20.44,0,0,29.63,0,0,0,0,0,0,0
