"","fcar","uf","munic","year","app_area_hec","Formacao Florestal","Formacao Savanica","Campo Alagado e Area Pantanosa","Pastagem","Mosaico de Agricultura e Pastagem","Rio, Lago e Oceano","Cana-de-Acucar","Soja","Outras Lavouras Temporarias","Fomacao Campestre","Café","Citrus","Outras Areas nao Vegetadas","Area Urbanizada"
"161","SP-3540309-663984AC1E8A4B0F817BC2599BBF2DA4","SP",3540309,"2021",2.4,0,0,0,0.22,1.77,0.07,0.34,0,0,0,0,0,0,0
"162","SP-3540903-262EC6A45FFB45A8B306D5BB26DCAB02","SP",3540903,"2021",0,2.64,0,1.42,0,0.69,0,134.35,0,0,0,0,0,0,0
"163","SP-3540903-73F249DF772D472EA6E4054C889E3C37","SP",3540903,"2021",2.16,0,0,0,0,1.85,0,0.21,0,0.1,0,0,0,0,0
"164","SP-3540903-B11929B3E6EA4E9696D1E205DB6984F0","SP",3540903,"2021",2.95,2.22,0,0.55,0,0,0,0.05,0,0.14,0,0,0,0,0
"165","SP-3543402-1DA8730846C74686A4AB4FFFEDF102CA","SP",3543402,"2021",0,0,0,0,0,1.32,0,78.72,0.5,0,0,0,0,0,0
"166","SP-3543402-1F1F7808BB7942A7AC24E42F391C7A50","SP",3543402,"2021",22.88,16.68,0,2.75,0,3.08,0,0.34,0,0.02,0,0,0,0,0
"167","SP-3543402-42E69DAFD66A48F2A2C94EF340E96EAD","SP",3543402,"2021",6.75,0.75,0,2.52,0,2.4,0,0.78,0,0.29,0,0,0,0,0
"168","SP-3543402-4B9B41D5E4C44F83BCC3BF1C40A0AD09","SP",3543402,"2021",0,1.05,0,0,0,17.52,1.08,7.48,0,0,0,0,0,0,0
"169","SP-3543402-684F1290C16E47FD88B387C429B2804F","SP",3543402,"2021",29.34,24.56,0,0,0,4.69,0,0.09,0,0,0,0,0,0,0
"170","SP-3543402-EF060FEE30C44FDB89DE102EA19D6E60","SP",3543402,"2021",12.93,12.78,0,0,0,0.13,0,0.02,0,0,0,0,0,0,0
"171","SP-3543402-FB219CA4F6AA4588AF2B80E948058DBC","SP",3543402,"2021",10.35,8.34,0,0,0,1.81,0,0.2,0,0,0,0,0,0,0
"172","SP-3543709-67FEDFB442A74EFDAFED739AA5492A54","SP",3543709,"2021",8.99,4.85,0,1.99,0,1.13,0.64,0.24,0,0,0,0,0,0,0
"173","SP-3543709-895E9A4CA7AA45F787AB51BFD227F7E4","SP",3543709,"2021",160.28,73.37,0.32,45.22,0.25,36.14,3.03,1.87,0,0.07,0,0,0,0,0
"174","SP-3543709-F0021CE51CC64BE295FD0164556406B2","SP",3543709,"2021",5.01,0,0,0,0,3.28,0,1.27,0,0.46,0,0,0,0,0
"175","SP-3545605-31C240CD9EEA4DB795EAF79257D3A555","SP",3545605,"2021",0.56,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
"176","SP-3545605-4B1327CD9F0048C8AF0EF7D758D0BF69","SP",3545605,"2021",4.14,3.13,0,0,0,0.69,0,0.32,0,0,0,0,0,0,0
"177","SP-3545605-744C3D0EC2614782AF597E510CD204D4","SP",3545605,"2021",0,0,0,0,0,0.23,0,37.37,0,0,0,0,0,0,0
"178","SP-3553203-D7550D3273A445459C0CA1CC9F01DC82","SP",3553203,"2021",10.86,0.17,0,1.3,0.32,8.59,0.35,0.13,0,0,0,0,0,0,0
"179","SP-3553708-0858FA9FDFB0409EA92DDE3863FA14D1","SP",3553708,"2021",4.45,4.07,0,0.38,0,0.01,0,0,0,0,0,0,0,0,0
"180","SP-3553708-08F4112E61274728B7E28D4DD2C492B7","SP",3553708,"2021",11.61,8.11,0,1.25,0,1.67,0,0.35,0,0.22,0,0,0,0,0
"181","SP-3553708-091EAB10770A48328E6C7B9AA8156DF2","SP",3553708,"2021",2.71,0,0,2.3,0,0.14,0,0,0,0.26,0,0,0,0,0
"182","SP-3553708-0B8611F8492B4FBE9F4919FD2B4CCCFB","SP",3553708,"2021",5.28,1.79,0,0.09,0,2.72,0,0.68,0,0,0,0,0,0,0
"183","SP-3553708-0CD642AFEAB8483FA6531F2D4F185ED8","SP",3553708,"2021",12.75,10.64,0,1.16,0,0.6,0,0.08,0,0.26,0,0,0,0,0
"184","SP-3553708-26DB381602EF46B78D04BDCED4CCF582","SP",3553708,"2021",0,0,0,0,0,1.36,0,43.2,0,0,0,0,0,0,0
"185","SP-3553708-2847AE9800F147A58CC6658A2275C5A5","SP",3553708,"2021",7.98,3.07,0,0.23,0,2.84,0,1.84,0,0,0,0,0,0,0
"186","SP-3553708-3CB6F6CB2CC74B658B8220A88406C647","SP",3553708,"2021",2.69,0.42,0,1.14,0,1.12,0,0,0,0,0,0,0,0,0
"187","SP-3553708-4389915C37424AF6A21D3FBF1B6D2D40","SP",3553708,"2021",0,0,0,0,0,0.46,0,43.99,0,0,0,0,0,0,0
"188","SP-3553708-49A3269AAE35408995F4486D1409FA51","SP",3553708,"2021",0.88,0,0,0,0,0.73,0,0.15,0,0,0,0,0,0,0
"189","SP-3553708-5F2E87B8ABE847618C1AF8E982479ED6","SP",3553708,"2021",2.42,0.94,0,0,0,0.92,0,0.56,0,0,0,0,0,0,0
"190","SP-3553708-63B9D7B6A988411A8A8F3BA1744F0F60","SP",3553708,"2021",6.18,0,0,0.33,0,3.49,0,2.37,0,0,0,0,0,0,0
"191","SP-3553708-75EB43DF11594E7A96F4561A8FDDABB7","SP",3553708,"2021",23.77,3.94,0,2.62,0,15.43,0,1.78,0.01,0,0,0,0,0,0
"192","SP-3553708-8AD9E86E75D84315AE9FED048812FC8B","SP",3553708,"2021",2.59,1.69,0,0.21,0,0.7,0,0,0,0,0,0,0,0,0
"193","SP-3553708-91969BC01A48412787C2C5625EEB6D11","SP",3553708,"2021",1.45,1.38,0,0,0,0,0,0.07,0,0,0,0,0,0,0
"194","SP-3553708-92A63A0F23334E10B312AEA000572D36","SP",3553708,"2021",5.79,2.54,0,0,0,3.24,0,0,0,0.01,0,0,0,0,0
"195","SP-3553708-943E0C267F964F54AADC0BC1416CFC51","SP",3553708,"2021",10.99,1.34,0,0.8,0,8.04,0,0.81,0,0,0,0,0,0,0
"196","SP-3553708-A683C1419B744985B282D80959EA1326","SP",3553708,"2021",2.91,1.76,0,0,0,1.03,0,0.13,0,0,0,0,0,0,0
"197","SP-3553708-B3B40607D9EC47B39A585035D516A560","SP",3553708,"2021",2.94,0,0,1.2,0,1.73,0,0,0,0,0,0,0,0,0
"198","SP-3553708-B6CB9C346B1A49769E52BC44C7D921DD","SP",3553708,"2021",8.67,3.77,0,0,0,3.96,0,0.45,0,0.5,0,0,0,0,0
"199","SP-3553708-C19DAF28E878458584873AECBAB95F92","SP",3553708,"2021",1.69,0.17,0,1.52,0,0,0,0,0,0,0,0,0,0,0
"200","SP-3553708-DFEE19EE1DAB4088ABE7B5C886ECF753","SP",3553708,"2021",0.47,0.01,0,0,0,0.46,0,0,0,0,0,0,0,0,0
"201","SP-3553708-EB64F2865C5B4374A77FE31919A96F49","SP",3553708,"2021",1.69,1.5,0,0,0,0.19,0,0.01,0,0,0,0,0,0,0
"202","SP-3553708-EB6C39204B8F4DB4BCCD5DCE766FCB3B","SP",3553708,"2021",1.34,0.49,0,0,0,0.83,0,0.01,0,0,0,0,0,0,0
