"","fcar","uf","munic","year","app_area_hec","Formacao Florestal","Formacao Savanica","Campo Alagado e Area Pantanosa","Pastagem","Mosaico de Agricultura e Pastagem","Rio, Lago e Oceano","Cana-de-Acucar","Soja","Outras Lavouras Temporarias","Fomacao Campestre","Café","Citrus","Outras Areas nao Vegetadas","Area Urbanizada"
"40","MG-3138625-E29D421543904F418837B39DDC1237C1","MG",3138625,"2021",10.67,0,0,0.42,3.96,5.53,0,0.76,0,0,0,0,0,0,0
"41","MG-3138625-EB87A49230484B798FF484B1FF6A4200","MG",3138625,"2021",3.47,0.09,0,1.56,0.04,1.78,0,0,0,0,0,0,0,0,0
"42","MG-3138625-F57C6628922A4F53ABA3EB292E20A6D7","MG",3138625,"2021",11.87,0.67,0,4.11,4.85,1.99,0,0.24,0,0,0,0,0,0,0
"43","MG-3165107-35FB087C3923403981C4533DCC43CCBB","MG",3165107,"2021",14.18,2.65,0,0,0.02,11.43,0.05,0,0,0,0,0.04,0,0,0
"44","MG-3165107-76C7008B328042309A89F26F789DD095","MG",3165107,"2021",105.15,48.37,0,0,4,51.97,0.05,0.3,0.34,0.11,0,0,0.01,0,0
"45","MS-5005707-F14A9238D7F640DDA8BA7FDBFF61FFFB","MS",5005707,"2021",124.69,2.42,0,90.49,17.59,10.62,2.43,0,0.7,0.43,0,0,0,0,0
"46","SP-3503208-1C0244E0088B4284B9F0FBCB36128AF7","SP",3503208,"2021",0.68,0,0,0.12,0,0.57,0,0,0,0,0,0,0,0,0
"47","SP-3503208-287FBE5BAAD44905B7DCBBFBBDFE04C7","SP",3503208,"2021",0.22,0.2,0,0,0,0.01,0,0,0,0,0,0,0,0,0
"48","SP-3503208-3DFC0A34B4F8483AAE28367E2FECDA63","SP",3503208,"2021",4.46,0.28,0,3.41,0,0.52,0.25,0,0,0,0,0,0,0,0
"49","SP-3503208-465915E18C4940B4842D2476CA3E6E49","SP",3503208,"2021",0.52,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0
"50","SP-3503208-6484191647DD4DD4ADC439A286968CF6","SP",3503208,"2021",0.6,0,0,0.58,0,0.01,0,0,0,0,0,0,0,0,0
"51","SP-3503208-882E576E5E32403BB5925FCCFD66E04A","SP",3503208,"2021",1.89,0,0,0.35,0,1.53,0,0.02,0,0,0,0,0,0,0
"52","SP-3503208-A287FFAF8AB2407C89A3BF512820FD30","SP",3503208,"2021",0.23,0,0,0.11,0,0.12,0,0,0,0,0,0,0,0,0
"53","SP-3503208-C75616B7833E4963B2FE16DC4AE895EA","SP",3503208,"2021",12.17,3.82,0,2.53,0,5.19,0,0.63,0,0,0,0,0,0,0
"54","SP-3505500-086D12B4474F4D0C90B881E850AD68A8","SP",3505500,"2021",6.53,1.74,0,0.56,0,3.6,0,0.62,0,0,0,0,0,0,0
"55","SP-3505609-7A1BD2D0BCC648AFACDFE6419EEB8BA2","SP",3505609,"2021",0,0,0,0,0,0,0,92.97,0,0.11,0,0,0,0.77,0
"56","SP-3505609-DBB12C3C0B98414C9B581A1C1C19CA3B","SP",3505609,"2021",2.13,1.27,0,0.26,0,0.25,0.13,0.07,0,0,0,0,0,0,0
"57","SP-3505609-E1A757307CC44C67AB8BAEC0ACFA5A18","SP",3505609,"2021",0,0,0,0,0,0.31,0,73.52,0,0,0,0,0,0.41,0
"58","SP-3510104-77729E533B1C404C887B08A33DC16D13","SP",3510104,"2021",3.05,1.97,0,0,0,0.79,0,0.29,0,0,0,0,0,0,0
"59","SP-3510708-10E4AD3602954083867326F1AF2D0D35","SP",3510708,"2021",0.47,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0
"60","SP-3510708-5FA2AF2250644624A5FA6C6C30B6421E","SP",3510708,"2021",0,12.04,0,5.53,2.16,15.63,0,60.94,0.5,0,0,0,0,0,0
"61","SP-3512001-F45998EAA14042DDA440DC271FF228BC","SP",3512001,"2021",7.21,0.02,0,1.34,0,5.65,0,0.2,0,0,0,0,0,0,0
"62","SP-3514007-B66C8FCCCC7E4493A5B40502B6BEC627","SP",3514007,"2021",28.98,12.18,0,1.88,0.06,13.59,0,1.27,0,0,0,0,0,0,0
"63","SP-3514007-D09EB46840C24FC9B12F5C39C495707C","SP",3514007,"2021",12.83,7.11,0,0,0,4.17,0,1.46,0,0.08,0,0,0,0,0
"64","SP-3514601-11A7677D96A843A9847710F011126CE0","SP",3514601,"2021",0.48,0.31,0,0,0,0.01,0,0.01,0,0.14,0,0,0,0,0
"65","SP-3514601-28EB3D2FF85940FEAD2B28FEE6F9F9C9","SP",3514601,"2021",0.45,0.23,0,0.18,0,0,0,0,0,0.04,0,0,0,0,0
"66","SP-3518602-06C22ADABA4C42D9A7D0E3130F943869","SP",3518602,"2021",38.14,14.68,0,2,0,19.35,0.06,2.01,0,0.04,0,0,0,0,0
"67","SP-3518602-57FFF6E3A38B47B3979ED422D9637683","SP",3518602,"2021",5.16,0.22,0,3,0,1.51,0,0.4,0,0.03,0,0,0,0,0
"68","SP-3518602-748DAA41686A4614B52CDBC091FC1C00","SP",3518602,"2021",8.85,5.87,0,0.56,0,2.24,0,0.18,0,0,0,0,0,0,0
"69","SP-3518602-81734FC125D7481A88B862DF1D04DE15","SP",3518602,"2021",29.02,13.66,0,13.68,0,1.05,0.4,0.22,0,0,0,0,0,0,0
"70","SP-3518602-86BC2C7EFEF146E29C8674243E2C4D9A","SP",3518602,"2021",6.77,1.32,0,0,0,4.82,0,0.63,0,0,0,0,0,0,0
"71","SP-3518602-8B3A6161519A44FEA5303BA48F4D1A7B","SP",3518602,"2021",27.46,13.48,0,4.22,0,9.32,0,0.24,0,0.19,0,0,0,0,0
"72","SP-3518602-A6B30ADC4EE04E9EAA0925E2AA6DE956","SP",3518602,"2021",12.62,6.14,0,1.14,0,4.83,0,0.09,0,0.42,0,0,0,0,0
"73","SP-3518602-B5EAD3959D3B4FD18C7171A20CC2F4C8","SP",3518602,"2021",2.84,2.08,0,0.1,0,0.65,0,0.01,0,0,0,0,0,0,0
"74","SP-3518602-F476144FD55E4A22B9A170593786DC8F","SP",3518602,"2021",7.67,2.7,0,0.33,0,4.52,0,0.12,0,0,0,0,0,0,0
"75","SP-3518859-40FA7CD0173340A1BB2183E96B33BA8C","SP",3518859,"2021",16.28,11.37,0,4.27,0,0.31,0,0.18,0,0.14,0,0,0,0,0
"76","SP-3521903-76C1E7D3340547CBA5822B0C071BA51E","SP",3521903,"2021",24.53,2.94,0,4.21,0,16.59,0,0.79,0,0,0,0,0,0,0
"77","SP-3521903-B5C1D5D919494A468180C84FE4B26CC7","SP",3521903,"2021",9.8,3.57,0,1.78,0,3.91,0,0.54,0,0,0,0,0,0,0
"78","SP-3521903-BA9A0D49AD1E4F8E90188416817A5DC2","SP",3521903,"2021",10.21,9.96,0,0,0,0.22,0,0.02,0,0,0,0,0,0,0
"79","SP-3521903-E00526DDA4BA4D31BF90F8449B7E9941","SP",3521903,"2021",9.28,2.76,0,2.48,0,3.87,0,0.18,0,0,0,0,0,0,0
"80","SP-3521903-E107AA621BC84815B6EED997D01010E8","SP",3521903,"2021",1.94,0,0,0.53,0,1.38,0,0.02,0,0,0,0,0,0,0
