"","fcar","uf","munic","year","farm_area_hec","Formacao Florestal","Formacao Savanica","Campo Alagado e Area Pantanosa","Pastagem","Mosaico de Agricultura e Pastagem","Outras Areas nao Vegetadas","Rio, Lago e Oceano","Cana-de-Acucar","Soja","Outras Lavouras Temporarias","Café","Fomacao Campestre","Citrus","Silvicultura","Area Urbanizada","Outras Lavouras Perenes"
"33","MG-3134400-A60B4300EC284D4CB1996F82616ACB95","MG",3134400,"2021",95.93,1.27,0,1.31,20.85,9.69,0,0,62.81,0,0,0,0,0,0,0,0
"34","MG-3134400-E8C6AD63D2DE4131841BDA48263B236F","MG",3134400,"2021",339.45,1.65,0,0,183.05,23.42,0,0,131.34,0,0,0,0,0,0,0,0
"35","MG-3138625-14CF79F3BE354C9F87D3E5D9F35D377C","MG",3138625,"2021",34.29,0,0,0,1.27,8.39,0,0,24.63,0,0,0,0,0,0,0,0
"36","MG-3138625-435A0E7834F44F1FA85C0A100E360916","MG",3138625,"2021",177.01,1.99,0,1,9.97,91.43,0,0,51.87,0,20.75,0,0,0,0,0,0
"37","MG-3138625-C8C4F0706BF545468EB8FFC67E5D6D07","MG",3138625,"2021",276.25,26.14,21.19,3.04,16.5,54.14,0,0,155.26,0,0,0,0,0,0,0,0
"38","MG-3138625-CC66CFD271BD46E5BCFB3210DCE80691","MG",3138625,"2021",101.13,0,0,0.23,4.65,5.01,0,0,77.87,13.37,0,0,0,0,0,0,0
"39","MG-3138625-D0FBDC75DB9A434C8D3D451A725B08F5","MG",3138625,"2021",190.77,1.67,0.55,9.83,36.24,140.04,0,0.76,0,0,0,0,1.69,0,0,0,0
"40","MG-3138625-E29D421543904F418837B39DDC1237C1","MG",3138625,"2021",194.79,21.21,0,0.42,24.65,18.45,0,0,129.05,0,1.01,0,0,0,0,0,0
"41","MG-3138625-EB87A49230484B798FF484B1FF6A4200","MG",3138625,"2021",212.22,0.17,3.15,2.07,26.1,12.7,0,0,168.01,0.01,0,0,0,0,0,0,0
"42","MG-3138625-F57C6628922A4F53ABA3EB292E20A6D7","MG",3138625,"2021",118.55,11.12,0,7.69,23.74,8.19,0,0,67.82,0,0,0,0,0,0,0,0
"43","MG-3165107-35FB087C3923403981C4533DCC43CCBB","MG",3165107,"2021",155.9,13.62,0,0,31.72,85.31,0,0.3,0,0,0,17.67,0,7.29,0,0,0
"44","MG-3165107-76C7008B328042309A89F26F789DD095","MG",3165107,"2021",1450.75,147.14,0,0,147.04,719.87,1.42,0.59,17.43,102.68,77.73,75.96,1.51,159.39,0,0,0
"45","MS-5005707-F14A9238D7F640DDA8BA7FDBFF61FFFB","MS",5005707,"2021",3628.33,53.57,0,291.7,1133.37,129.47,0,6.01,0,1908.24,101.57,0,0,0,4.21,0,0
"46","SP-3503208-1C0244E0088B4284B9F0FBCB36128AF7","SP",3503208,"2021",54.66,0,0,0.45,0.42,5.97,0,0,47.82,0,0.01,0,0,0,0,0,0
"47","SP-3503208-287FBE5BAAD44905B7DCBBFBBDFE04C7","SP",3503208,"2021",31.97,1.26,0,1.01,0,22.33,0,0,0.06,7.32,0,0,0,0,0,0,0
"48","SP-3503208-3DFC0A34B4F8483AAE28367E2FECDA63","SP",3503208,"2021",103.07,0.75,0,7.95,0,9.99,0,1.25,75.91,7.22,0,0,0,0,0,0,0
"49","SP-3503208-465915E18C4940B4842D2476CA3E6E49","SP",3503208,"2021",48.45,4.64,0,0.68,0,9.89,0,0,28.69,4.55,0,0,0,0,0,0,0
"50","SP-3503208-6484191647DD4DD4ADC439A286968CF6","SP",3503208,"2021",39.8,0,0,1.1,0,10.54,0,0,25.17,0.08,2.91,0,0,0,0,0,0
"51","SP-3503208-882E576E5E32403BB5925FCCFD66E04A","SP",3503208,"2021",24.37,0,0,0.44,0,5.83,0,0,18.1,0,0,0,0,0,0,0,0
"52","SP-3503208-A287FFAF8AB2407C89A3BF512820FD30","SP",3503208,"2021",29.58,0,0,1.27,0,5.18,0,0,23.13,0,0,0,0,0,0,0,0
"53","SP-3503208-C75616B7833E4963B2FE16DC4AE895EA","SP",3503208,"2021",219.95,5.74,0,3.46,0,13.25,0,0,197.49,0,0,0,0,0,0,0,0
"54","SP-3505500-086D12B4474F4D0C90B881E850AD68A8","SP",3505500,"2021",90.56,2.38,0,0.64,0,12.38,0,0,74.57,0,0.59,0,0,0,0,0,0
"55","SP-3505609-7A1BD2D0BCC648AFACDFE6419EEB8BA2","SP",3505609,"2021",93.85,0,0,0,0,0,0.77,0,92.97,0,0.11,0,0,0,0,0,0
"56","SP-3505609-DBB12C3C0B98414C9B581A1C1C19CA3B","SP",3505609,"2021",121.02,3.6,0,13.61,0,9.34,1.25,0.19,92.01,0,0.75,0,0,0,0,0,0
"57","SP-3505609-E1A757307CC44C67AB8BAEC0ACFA5A18","SP",3505609,"2021",74.23,0,0,0,0,0.31,0.41,0,73.52,0,0,0,0,0,0,0,0
"58","SP-3510104-77729E533B1C404C887B08A33DC16D13","SP",3510104,"2021",120.69,2.92,0,0,0,2.74,0,0,111.46,2.59,0.97,0,0,0.02,0,0,0
"59","SP-3510708-10E4AD3602954083867326F1AF2D0D35","SP",3510708,"2021",33.22,0,0,0.51,1.13,6.84,0,0,24.74,0,0,0,0,0,0,0,0
"60","SP-3510708-5FA2AF2250644624A5FA6C6C30B6421E","SP",3510708,"2021",96.81,12.04,0,5.53,2.16,15.63,0,0,60.94,0.5,0,0,0,0,0,0,0
"61","SP-3512001-F45998EAA14042DDA440DC271FF228BC","SP",3512001,"2021",175.23,0.02,0,1.53,0,10.7,0,0,162.74,0,0,0,0,0,0,0.24,0
"62","SP-3514007-B66C8FCCCC7E4493A5B40502B6BEC627","SP",3514007,"2021",726.22,30.3,0,2.71,2.83,48.54,0.99,0,613.19,27.65,0,0,0,0,0,0,0
"63","SP-3514007-D09EB46840C24FC9B12F5C39C495707C","SP",3514007,"2021",270.35,16.47,0,0.67,0,10.77,0,0,232.47,9.48,0.49,0,0,0,0,0,0
"64","SP-3514601-11A7677D96A843A9847710F011126CE0","SP",3514601,"2021",22.28,0.31,0,0,0,1.47,0.07,0,20.19,0,0.25,0,0,0,0,0,0
"65","SP-3514601-28EB3D2FF85940FEAD2B28FEE6F9F9C9","SP",3514601,"2021",93.02,0.24,0,0.38,0,0.03,0,0,92.16,0,0.2,0,0,0,0,0,0
"66","SP-3518602-06C22ADABA4C42D9A7D0E3130F943869","SP",3518602,"2021",646.27,50.12,0,2.03,4.59,90.45,0.58,0.06,450.75,45.84,1.84,0,0,0,0,0,0
"67","SP-3518602-57FFF6E3A38B47B3979ED422D9637683","SP",3518602,"2021",174.04,0.26,0,5.29,1.33,12.86,0.49,0,152.31,0,1.5,0,0,0,0,0,0
"68","SP-3518602-748DAA41686A4614B52CDBC091FC1C00","SP",3518602,"2021",100.83,9.08,0,0.99,0,8.71,0,0,80.84,1.17,0.04,0,0,0,0,0,0
"69","SP-3518602-81734FC125D7481A88B862DF1D04DE15","SP",3518602,"2021",519.27,31.38,0.25,34.24,0,23.23,0,0.42,429.26,0,0.5,0,0,0,0,0,0
"70","SP-3518602-86BC2C7EFEF146E29C8674243E2C4D9A","SP",3518602,"2021",382.97,19.16,0,0,0,29.01,0,0,333.83,0,0.97,0,0,0,0,0,0
"71","SP-3518602-8B3A6161519A44FEA5303BA48F4D1A7B","SP",3518602,"2021",439.45,24.85,0,6.2,0,23.28,0,0,378.36,6.09,0.67,0,0,0,0,0,0
"72","SP-3518602-A6B30ADC4EE04E9EAA0925E2AA6DE956","SP",3518602,"2021",507.95,20.84,0,1.45,1.75,46.87,0,0,423.44,12.59,1,0,0,0,0,0,0
"73","SP-3518602-B5EAD3959D3B4FD18C7171A20CC2F4C8","SP",3518602,"2021",122.47,2.94,0,0.14,0,4.81,0,0,114.59,0,0,0,0,0,0,0,0
"74","SP-3518602-F476144FD55E4A22B9A170593786DC8F","SP",3518602,"2021",219.18,9.48,0,0.58,0,18.46,0,0,190.1,0.05,0.5,0,0,0,0,0,0
"75","SP-3518859-40FA7CD0173340A1BB2183E96B33BA8C","SP",3518859,"2021",512.85,63.89,0,22.78,0,13.63,0,0,409.71,0.75,2.08,0,0,0,0,0,0
"76","SP-3521903-76C1E7D3340547CBA5822B0C071BA51E","SP",3521903,"2021",323.53,4.34,0,5.82,0,42.42,0,0,270.95,0,0,0,0,0,0,0,0
"77","SP-3521903-B5C1D5D919494A468180C84FE4B26CC7","SP",3521903,"2021",182.82,5.96,0,2.96,0,16.84,0,0,156.22,0.83,0,0,0,0,0,0,0
"78","SP-3521903-BA9A0D49AD1E4F8E90188416817A5DC2","SP",3521903,"2021",294.23,24.82,0,0.67,0,12.34,0,0,255.82,0,0.19,0.03,0,0,0,0,0.36
"79","SP-3521903-E00526DDA4BA4D31BF90F8449B7E9941","SP",3521903,"2021",103.26,4.04,0,3.89,0.13,14.85,0,0,80.34,0,0,0,0,0,0,0,0
"80","SP-3521903-E107AA621BC84815B6EED997D01010E8","SP",3521903,"2021",22.53,0,0,0.53,0,2.57,0,0,19.14,0,0.29,0,0,0,0,0,0
"81","SP-3522703-4744A99A90614109A09FBA291D6A206A","SP",3522703,"2021",1758.17,218.85,0,32.86,0,296.99,0,0,1159.8,8.44,41.23,0,0,0,0,0,0
"82","SP-3522703-D63E157FE78345B89EC2098A7334BDBD","SP",3522703,"2021",109.1,2.17,0,0,0.08,9.96,0,0,84.48,10.99,1.42,0,0,0,0,0,0
"83","SP-3524204-2BF66C8B164B499D8F010053E0860443","SP",3524204,"2021",360.4,10.23,0,9.79,0,5.36,0,0,333.69,0.04,1.28,0,0,0,0,0,0
"84","SP-3524303-03046467329F40E3BD3DFC1A739DB165","SP",3524303,"2021",60.73,0,0,0.16,0,3.32,0,0,56.67,0.58,0,0,0,0,0,0,0
"85","SP-3524303-0DC942AABD574146A51CD1A38C3B9070","SP",3524303,"2021",22.26,0,0,0,0,7.38,0,0,11.6,3.25,0.05,0,0,0,0,0,0
"86","SP-3524303-118775A2CCDD4FBE94C84767AFF917A8","SP",3524303,"2021",330.89,31.74,0,0.98,0.08,14.91,0,1.32,261.82,19.86,0.17,0,0,0,0,0,0
"87","SP-3524303-1739C594B4F540C59AF7B47ADBB2D62D","SP",3524303,"2021",1139.26,125.85,0,52.44,0,79.78,1.84,1.19,856.71,18.43,2.42,0,0,0,0,0,0
"88","SP-3524303-21656AD4FE944F7CB66011E4418F4187","SP",3524303,"2021",141.92,7.9,0,0.61,0,12.69,0,0,109.21,11.51,0,0,0,0,0,0,0
"89","SP-3524303-244BE86A3253482D851098B4D30F836D","SP",3524303,"2021",242.98,9.73,0,2.41,0,19.74,0,0,210.52,0.36,0.22,0,0,0,0,0,0
"90","SP-3524303-2805984E47D8413EA1F7FEED4A0C84DE","SP",3524303,"2021",178.61,0.21,0,1.36,0.75,2.67,0,0,173.62,0,0,0,0,0,0,0,0
"91","SP-3524303-45EABA24951149768D24A6F8C9E5BA8A","SP",3524303,"2021",261.25,38.76,0,0.67,0,16.45,0.04,0,205.03,0.29,0,0,0,0,0,0,0
"92","SP-3524303-4BF2884CA53D40CD816BC459457BC020","SP",3524303,"2021",122.69,30.43,0,1.09,0,2.66,0,0,88.1,0,0.42,0,0,0,0,0,0
"93","SP-3524303-577FC36D359E4056801675249F938706","SP",3524303,"2021",16.73,0,0,0,0,0,0,0,16.73,0,0,0,0,0,0,0,0
"94","SP-3524303-733F23B337C949A4B6314BBA22BD73A4","SP",3524303,"2021",19.49,0,0,0,0,0.13,0,0,19.37,0,0,0,0,0,0,0,0
"95","SP-3524303-7719C63514204FAA8BE3E4E773DD4B26","SP",3524303,"2021",114.64,4.59,0,0,0,8.4,0,0,101.07,0,0,0.58,0,0,0,0,0
"96","SP-3524303-7A7AD6C4FA144A09B9066F7638202E55","SP",3524303,"2021",109.55,1.94,0,0.66,0,11.43,0,0,92.69,2.33,0.5,0,0,0,0,0,0
"97","SP-3524303-7F899BC4BF434FC29BCD16956D775084","SP",3524303,"2021",294.65,0,0,2.76,8.01,24.38,0.58,1.72,257.16,0.03,0,0,0,0,0,0,0
"98","SP-3524303-825FAA66535C4771B3AE7DEBCB03FA43","SP",3524303,"2021",30.87,0,0,0,0,2.73,0,0,27.97,0,0.16,0,0,0,0,0,0
"99","SP-3524303-8DC097BB871E49BCAFEEDD4DAAFDBB1E","SP",3524303,"2021",117.31,1.6,0,0,0,3.18,0,0,112.38,0,0.15,0,0,0,0,0,0
"100","SP-3524303-A4204348BA434E28ADC4E0BAB626B251","SP",3524303,"2021",183.3,0,0,3.24,6.77,26.99,0,0,146.29,0,0,0,0,0,0,0,0
"101","SP-3524303-A7682ED563804138AF6A3F96D16FA05F","SP",3524303,"2021",33.62,0,0,0.36,0,1.03,0,0,32.23,0,0,0,0,0,0,0,0
"102","SP-3524303-AE1D25E0508C42BABADC23B3F41E9363","SP",3524303,"2021",65.36,0,0,0,0,0,0,0,65.36,0,0,0,0,0,0,0,0
"103","SP-3524303-B4E7D6269570418A8C7CB04464344387","SP",3524303,"2021",129.58,0,0,0.85,1.29,9.54,0,0,117.29,0.51,0,0,0,0,0,0,0
"104","SP-3524303-B511EABB874444398E1815F4A23331D5","SP",3524303,"2021",231.53,1.09,0,0.63,1.25,21.6,0.75,0,193.61,12.36,0,0,0,0,0,0,0
"105","SP-3524303-B81EF71D75DB4B0E824AC12E7E35D76B","SP",3524303,"2021",48.9,0.33,0,0,0.2,5.84,0,0,26.54,15.99,0,0,0,0,0,0,0
"106","SP-3524303-D35D6052A3004C3EB96D342F15B20926","SP",3524303,"2021",110.18,3.02,0,0,0,7.43,0.75,0,98.98,0,0,0,0,0,0,0,0
"107","SP-3524303-D78A85C41DBA40D891D0FEA45835EF2D","SP",3524303,"2021",342.01,18.28,0,1.94,0,40.3,0,0,280.93,0,0.57,0,0,0,0,0,0
"108","SP-3524303-F6196583B26A4E84AB1CD3FE7039A61E","SP",3524303,"2021",39.37,1.43,0,0,0,0.01,0,0,31.8,4.65,1.48,0,0,0,0,0,0
"109","SP-3529302-4380D5F337CF486E8E3C04893F2ED9CB","SP",3529302,"2021",533.99,83.83,0,9.05,0,66.48,1.33,0,357.24,14.73,0.54,0,0,0,0,0.78,0
"110","SP-3529302-5DA25D37430D4BE68395555524DC86D4","SP",3529302,"2021",12.2,0.51,0,0,0,2.28,0,0,9.41,0,0,0,0,0,0,0,0
"111","SP-3529302-664B22D1DFC44EAEA99AA819C0EC5779","SP",3529302,"2021",199.84,13.1,0,1.46,21.54,56.14,0,0,107.6,0,0,0,0,0,0,0,0
"112","SP-3529302-6D5093B0A0384E1E967CFBDF049F18E0","SP",3529302,"2021",32.57,5.38,0,0,0,7.31,0,0,19.77,0.11,0,0,0,0,0,0,0
"113","SP-3529302-82866007393E4DD6B6815EE7F7982D20","SP",3529302,"2021",19.35,0.99,0,0,0,2.26,0,0,10.96,5.13,0,0,0,0,0,0,0
"114","SP-3529302-AF136ED1760141DFB2FA0AFF59A07E3E","SP",3529302,"2021",151.36,1.17,0,0,0,43.21,0,0,99.53,7.08,0.06,0,0,0,0,0.32,0
"115","SP-3529302-E22D1B8967CE4CB5959A0B2F759D70ED","SP",3529302,"2021",51.23,0,0,0,0,1.53,0,0,49.7,0,0,0,0,0,0,0,0
"116","SP-3531308-5A765C4491DC4648A27E5D2E884EB375","SP",3531308,"2021",28.02,0.01,0,0.41,0,6.08,0,0,21.52,0,0,0,0,0,0,0,0
"117","SP-3531308-AA6227303FD445209CCFBA48F79908EA","SP",3531308,"2021",108.33,2.32,0,2.69,0.16,14.46,0,0,88.69,0,0,0,0,0,0,0,0
"118","SP-3531308-C2F56A08017A4459888CE0E69A3161F8","SP",3531308,"2021",47.89,3.28,0,0.62,0,8.44,0,0,34.71,0.36,0.47,0,0,0,0,0,0
"119","SP-3531308-DDC5C4B5C558434A9BE155279F32C2C1","SP",3531308,"2021",71.56,6.6,0,1.84,0,9.38,0,0,50.44,3.3,0,0,0,0,0,0,0
"120","SP-3532058-2C8FEF6FBC44472F9BF843B34FF9047E","SP",3532058,"2021",178.95,7.01,0,3.13,0,11.58,0,0,148.95,8.28,0,0,0,0,0,0,0
"121","SP-3532058-3EE625926E4E460DB99EA36B4AE36ECD","SP",3532058,"2021",181,2.32,0,0,0,4.93,0,0,145.39,27.42,0.42,0,0,0,0,0.52,0
"122","SP-3532058-7CBC1A16AA2E459E8BADBDB848922FAB","SP",3532058,"2021",276.54,4.4,0,0,0,11.11,1.58,0,258.8,0.06,0.6,0,0,0,0,0,0
"123","SP-3535002-07DD7C45D3E942C98886BFBB8B06B8D0","SP",3535002,"2021",64.86,5.93,0,0.53,0,13.7,0,0,44.7,0,0,0,0,0,0,0,0
"124","SP-3535002-1680D49FBA204A7CB661F0E52301933A","SP",3535002,"2021",91.85,13.58,0,0,0,10.5,0,0,67.27,0,0.5,0,0,0,0,0,0
"125","SP-3535002-1F6BB597B087407AAFBEE1C7F8FB9DD0","SP",3535002,"2021",26.2,0.73,0,0,3.47,9.32,0,0,12.68,0,0,0,0,0,0,0,0
"126","SP-3535002-36FD7710DDEB4FEF9F652436C122D3A7","SP",3535002,"2021",271.21,27.37,0,2.33,38.48,92.85,0,0,102.62,0,0,7.56,0,0,0,0,0
"127","SP-3535002-3DC863903D7C42FC9F62894F755C2800","SP",3535002,"2021",22.97,0.81,0,0,0.02,2.39,0,0,19.75,0,0,0,0,0,0,0,0
"128","SP-3535002-40C01BBAB3DD4547ACBB2CF3E5E0BF67","SP",3535002,"2021",14.81,0,0,0.16,3.55,4.68,0,0,6.42,0,0,0,0,0,0,0,0
"129","SP-3535002-415A2CFCCF6B4DC385D02C3268D01824","SP",3535002,"2021",52.48,1.65,0,8.19,0,17.94,0,0,24.7,0,0,0,0,0,0,0,0
"130","SP-3535002-585023E7A78647558214BFE24FBF611D","SP",3535002,"2021",32.48,0.42,0,1.69,0,10.26,0,0,19.61,0,0.5,0,0,0,0,0,0
"131","SP-3535002-60C312A9890F41DB909B1AEDABD152ED","SP",3535002,"2021",79.61,11.71,0,1.9,0.37,9.05,0,0,56.17,0,0.42,0,0,0,0,0,0
"132","SP-3535002-683FF484A1184BBF9D9D87CA7D92358A","SP",3535002,"2021",26.13,0,0,0.69,3.86,11.57,0,0,10.01,0,0,0,0,0,0,0,0
"133","SP-3535002-7332E87CC64447AB9B90600125687065","SP",3535002,"2021",31.82,0.59,0,0,0.99,4.87,0,0,25.36,0,0.01,0,0,0,0,0,0
"134","SP-3535002-7FBC29A1A88D419EBF00F797B3D62E40","SP",3535002,"2021",120.26,2.12,0,4.02,5.61,41.39,0,0,67.11,0,0,0,0,0,0,0,0
"135","SP-3535002-8BB90BDFB1624905888097443F8D60C7","SP",3535002,"2021",56.44,2.06,0,0,3.03,14.26,0,0,37.09,0,0,0,0,0,0,0,0
"136","SP-3535002-97BAAFDC07D442A1BE4E2DA6D836E9DE","SP",3535002,"2021",17.07,0.16,0,0,0.54,2.74,0,0,13.63,0,0,0,0,0,0,0,0
"137","SP-3535002-A9A5F5E72BD642C6A60413C4BD7501D8","SP",3535002,"2021",22.16,0,0,0.54,0.31,2.58,0,0,18.73,0,0,0,0,0,0,0,0
"138","SP-3535002-AD3D9B1A1CA24462A76E05B33C899E51","SP",3535002,"2021",31.6,1.99,0,2.7,0,8.13,0,0,18.77,0,0,0,0,0,0,0,0
"139","SP-3535002-AE29685C68A446BFA66CA289D83298C9","SP",3535002,"2021",74.48,7.16,0,0,0.67,13.49,0,0,52.6,0,0.55,0,0,0,0,0,0
"140","SP-3535002-B81BCF8F7EF34150B0B06FA44A8AEB27","SP",3535002,"2021",126.31,0,0,0.49,0.04,22.34,0,0,103.42,0.02,0,0,0,0,0,0,0
"141","SP-3535002-C39F61FBD45A4FE9B9DB41642C30FBE5","SP",3535002,"2021",128.26,2.3,0,3.41,6.04,47.71,0,2.05,66.75,0,0,0,0,0,0,0,0
"142","SP-3535002-C54A6412F2174BAABD020E756C5779EC","SP",3535002,"2021",22.83,0,0,0.87,0,3.73,0,0,18.08,0,0.16,0,0,0,0,0,0
"143","SP-3535002-C9156E596B5E4BF5A7E4AB052700B7B7","SP",3535002,"2021",36.53,5.2,0,0,5.86,12.48,0,0,13,0,0,0,0,0,0,0,0
"144","SP-3535002-D3C38922D0114B2DBBF18E00D6EA9EB9","SP",3535002,"2021",135.71,10.41,0,0.44,0.76,37.34,0,0,81.47,3.27,0,2.01,0,0,0,0,0
"145","SP-3535002-D426BF430B4C4F43B985BEE07AAA7791","SP",3535002,"2021",119.88,14.88,0,0,0.15,9.68,0,0,93.07,2.1,0,0,0,0,0,0,0
"146","SP-3535002-D68439EDE895466F8C315C4E7919783B","SP",3535002,"2021",123.22,0.36,0,6.64,20.46,28.28,0,0,66.3,1.18,0,0,0,0,0,0,0
"147","SP-3535002-E9610D9EE80E4223921BFC53E361EE3F","SP",3535002,"2021",26.08,8.69,0,0.5,0.14,7.75,0,0,8.56,0,0.45,0,0,0,0,0,0
"148","SP-3536307-03C0130B26BC4B9E8A6DA288DA994CFB","SP",3536307,"2021",223.09,28.95,0,0,0,35.12,0,0,154.07,0,4.95,0,0,0,0,0,0
"149","SP-3536307-2E39329A9BFE4EDDB7C0DA4BE005B9F4","SP",3536307,"2021",73.27,27.89,0,0,0,3.44,0,0,41.94,0,0,0,0,0,0,0,0
"150","SP-3536307-38E1F2C15F2F44D3AEBFA47848DB8B76","SP",3536307,"2021",176.5,5.16,24.52,3.84,0,19.58,0,0,108.06,15.3,0,0,0,0,0.03,0,0
