"","fcar","uf","munic","year","app_area_hec","Formacao Florestal","Campo Alagado e Area Pantanosa","Pastagem","Mosaico de Agricultura e Pastagem","Rio, Lago e Oceano","Cana-de-Acucar","Formacao Savanica","Soja","Fomacao Campestre","Café","Outras Lavouras Temporarias"
"168","SP-3543402-4B9B41D5E4C44F83BCC3BF1C40A0AD09","SP",3543402,"2012",0,1,0,0,19.08,0,5.79,0,0,0,0,1.26
"169","SP-3543402-684F1290C16E47FD88B387C429B2804F","SP",3543402,"2012",29.34,20.88,0,0,7.94,0,0.51,0,0,0,0,0
"170","SP-3543402-EF060FEE30C44FDB89DE102EA19D6E60","SP",3543402,"2012",12.93,12.8,0,0,0.06,0,0.07,0,0,0,0,0
"171","SP-3543402-FB219CA4F6AA4588AF2B80E948058DBC","SP",3543402,"2012",10.35,6.22,0,0,3.93,0,0.2,0,0,0,0,0
"172","SP-3543709-67FEDFB442A74EFDAFED739AA5492A54","SP",3543709,"2012",8.99,4.41,2.65,0,0.67,0.86,0.4,0,0,0,0,0
"173","SP-3543709-895E9A4CA7AA45F787AB51BFD227F7E4","SP",3543709,"2012",160.28,47.95,43.47,0.52,58.9,5.05,4.39,0,0,0,0,0
"174","SP-3543709-F0021CE51CC64BE295FD0164556406B2","SP",3543709,"2012",5.01,0.13,0,0,2.74,0,2.14,0,0,0,0,0
"175","SP-3545605-31C240CD9EEA4DB795EAF79257D3A555","SP",3545605,"2012",0.56,0.55,0,0,0,0,0,0,0,0,0,0
"176","SP-3545605-4B1327CD9F0048C8AF0EF7D758D0BF69","SP",3545605,"2012",4.14,2.91,0,0,1.11,0,0.12,0,0,0,0,0
"177","SP-3545605-744C3D0EC2614782AF597E510CD204D4","SP",3545605,"2012",0,0,0,0,0.05,0,37.55,0,0,0,0,0
"178","SP-3553203-D7550D3273A445459C0CA1CC9F01DC82","SP",3553203,"2012",10.86,0.42,1.8,0.12,8.09,0.26,0.18,0,0,0,0,0
"179","SP-3553708-0858FA9FDFB0409EA92DDE3863FA14D1","SP",3553708,"2012",4.45,4.07,0.38,0,0,0,0,0,0,0,0,0
"180","SP-3553708-08F4112E61274728B7E28D4DD2C492B7","SP",3553708,"2012",11.61,6.78,0.81,0,3,0.03,0.54,0,0,0,0,0.46
"181","SP-3553708-091EAB10770A48328E6C7B9AA8156DF2","SP",3553708,"2012",2.71,0,2.25,0,0.46,0,0,0,0,0,0,0
"182","SP-3553708-0B8611F8492B4FBE9F4919FD2B4CCCFB","SP",3553708,"2012",5.28,1.63,0.06,0,3,0,0.59,0,0,0,0,0
"183","SP-3553708-0CD642AFEAB8483FA6531F2D4F185ED8","SP",3553708,"2012",12.75,10.15,1.16,0,1.38,0,0.05,0,0,0,0,0
"184","SP-3553708-26DB381602EF46B78D04BDCED4CCF582","SP",3553708,"2012",0,0,12,0,11.08,0,4.42,0,0,0,0,17.06
"185","SP-3553708-2847AE9800F147A58CC6658A2275C5A5","SP",3553708,"2012",7.98,3.06,0.11,0,2.31,0,2.51,0,0,0,0,0
"186","SP-3553708-3CB6F6CB2CC74B658B8220A88406C647","SP",3553708,"2012",2.69,0.58,1.53,0,0.58,0,0,0,0,0,0,0
"187","SP-3553708-4389915C37424AF6A21D3FBF1B6D2D40","SP",3553708,"2012",0,0,0,0,0.94,0,43.52,0,0,0,0,0
"188","SP-3553708-49A3269AAE35408995F4486D1409FA51","SP",3553708,"2012",0.88,0,0,0,0.61,0,0.27,0,0,0,0,0
"189","SP-3553708-5F2E87B8ABE847618C1AF8E982479ED6","SP",3553708,"2012",2.42,0.99,0,0,0.45,0,0.97,0,0,0,0,0
"190","SP-3553708-63B9D7B6A988411A8A8F3BA1744F0F60","SP",3553708,"2012",6.18,0,0.5,0,2.21,0,3.38,0,0,0,0,0.08
"191","SP-3553708-75EB43DF11594E7A96F4561A8FDDABB7","SP",3553708,"2012",23.77,3.72,2.11,0,14.3,0,3.64,0,0,0,0,0
"192","SP-3553708-8AD9E86E75D84315AE9FED048812FC8B","SP",3553708,"2012",2.59,1.94,0.21,0,0.45,0,0,0,0,0,0,0
"193","SP-3553708-91969BC01A48412787C2C5625EEB6D11","SP",3553708,"2012",1.45,1.25,0,0,0.03,0,0.17,0,0,0,0,0
"194","SP-3553708-92A63A0F23334E10B312AEA000572D36","SP",3553708,"2012",5.79,2.48,1.17,0,1.86,0,0.22,0,0,0,0,0.06
"195","SP-3553708-943E0C267F964F54AADC0BC1416CFC51","SP",3553708,"2012",10.99,2.28,1.76,0.01,6.58,0,0.36,0,0,0,0,0
"196","SP-3553708-A683C1419B744985B282D80959EA1326","SP",3553708,"2012",2.91,0.89,0,0,1.24,0,0.44,0,0,0,0,0.34
"197","SP-3553708-B3B40607D9EC47B39A585035D516A560","SP",3553708,"2012",2.94,0,1.36,0,1.57,0,0.01,0,0,0,0,0
"198","SP-3553708-B6CB9C346B1A49769E52BC44C7D921DD","SP",3553708,"2012",8.67,2.38,0,0,5.19,0,1.1,0,0,0,0,0
"199","SP-3553708-C19DAF28E878458584873AECBAB95F92","SP",3553708,"2012",1.69,0.09,1.53,0,0.07,0,0,0,0,0,0,0
"200","SP-3553708-DFEE19EE1DAB4088ABE7B5C886ECF753","SP",3553708,"2012",0.47,0,0,0,0.47,0,0,0,0,0,0,0
"201","SP-3553708-EB64F2865C5B4374A77FE31919A96F49","SP",3553708,"2012",1.69,1.27,0,0,0.42,0,0,0,0,0,0,0
"202","SP-3553708-EB6C39204B8F4DB4BCCD5DCE766FCB3B","SP",3553708,"2012",1.34,0.54,0,0,0.78,0,0.01,0,0,0,0,0
