,NUMREGCAR,uf,munic,fcar
30,MG3134202D739BEDB3C2D4750A08C8D0F72CD35ED,MG,3134202,MG-3134202-D739BEDB3C2D4750A08C8D0F72CD35ED
31,MG3134202FAB2505E01994ED684E984E35D7C51A4,MG,3134202,MG-3134202-FAB2505E01994ED684E984E35D7C51A4
32,MG3134400A60B4300EC284D4CB1996F82616ACB95,MG,3134400,MG-3134400-A60B4300EC284D4CB1996F82616ACB95
33,MG3134400E8C6AD63D2DE4131841BDA48263B236F,MG,3134400,MG-3134400-E8C6AD63D2DE4131841BDA48263B236F
34,MG313862514CF79F3BE354C9F87D3E5D9F35D377C,MG,3138625,MG-3138625-14CF79F3BE354C9F87D3E5D9F35D377C
35,MG3138625435A0E7834F44F1FA85C0A100E360916,MG,3138625,MG-3138625-435A0E7834F44F1FA85C0A100E360916
36,MG3138625C8C4F0706BF545468EB8FFC67E5D6D07,MG,3138625,MG-3138625-C8C4F0706BF545468EB8FFC67E5D6D07
37,MG3138625CC66CFD271BD46E5BCFB3210DCE80691,MG,3138625,MG-3138625-CC66CFD271BD46E5BCFB3210DCE80691
38,MG3138625D0FBDC75DB9A434C8D3D451A725B08F5,MG,3138625,MG-3138625-D0FBDC75DB9A434C8D3D451A725B08F5
39,MG3138625E29D421543904F418837B39DDC1237C1,MG,3138625,MG-3138625-E29D421543904F418837B39DDC1237C1
40,MG3138625EB87A49230484B798FF484B1FF6A4200,MG,3138625,MG-3138625-EB87A49230484B798FF484B1FF6A4200
41,MG3138625F57C6628922A4F53ABA3EB292E20A6D7,MG,3138625,MG-3138625-F57C6628922A4F53ABA3EB292E20A6D7
42,MG316510735FB087C3923403981C4533DCC43CCBB,MG,3165107,MG-3165107-35FB087C3923403981C4533DCC43CCBB
43,MG316510776C7008B328042309A89F26F789DD095,MG,3165107,MG-3165107-76C7008B328042309A89F26F789DD095
44,MS5005707F14A9238D7F640DDA8BA7FDBFF61FFFB,MS,5005707,MS-5005707-F14A9238D7F640DDA8BA7FDBFF61FFFB
45,SP35032081C0244E0088B4284B9F0FBCB36128AF7,SP,3503208,SP-3503208-1C0244E0088B4284B9F0FBCB36128AF7
46,SP3503208287FBE5BAAD44905B7DCBBFBBDFE04C7,SP,3503208,SP-3503208-287FBE5BAAD44905B7DCBBFBBDFE04C7
