"","fcar","uf","munic","year","farm_area_hec","Formacao Florestal","Formacao Savanica","Cana-de-Acucar","Mosaico de Agricultura e Pastagem","Outras Lavouras Temporarias","Silvicultura","Campo Alagado e Area Pantanosa","Soja","Café","Citrus","Fomacao Campestre","Pastagem","Area Urbanizada","Rio, Lago e Oceano","Outras Areas nao Vegetadas","Outras Lavouras Perenes","Afloramento"
"33","SP-3543402-FB219CA4F6AA4588AF2B80E948058DBC","SP",3543402,"2020",175.08,38.81,0,122.95,11.1,0.85,0,0.12,0,0,0,0,1.25,0,0,0,0,0
"34","SP-3543709-3441624B211E459D97BC7E1C7FF2C66D","SP",3543709,"2020",204.83,8.39,0,120.6,21.52,0,0,13.15,41.17,0,0,0,0,0,0,0,0,0
"35","SP-3543709-67FEDFB442A74EFDAFED739AA5492A54","SP",3543709,"2020",828.78,10.89,0,664.99,25.02,2.1,0,7.82,116.73,0,0.28,0,0,0,0.77,0,0,0
"36","SP-3543709-895E9A4CA7AA45F787AB51BFD227F7E4","SP",3543709,"2020",5498.35,209.68,3.24,3986.2,453.16,7.76,0,739.48,78.17,0,0,0.67,4.97,0,7.33,7.02,0,0
"37","SP-3543709-F0021CE51CC64BE295FD0164556406B2","SP",3543709,"2020",83.4,0,0,78.43,4.8,0.17,0,0,0,0,0,0,0,0,0,0,0,0
"38","SP-3544202-1CC80758D5D14B37BA4FDB5607741084","SP",3544202,"2020",473.57,139.44,0,0.11,114.52,20.16,0,6.48,179.43,0,7.73,0,5.7,0,0,0,0,0
"39","SP-3544806-6B687EF4F1B84898BCDF0F4308F089C9","SP",3544806,"2020",1855.18,596.5,0,606.38,267.09,1.92,0,14.32,3.75,0,0,0,358.13,0,4.75,0,2,0
"40","SP-3545605-31C240CD9EEA4DB795EAF79257D3A555","SP",3545605,"2020",109.41,4,0,101.19,3.28,0.5,0,0.43,0,0,0,0,0,0,0,0,0,0
"41","SP-3545605-4B1327CD9F0048C8AF0EF7D758D0BF69","SP",3545605,"2020",119.52,5.59,0,109.77,2.75,0,0,0,1.42,0,0,0,0,0,0,0,0,0
"42","SP-3545605-744C3D0EC2614782AF597E510CD204D4","SP",3545605,"2020",37.6,0,0,37.37,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","SP-3545605-FC224EA067B740748563093314CEEB53","SP",3545605,"2020",152.7,1.98,0,114.7,29.69,2.95,0,1.25,0,0,0,0,2.13,0,0,0,0,0
"44","SP-3546504-17316620B58E4D9A804E41102F4433F8","SP",3546504,"2020",35.45,0.52,0,33.1,1.73,0,0,0,0.09,0,0,0,0,0,0,0,0,0
"45","SP-3546504-6EB6A453EEE24B7985BC522A0F0E5263","SP",3546504,"2020",30.79,0,0,29.85,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","SP-3546504-B94FB8D88D6B49C994D16BAB866E6567","SP",3546504,"2020",37.91,0,0,26.57,3.43,0,0,0,7.91,0,0,0,0,0,0,0,0,0
"47","SP-3546504-FFEDB04F349B452AAED6CDB1F18A0AD3","SP",3546504,"2020",19.53,0,0,19.44,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","SP-3547502-55E0E2928C6042439DD9F30820431BAA","SP",3547502,"2020",138.8,5.67,0,106.25,26.38,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"49","SP-3552601-C14D91A2A6E546A89928041173C30A01","SP",3552601,"2020",26.92,0.11,0,6.79,11.73,0,0,0,0,0,0,0,8.28,0,0,0,0,0
"50","SP-3552700-E4D0C8F26C234432A308F245268B367B","SP",3552700,"2020",22.41,1.59,0,14.57,4.86,0,0,0,0.01,0,0,0,1.38,0,0,0,0,0
"51","SP-3553203-7758C310E68943F68BFF6E34A3CC369B","SP",3553203,"2020",9.7,0,0,8.29,1.04,0,0,0.37,0,0,0,0,0,0,0,0,0,0
"52","SP-3553203-D7550D3273A445459C0CA1CC9F01DC82","SP",3553203,"2020",173.1,4.42,0,136.95,22.21,0,0,2.15,0,0,0,0,5.75,0,1.63,0,0,0
"53","SP-3553203-E702888E159D45FDB83877FF261E2B77","SP",3553203,"2020",131.93,11.45,0,112.93,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","SP-3553401-37712E2C1B0E40B898C3E8FD406A0C5B","SP",3553401,"2020",95.82,20.52,0,48.61,11.7,0.48,0,1.38,10.19,0,0,0,2.93,0,0.02,0,0,0
"55","SP-3553401-B6EFB97DDA6649898BC55B296A3CB982","SP",3553401,"2020",736.97,65.97,0,511.41,128.5,0.37,0,3.43,0,0,0,0,27.28,0,0,0,0,0
"56","SP-3553401-C2F5B34A04294D2D8E414980BC2B2888","SP",3553401,"2020",295.87,50.47,0,177.4,31.42,0.41,0,25.02,3.36,0,0,0,7.8,0,0,0,0,0
"57","SP-3553708-0363D6D4AE3A4CF5834FC4B14EB2FD19","SP",3553708,"2020",21.42,0.62,0,15.25,2.48,0.2,0,2.86,0,0,0,0,0,0,0,0,0,0
"58","SP-3553708-03B5C2A8CCD847408C3652DFC08FBE62","SP",3553708,"2020",41.64,1.88,0,39.3,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","SP-3553708-062438BB75E243F88F13F8CD61F84035","SP",3553708,"2020",26.09,0.71,0,18.94,5.76,0,0,0.67,0,0,0,0,0,0,0,0,0,0
"60","SP-3553708-072CF0C8240D4A7994DF49E41713C12B","SP",3553708,"2020",46.21,4.59,0,41.6,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","SP-3553708-07B0F70D204C4F5CAF94D3D3A65B80DC","SP",3553708,"2020",12.52,0,0,7.85,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","SP-3553708-0858FA9FDFB0409EA92DDE3863FA14D1","SP",3553708,"2020",52.44,8.44,0,41.25,2.27,0,0,0.47,0,0,0,0,0,0,0,0,0,0
"63","SP-3553708-08989150066A43F0A2B153E45E9CB678","SP",3553708,"2020",17.07,2.33,0,12.82,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","SP-3553708-08F4112E61274728B7E28D4DD2C492B7","SP",3553708,"2020",148.88,19.5,0,111.76,10.43,0.42,0,2.78,3.99,0,0,0,0,0,0,0,0,0
"65","SP-3553708-091EAB10770A48328E6C7B9AA8156DF2","SP",3553708,"2020",30.34,0.02,0,24.67,2.34,0.53,0,2.79,0,0,0,0,0,0,0,0,0,0
"66","SP-3553708-0A9DF8059DA24D809F05F551C8381534","SP",3553708,"2020",37.86,2.62,0,10.74,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","SP-3553708-0B8611F8492B4FBE9F4919FD2B4CCCFB","SP",3553708,"2020",113.32,5.24,0,101.54,5.95,0.27,0,0.16,0,0,0,0,0,0,0.16,0,0,0
"68","SP-3553708-0CD642AFEAB8483FA6531F2D4F185ED8","SP",3553708,"2020",230.59,33.54,0,175.16,20.12,0.32,0,1.43,0.02,0,0,0,0,0,0,0,0,0
"69","SP-3553708-0D4F4186682E4B17BB2F3FFFDF818E8D","SP",3553708,"2020",45.05,0.72,0,17.6,17.6,0,0,0,8.96,0,0,0,0,0.17,0,0,0,0
"70","SP-3553708-144DADAAEE994AFA80B69844A8BA9D76","SP",3553708,"2020",7.21,0,0,6.58,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","SP-3553708-1FF6E8317DC84083AB0B4FADBF078A89","SP",3553708,"2020",51.37,1.92,0,0,42.79,0,0,0,0,0,0,0,4.08,0,0,0,2.58,0
"72","SP-3553708-2363162A99F549EB95F8BDA41D6C4C41","SP",3553708,"2020",48.15,2.51,0,42.04,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","SP-3553708-26DB381602EF46B78D04BDCED4CCF582","SP",3553708,"2020",44.56,0,0,43.15,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","SP-3553708-27B4910CA6074CA387637A8086A4B195","SP",3553708,"2020",39.85,0,0,36.24,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","SP-3553708-2847AE9800F147A58CC6658A2275C5A5","SP",3553708,"2020",133.13,20.93,0,89.92,20.13,0.92,0,0.99,0.23,0,0,0,0,0,0,0,0,0
"76","SP-3553708-303FC9048EC44024BAF59200A6A2AA07","SP",3553708,"2020",28.15,3.3,0,0.21,23.89,0,0,0,0,0,0,0,0,0,0,0,0.75,0
"77","SP-3553708-3231B91193B3460C979D63AF8CABCC5A","SP",3553708,"2020",48.18,6.17,0,33.65,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","SP-3553708-3A1DE70ECFE64191B6D4A8D8C9026536","SP",3553708,"2020",59.09,7.94,0,36.62,12.01,0,0,0,2.53,0,0,0,0,0,0,0,0,0
"79","SP-3553708-3CB6F6CB2CC74B658B8220A88406C647","SP",3553708,"2020",30.69,2.63,0,7.32,18.05,0,0,2.35,0,0,0,0,0.33,0,0,0,0,0
"80","SP-3553708-3F8DFC2C49614B768D2A3D8021299A0C","SP",3553708,"2020",19.87,0.34,0,16.9,2.49,0,0,0.15,0,0,0,0,0,0,0,0,0,0
"81","SP-3553708-4389915C37424AF6A21D3FBF1B6D2D40","SP",3553708,"2020",44.45,0,0,43.99,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","SP-3553708-46CEAA409E334438AF72207E838E8D6E","SP",3553708,"2020",13.26,2.78,0,0.01,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","SP-3553708-46D3951E4B6B4BC28D0C86ADB71FBBD5","SP",3553708,"2020",17.62,2.35,0,14.8,0.45,0,0,0.02,0,0,0,0,0,0,0,0,0,0
