"","fcar","uf","munic","year","camada_area_hec","Formacao Florestal","Formacao Savanica","Campo Alagado e Area Pantanosa","Fomacao Campestre","Pastagem","Mosaico de Agricultura e Pastagem","Soja","Outras Lavouras Perenes","Outras Areas nao Vegetadas","Rio, Lago e Oceano","Outras Lavouras Temporarias","Cana-de-Acucar","Silvicultura","Area Urbanizada","Citrus","Café"
"1","GO-5204805-C1F5A289E1964E7DBC12C9725B85FA36","GO",5204805,"2021",456.92,10.78,20.83,13.76,13.01,42.95,22.62,332.97,0,0,0,0,0,0,0,0,0
"2","MG-3108255-28380BE46FB948A18F4CC31FB9ABC476","MG",3108255,"2021",142.32,4.37,80.88,6.56,49.91,0,0,0,0.61,0,0,0,0,0,0,0,0
"3","MT-5101803-B5814DEEAA034034881BADD1797B45E4","MT",5101803,"2021",5565.99,1779.09,87.1,4.63,0,2040.97,171.92,1104.82,0,10.02,17.22,350.3,0,0,0,0,0
"4","MT-5106653-1067FC0C33A746D5A1EFE49B40690F9A","MT",5106653,"2021",1139.45,28.92,346.28,13.13,3.96,742.05,5.11,0,0,0,0,0,0,0,0,0,0
"5","SP-3500303-1D288D45DB1C4547A350860E5EBC9E93","SP",3500303,"2021",79.59,3.05,0,0.84,0,0,19.68,35.03,0,0,0,1.16,19.83,0,0,0,0
"6","SP-3502002-194E031F77454D23A97823104F8E65B4","SP",3502002,"2021",52.41,1.97,0,3.57,0,1.9,16.82,0,0,0,0,0,28.16,0,0,0,0
"7","SP-3502002-3D79DEC6188E48C1A3B796C2569D1983","SP",3502002,"2021",64.4,15.38,0,0,0,18.58,30.43,0,0,0,0,0,0.01,0,0,0,0
"8","SP-3502002-50D0EC74710445879A3FC8243D9BFEA2","SP",3502002,"2021",88.35,6.05,1.94,0.25,0,9.1,70.71,0,0,0,0,0,0.32,0,0,0,0
"9","SP-3502002-E00FD1669C12436ABC360EF8F625AC16","SP",3502002,"2021",263.02,27.85,16.76,0,0,3.9,51.73,0,0,0,0,0,161.82,0.02,0.95,0,0
"10","SP-3502804-91E7646493B24E568ED89A34D07FDD17","SP",3502804,"2021",34.26,0.01,0,0,0,0.64,12.44,19.83,0,0,0,1.34,0,0,0,0,0
"11","SP-3502903-776A08F413C1410EBF7457B9F7CA5FC6","SP",3502903,"2021",8.05,1.7,0,0,0,0.74,5.03,0,0,0.57,0,0,0,0,0,0,0
"12","SP-3503307-4F8B524DD845498F91CDE93D29C764BC","SP",3503307,"2021",11.43,0,0,0,0,0,4.64,3.07,0,0,0,0,0.02,0,0,3.7,0
"13","SP-3503307-55945DB63C104A33AE703FCCADFA486D","SP",3503307,"2021",2.93,1.69,0,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0
"14","SP-3503802-51FB028CBCE34E0EB00B111C432A8415","SP",3503802,"2021",27.56,2.6,0,0,0,4.19,20.78,0,0,0,0,0,0,0,0,0,0
"15","SP-3508405-BE1F60F5BCD64BCA9EFFC61ED083063C","SP",3508405,"2021",49.98,21.19,0,0,0,11.3,9.05,1.4,0,0,0.02,6.28,0,0.74,0,0,0
"16","SP-3514304-E38873C4DAD844C4A55E38065E51B3A4","SP",3514304,"2021",7.15,0,0,0.26,0,0.01,5.48,0,0,0,0,0,0.58,0,0.82,0,0
"17","SP-3526704-FFD62FDD71114C779838FBA022BC44AD","SP",3526704,"2021",31.47,0,0,0,0,20.93,10.52,0,0,0,0,0,0.01,0,0,0,0
"18","SP-3534500-8C4F9508987F48928222AB44CF6B5A0C","SP",3534500,"2021",118.35,22.13,0,0,0,91.06,5.15,0,0,0,0,0,0,0,0,0,0
"19","SP-3537800-B49DB6909A7047CA8A0DDE44FD52C62D","SP",3537800,"2021",22.57,7.15,0,0,0,0,1.35,1.63,0,0,0,12.45,0,0,0,0,0
"20","SP-3539301-4738C6121E6C4CA0AB6A8A33CC9CC744","SP",3539301,"2021",4.45,1.71,0,0,0,0,2.73,0,0,0,0,0,0.01,0,0,0,0
"21","SP-3540705-64BAC6ABA08A4AAF869A0EB2348D33F3","SP",3540705,"2021",4.81,0,0,0,0,0,4.6,0,0,0.07,0,0,0.14,0,0,0,0
"22","SP-3540705-EBF4F4B7DE9B4892BA739C8A98D7EB18","SP",3540705,"2021",114.46,6.13,0,1.22,0,0,5.79,79.64,0,0,0,10.34,11.34,0,0,0,0
"23","SP-3546207-4520AB75C8084D07AF4CC3CE01F95683","SP",3546207,"2021",37.24,0.75,0,0,0,12.98,23.43,0.07,0,0,0,0,0,0,0,0,0
"24","SP-3547502-1D52C017E021417EA2B8212E48CA52EB","SP",3547502,"2021",57.03,2.37,0,0,0,2,30.21,0,0,0,0,0,22.46,0,0,0,0
"25","SP-3547502-8FCCFE5E3B60415DBA36D6A3A25E5CF3","SP",3547502,"2021",543.69,109.79,0,0,0,25.21,137.63,0,0,0,0,0,251.84,19.22,0,0,0
"26","SP-3547601-61178038AA0B4426B3469698E7D73181","SP",3547601,"2021",112.84,2.18,0,0,0,17.16,86,1.08,0,0,2.27,1.67,2.48,0,0,0,0
"27","SP-3550902-CCC8C5364F52479B99323FF4F571D7D5","SP",3550902,"2021",13.12,2.39,0,0,0,0,1.08,0,0,0,0,0,9.65,0,0,0,0
"28","SP-3554003-8D5D8D3487BF4B45B86E700AAE949C20","SP",3554003,"2021",137.14,4.18,0,0,0,2.36,22.11,104.67,0,0.02,3.79,0,0,0,0,0,0
"29","SP-3554201-F56E782D187F41CB91E3E0CBAE2067F0","SP",3554201,"2021",174.27,30.49,0,2.98,0,15.47,62.61,29.84,0.41,0,0,1.86,0,5.9,0,0,24.73
